power_budget,powermode_random,bs_random,optim_time_random,optim_power_random,time_budget,arr_rate,soln_random,powermode_nn,bs_nn,optim_time_nn,optim_power_nn,soln_nn
10,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
11,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
12,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
13,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
14,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
15,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
16,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
17,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
18,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
19,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
20,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
21,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
22,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
23,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
24,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
25,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
26,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
27,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
28,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,1.0,1,0,4_422400_930750000_3199000000,1,164.78841400146484,24.5795,0
