power_budget,powermode_random,bs_random,optim_time_random,optim_power_random,time_budget,arr_rate,soln_random,powermode_nn,bs_nn,optim_time_nn,optim_power_nn,soln_nn,flag,time_scaled,time_cond1,time_cond2
10,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.05,30,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.05357197125752767,0.6071591377258301
11,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.05,30,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.05357197125752767,0.6071591377258301
12,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.05,30,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.05357197125752767,0.6071591377258301
13,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.05,30,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.05357197125752767,0.6071591377258301
14,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.05,30,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.05357197125752767,0.6071591377258301
15,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.05,30,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.05357197125752767,0.6071591377258301
16,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.05,30,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.05357197125752767,0.6071591377258301
17,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.05,30,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.05357197125752767,0.6071591377258301
18,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.05,30,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.05357197125752767,0.6071591377258301
19,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.05,30,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.05357197125752767,0.6071591377258301
20,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.05,30,0,8_1958400_930750000_3199000000,1,20.238637924194336,21.319,0,False,0.020238637924194336,0.05357197125752767,0.6071591377258301
21,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.05,30,0,12_2201600_726750000_3199000000,1,18.24653148651123,22.5205,0,False,0.01824653148651123,0.05157986481984456,0.5473959445953369
22,12_2201600_726750000_3199000000,1.0,18.24653148651123,22.5205,0.05,30,0,12_2201600_726750000_3199000000,1,18.24653148651123,22.5205,0,True,0.01824653148651123,0.05157986481984456,0.5473959445953369
23,8_1958400_930750000_3199000000,4.0,35.405874252319336,28.192,0.05,30,0,12_2201600_726750000_3199000000,4,41.332364082336426,27.889,0,False,0.041332364082336426,0.17466569741566976,1.2399709224700928
