powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,time_cond1,time_cond2
,,,,10.0,,0.5,30.0,,,,,,True,,,
,,,,11.0,,0.5,30.0,,,,,,True,,,
,,,,12.0,,0.5,30.0,,,,,,True,,,
,,,,13.0,,0.5,30.0,,,,,,True,,,
,,,,14.0,,0.5,30.0,,,,,,True,,,
,,,,15.0,,0.5,30.0,4_1036800_114750000_665600000,72.50836944580078,4.0,14.451,0.0,True,,,
12_1651200_114750000_665600000,69.83606338500977,4.0,15.252,16.0,0.0,0.5,30.0,12_1651200_114750000_665600000,28.95889568328857,1.0,15.252,0.0,True,0.06983606338500976,0.2031693967183431,2.095081901550293
4_1651200_318750000_665600000,39.49179267883301,4.0,17.46,17.0,0.0,0.5,30.0,8_1651200_114750000_3199000000,27.06174373626709,1.0,16.557,0.0,True,0.03949179267883301,0.17282512601216635,1.1847537803649903
4_1651200_318750000_665600000,39.49179267883301,4.0,17.46,18.0,0.0,0.5,30.0,4_2201600_114750000_3199000000,27.018320083618164,1.0,17.358,0.0,True,0.03949179267883301,0.17282512601216635,1.1847537803649903
12_1958400_318750000_665600000,24.57870388031006,1.0,18.659,19.0,0.0,0.5,30.0,12_1958400_318750000_665600000,24.57870388031006,1.0,18.659,0.0,True,0.024578703880310058,0.057912037213643394,0.7373611164093017
12_1958400_318750000_665600000,24.57870388031006,1.0,18.659,20.0,0.0,0.5,30.0,8_1958400_318750000_2133000000,22.191920280456543,1.0,19.979,0.0,True,0.024578703880310058,0.057912037213643394,0.7373611164093017
12_1958400_318750000_665600000,24.57870388031006,1.0,18.659,21.0,0.0,0.5,30.0,12_1958400_318750000_2133000000,21.44812774658203,1.0,20.377,0.0,True,0.024578703880310058,0.057912037213643394,0.7373611164093017
12_2201600_318750000_2133000000,19.34756755828857,1.0,21.179,22.0,0.0,0.5,30.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,21.179,0.0,True,0.01934756755828857,0.052680900891621904,0.5804270267486571
12_2201600_318750000_2133000000,19.34756755828857,1.0,21.179,23.0,0.0,0.5,30.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,21.179,0.0,True,0.01934756755828857,0.052680900891621904,0.5804270267486571
12_2201600_318750000_2133000000,19.34756755828857,1.0,21.179,24.0,0.0,0.5,30.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,21.179,0.0,True,0.01934756755828857,0.052680900891621904,0.5804270267486571
12_2201600_318750000_2133000000,19.34756755828857,1.0,21.179,25.0,0.0,0.5,30.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,21.179,0.0,True,0.01934756755828857,0.052680900891621904,0.5804270267486571
12_1958400_522750000_3199000000,19.91268825531006,1.0,24.977,26.0,0.0,0.5,30.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,21.179,0.0,True,0.01991268825531006,0.05324602158864339,0.5973806476593018
12_2201600_522750000_3199000000,18.484479904174805,1.0,26.18,27.0,0.0,0.5,30.0,12_2201600_522750000_3199000000,18.484479904174805,1.0,26.18,0.0,True,0.018484479904174806,0.05181781323750814,0.5545343971252442
12_2201600_522750000_3199000000,18.484479904174805,1.0,26.18,28.0,0.0,0.5,30.0,12_2201600_522750000_3199000000,18.484479904174805,1.0,26.18,0.0,True,0.018484479904174806,0.05181781323750814,0.5545343971252442
12_2201600_522750000_3199000000,18.484479904174805,1.0,26.18,29.0,0.0,0.5,30.0,12_2201600_522750000_3199000000,18.484479904174805,1.0,26.18,0.0,True,0.018484479904174806,0.05181781323750814,0.5545343971252442
12_2201600_522750000_3199000000,18.484479904174805,1.0,26.18,30.0,0.0,0.5,30.0,12_2201600_522750000_3199000000,18.484479904174805,1.0,26.18,0.0,True,0.018484479904174806,0.05181781323750814,0.5545343971252442
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,31.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,32.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,33.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,34.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,35.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,36.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,37.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,38.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,39.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,40.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,41.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,42.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,43.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,44.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,45.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,46.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,47.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,48.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,49.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,50.0,0.0,0.5,30.0,12_2201600_726750000_3199000000,17.93832015991211,1.0,30.392,0.0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
,,,,10.0,,0.6,30.0,,,,,,True,,,
,,,,11.0,,0.6,30.0,,,,,,True,,,
,,,,12.0,,0.6,30.0,,,,,,True,,,
,,,,13.0,,0.6,30.0,,,,,,True,,,
,,,,14.0,,0.6,30.0,,,,,,True,,,
,,,,15.0,,0.6,30.0,4_1036800_114750000_665600000,72.50836944580078,4.0,14.451,0.0,True,,,
12_1651200_114750000_665600000,69.83606338500977,4.0,15.252,16.0,0.0,0.6,30.0,12_1651200_114750000_665600000,28.95889568328857,1.0,15.252,0.0,True,0.06983606338500976,0.2031693967183431,2.095081901550293
4_1651200_318750000_665600000,39.49179267883301,4.0,17.46,17.0,0.0,0.6,30.0,8_1651200_114750000_3199000000,27.06174373626709,1.0,16.557,0.0,True,0.03949179267883301,0.17282512601216635,1.1847537803649903
4_1651200_318750000_665600000,39.49179267883301,4.0,17.46,18.0,0.0,0.6,30.0,4_2201600_114750000_3199000000,27.018320083618164,1.0,17.358,0.0,True,0.03949179267883301,0.17282512601216635,1.1847537803649903
12_1958400_318750000_665600000,24.57870388031006,1.0,18.659,19.0,0.0,0.6,30.0,12_1958400_318750000_665600000,24.57870388031006,1.0,18.659,0.0,True,0.024578703880310058,0.057912037213643394,0.7373611164093017
