powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim
,,,,10.0,,15.0,2.0,1.0,,,,,,1.0
,,,,11.0,,15.0,2.0,1.0,,,,,,1.0
,,,,12.0,,15.0,2.0,1.0,,,,,,1.0
,,,,13.0,,15.0,2.0,1.0,,,,,,1.0
,,,,14.0,,15.0,2.0,1.0,,,,,,1.0
4_422400_114750000_665600000,590.7732238769531,1.0,14.751,15.0,0.0,15.0,2.0,1.0,4_422400_114750000_665600000,590.7732238769531,1.0,14.751,0.0,1.0
8_1958400_114750000_665600000,556.2896118164062,1.0,15.754,16.0,0.0,15.0,2.0,1.0,12_1958400_114750000_665600000,551.835693359375,1.0,15.954,0.0,1.0
8_1344000_114750000_2133000000,553.8834228515625,1.0,16.166,17.0,0.0,15.0,2.0,1.0,4_1958400_114750000_2133000000,548.9737854003906,1.0,16.557,0.0,1.0
4_2201600_114750000_3199000000,549.0738220214844,1.0,17.768,18.0,0.0,15.0,2.0,1.0,4_422400_318750000_665600000,280.20025634765625,1.0,17.768,2.0,1.0
12_2201600_114750000_3199000000,547.2250366210938,1.0,18.569,19.0,0.0,15.0,2.0,1.0,4_1651200_318750000_665600000,261.2362823486328,1.0,18.775,3.0,1.0
12_2201600_114750000_3199000000,547.2250366210938,1.0,18.569,20.0,0.0,15.0,2.0,1.0,8_422400_318750000_2133000000,231.3048324584961,1.0,19.98,3.0,1.0
8_1344000_726750000_665600000,230.4893264770508,1.0,20.679,21.0,3.0,15.0,2.0,1.0,12_422400_318750000_2133000000,222.46195220947263,1.0,20.4835,4.0,1.0
8_1344000_318750000_2133000000,208.4920959472656,1.0,21.134,22.0,4.0,16.0,2.0,1.0,12_1651200_318750000_2133000000,202.4569091796875,1.0,21.577,4.0,1.0
8_1344000_318750000_2133000000,208.4920959472656,1.0,21.134,23.0,4.0,16.0,2.0,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0,1.0
8_422400_726750000_2133000000,157.4422149658203,1.0,23.589,24.0,6.0,16.0,2.0,1.0,8_729600_522750000_2133000000,149.07259368896484,1.0,23.988,7.0,1.0
8_1344000_522750000_2133000000,134.05374145507812,1.0,24.944,25.0,7.0,16.0,2.0,1.0,8_1344000_522750000_2133000000,134.05374145507812,1.0,24.944,7.0,1.0
8_1344000_522750000_2133000000,134.05374145507812,1.0,24.944,26.0,7.0,16.0,2.0,1.0,12_1958400_522750000_2133000000,127.94312286376952,1.0,25.994,7.0,1.0
8_729600_522750000_3199000000,129.2396469116211,1.0,26.799,27.0,7.0,16.0,2.0,1.0,12_1958400_522750000_2133000000,127.94312286376952,1.0,25.994,7.0,1.0
8_1344000_522750000_3199000000,129.9143524169922,1.0,27.0,28.0,7.0,16.0,2.0,1.0,12_729600_726750000_2133000000,114.05279922485352,1.0,27.392,8.0,1.0
8_1344000_522750000_3199000000,129.9143524169922,1.0,27.0,29.0,7.0,16.0,2.0,1.0,8_729600_726750000_2133000000,109.61191940307616,1.0,28.201,8.0,1.0
12_1344000_726750000_2133000000,105.49894714355467,1.0,29.4045,30.0,9.0,15.0,2.0,1.0,8_1036800_726750000_2133000000,103.02932739257812,1.0,29.706,9.0,1.0
12_1344000_726750000_2133000000,105.49894714355467,1.0,29.4045,31.0,9.0,15.0,2.0,1.0,8_1036800_726750000_3199000000,102.25089645385742,1.0,30.4895,10.0,1.0
8_1344000_726750000_3199000000,103.69643020629884,1.0,31.499,32.0,10.0,15.0,2.0,1.0,12_729600_726750000_3199000000,97.3949737548828,1.0,31.398,10.0,1.0
8_1344000_726750000_3199000000,103.69643020629884,1.0,31.499,33.0,10.0,15.0,2.0,1.0,12_1036800_930750000_2133000000,91.86831665039062,1.0,32.6165,10.0,1.0
8_1344000_930750000_2133000000,92.20774459838869,1.0,33.215,34.0,10.0,15.0,2.0,1.0,12_729600_930750000_3199000000,104.26548767089844,1.0,33.403,11.0,1.0
8_1344000_930750000_2133000000,92.20774459838869,1.0,33.215,35.0,10.0,15.0,2.0,1.0,8_729600_1134750000_3199000000,96.42403030395508,1.0,34.891,11.0,1.0
8_1344000_930750000_2133000000,92.20774459838869,1.0,33.215,36.0,10.0,15.0,2.0,1.0,8_729600_1134750000_3199000000,96.42403030395508,1.0,34.891,11.0,1.0
