powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random
,,,,16.0,,2.0,1.0,8_1344000_114750000_665600000,557.4182434082031,1.0,15.353,0.0
,,,,17.0,,2.0,1.0,8_1344000_114750000_2133000000,553.8834228515625,1.0,16.166,0.0
,,,,18.0,,2.0,1.0,12_2201600_114750000_2133000000,552.2490844726562,1.0,17.756,0.0
,,,,19.0,,2.0,1.0,12_2201600_114750000_2133000000,552.2490844726562,1.0,17.756,0.0
,,,,20.0,,2.0,1.0,8_1344000_522750000_665600000,238.20641326904297,1.0,19.878,3.0
,,,,21.0,,2.0,1.0,8_1344000_522750000_665600000,238.20641326904297,1.0,19.878,3.0
,,,,22.0,,2.0,1.0,8_1344000_522750000_665600000,238.20641326904297,1.0,19.878,3.0
,,,,23.0,,2.0,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,24.0,9.0,2.0,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,25.0,9.0,2.0,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,26.0,9.0,2.0,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,27.0,9.0,2.0,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,28.0,9.0,2.0,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,29.0,9.0,2.0,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,30.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,31.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,32.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,33.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,34.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,35.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,36.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,37.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,38.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,39.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,40.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,41.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,42.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,43.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,44.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,45.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,46.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,47.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,48.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,49.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,50.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,51.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,52.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,53.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,54.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,55.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,56.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,57.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,58.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,59.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,60.0,9.0,2.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
,,,,16.0,,2.5,1.0,8_1344000_114750000_665600000,557.4182434082031,1.0,15.353,0.0
,,,,17.0,,2.5,1.0,8_1344000_114750000_2133000000,553.8834228515625,1.0,16.166,0.0
,,,,18.0,,2.5,1.0,12_2201600_114750000_2133000000,552.2490844726562,1.0,17.756,0.0
,,,,19.0,,2.5,1.0,12_2201600_114750000_2133000000,552.2490844726562,1.0,17.756,0.0
,,,,20.0,,2.5,1.0,8_1344000_522750000_665600000,238.20641326904297,1.0,19.878,3.0
,,,,21.0,,2.5,1.0,8_1344000_522750000_665600000,238.20641326904297,1.0,19.878,3.0
,,,,22.0,,2.5,1.0,8_1344000_522750000_665600000,238.20641326904297,1.0,19.878,3.0
,,,,23.0,,2.5,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,24.0,9.0,2.5,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,25.0,9.0,2.5,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,26.0,9.0,2.5,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,27.0,9.0,2.5,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,28.0,9.0,2.5,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,29.0,9.0,2.5,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,30.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,31.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,32.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,33.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,34.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,35.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,36.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,37.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,38.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,39.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,40.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,41.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,42.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,43.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,44.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,45.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,46.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,47.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,48.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,49.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,50.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,51.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,52.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,53.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,54.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,55.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,56.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,57.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,58.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,59.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,60.0,9.0,2.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
,,,,16.0,,3.0,1.0,8_1344000_114750000_665600000,557.4182434082031,1.0,15.353,0.0
,,,,17.0,,3.0,1.0,8_1344000_114750000_2133000000,553.8834228515625,1.0,16.166,0.0
,,,,18.0,,3.0,1.0,12_2201600_114750000_2133000000,552.2490844726562,1.0,17.756,0.0
,,,,19.0,,3.0,1.0,12_2201600_114750000_2133000000,552.2490844726562,1.0,17.756,0.0
,,,,20.0,,3.0,1.0,8_1344000_522750000_665600000,238.20641326904297,1.0,19.878,3.0
,,,,21.0,,3.0,1.0,8_1344000_522750000_665600000,238.20641326904297,1.0,19.878,3.0
,,,,22.0,,3.0,1.0,8_1344000_522750000_665600000,238.20641326904297,1.0,19.878,3.0
,,,,23.0,,3.0,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,24.0,9.0,3.0,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,25.0,9.0,3.0,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,26.0,9.0,3.0,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,27.0,9.0,3.0,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,28.0,9.0,3.0,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,29.0,9.0,3.0,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,30.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,31.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,32.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,33.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,34.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,35.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,36.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,37.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,38.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,39.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,40.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,41.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,42.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,43.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,44.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,45.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,46.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,47.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,48.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,49.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,50.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,51.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,52.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,53.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,54.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,55.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,56.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,57.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,58.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,59.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,60.0,9.0,3.0,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
,,,,16.0,,3.5,1.0,8_1344000_114750000_665600000,557.4182434082031,1.0,15.353,0.0
,,,,17.0,,3.5,1.0,8_1344000_114750000_2133000000,553.8834228515625,1.0,16.166,0.0
,,,,18.0,,3.5,1.0,12_2201600_114750000_2133000000,552.2490844726562,1.0,17.756,0.0
,,,,19.0,,3.5,1.0,12_2201600_114750000_2133000000,552.2490844726562,1.0,17.756,0.0
,,,,20.0,,3.5,1.0,8_1344000_522750000_665600000,238.20641326904297,1.0,19.878,3.0
,,,,21.0,,3.5,1.0,8_1344000_522750000_665600000,238.20641326904297,1.0,19.878,3.0
,,,,22.0,,3.5,1.0,8_1344000_522750000_665600000,238.20641326904297,1.0,19.878,3.0
,,,,23.0,,3.5,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,24.0,9.0,3.5,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,25.0,9.0,3.5,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,26.0,9.0,3.5,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,27.0,9.0,3.5,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,28.0,9.0,3.5,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,29.0,9.0,3.5,1.0,12_422400_522750000_2133000000,157.3147201538086,1.0,22.688,6.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,30.0,9.0,3.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,31.0,9.0,3.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,32.0,9.0,3.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,33.0,9.0,3.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,34.0,9.0,3.5,1.0,12_1036800_726750000_2133000000,103.5906867980957,1.0,29.0035,9.0
