powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random
,,,,10.0,,0.5,30.0,,,,,
,,,,11.0,,0.5,30.0,,,,,
,,,,12.0,,0.5,30.0,,,,,
,,,,13.0,,0.5,30.0,,,,,
,,,,14.0,,0.5,30.0,,,,,
,,,,15.0,,0.5,30.0,,,,,
,,,,16.0,,0.5,30.0,8_1344000_114750000_665600000,32.14587116241455,1.0,15.254,0.0
,,,,17.0,,0.5,30.0,8_1344000_114750000_2133000000,30.24022388458252,1.0,16.159,0.0
,,,,18.0,,0.5,30.0,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.756,0.0
,,,,19.0,,0.5,30.0,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.756,0.0
,,,,20.0,,0.5,30.0,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.756,0.0
,,,,21.0,,0.5,30.0,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.756,0.0
,,,,22.0,,0.5,30.0,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.756,0.0
,,,,23.0,,0.5,30.0,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.756,0.0
,,,,24.0,,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,25.0,0.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,26.0,0.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,27.0,0.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,28.0,0.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,29.0,0.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,30.0,0.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,31.0,0.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,32.0,0.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,33.0,0.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,34.0,0.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,35.0,0.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,36.0,0.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,37.0,0.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,38.0,0.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
12_1036800_726750000_2133000000,36.74880027770996,4.0,28.095,39.0,0.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,23.893,0.0
