powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,time_cond1,time_cond2
,,,,10.0,,0.5,30.0,,,,,,True,,,
,,,,11.0,,0.5,30.0,,,,,,True,,,
,,,,12.0,,0.5,30.0,,,,,,True,,,
,,,,13.0,,0.5,30.0,,,,,,True,,,
,,,,14.0,,0.5,30.0,,,,,,True,,,
,,,,15.0,,0.5,30.0,,,,,,True,,,
12_1651200_114750000_665600000,157.87041473388672,4.0,15.754,16.0,-1.0,0.5,30.0,12_1651200_114750000_665600000,28.95889568328857,1.0,15.754,0.0,False,0.15787041473388672,0.29120374806722005,4.736112442016601
12_1651200_114750000_665600000,157.87041473388672,4.0,15.754,17.0,-1.0,0.5,30.0,8_2201600_114750000_665600000,28.61596775054932,1.0,16.354,0.0,False,0.15787041473388672,0.29120374806722005,4.736112442016601
4_1651200_318750000_665600000,76.47870254516602,4.0,18.263,18.0,0.0,0.5,30.0,4_2201600_114750000_3199000000,27.018320083618164,1.0,17.768,0.0,True,0.07647870254516602,0.20981203587849934,2.2943610763549804
4_1344000_522750000_665600000,65.53413009643555,4.0,18.975,19.0,0.0,0.5,30.0,4_2201600_114750000_3199000000,27.018320083618164,1.0,17.768,0.0,True,0.06553413009643555,0.19886746342976888,1.9660239028930664
12_1036800_522750000_665600000,65.20588684082031,4.0,19.376,20.0,0.0,0.5,30.0,12_1958400_318750000_665600000,24.57870388031006,1.0,19.0185,0.0,True,0.0652058868408203,0.19853922017415365,1.9561766052246092
4_1651200_726750000_665600000,60.69894409179688,4.0,20.575,21.0,0.0,0.5,30.0,12_1958400_318750000_665600000,24.57870388031006,1.0,19.0185,0.0,True,0.06069894409179688,0.1940322774251302,1.8209683227539064
8_1958400_726750000_665600000,59.49233436584473,4.0,21.478,22.0,0.0,0.5,30.0,12_1958400_318750000_2133000000,21.44812774658203,1.0,21.885,0.0,True,0.05949233436584472,0.19282566769917805,1.7847700309753418
12_2201600_318750000_2133000000,20.58854389190674,1.0,23.0845,23.0,0.0,0.5,30.0,12_1958400_318750000_2133000000,21.44812774658203,1.0,21.885,0.0,True,0.020588543891906737,0.05392187722524007,0.6176563167572021
12_2201600_318750000_2133000000,20.58854389190674,1.0,23.0845,24.0,0.0,0.5,30.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,23.0845,0.0,True,0.020588543891906737,0.05392187722524007,0.6176563167572021
8_1651200_726750000_2133000000,32.223472595214844,4.0,28.186,25.0,1.0,0.5,30.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,23.0845,0.0,False,0.032223472595214846,0.16555680592854818,0.9667041778564454
8_1651200_726750000_2133000000,32.223472595214844,4.0,28.186,26.0,1.0,0.5,30.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,23.0845,0.0,False,0.032223472595214846,0.16555680592854818,0.9667041778564454
8_1651200_726750000_2133000000,32.223472595214844,4.0,28.186,27.0,1.0,0.5,30.0,12_2201600_318750000_2133000000,19.34756755828857,1.0,23.0845,0.0,False,0.032223472595214846,0.16555680592854818,0.9667041778564454
8_1651200_726750000_2133000000,32.223472595214844,4.0,28.186,28.0,1.0,0.5,30.0,12_1958400_522750000_3199000000,21.712224006652832,4.0,27.682,1.0,True,0.032223472595214846,0.16555680592854818,0.9667041778564454
8_1651200_726750000_2133000000,32.223472595214844,4.0,28.186,29.0,1.0,0.5,30.0,12_1958400_522750000_3199000000,21.712224006652832,4.0,27.682,1.0,True,0.032223472595214846,0.16555680592854818,0.9667041778564454
4_1651200_726750000_3199000000,30.47430324554444,4.0,31.39,30.0,1.0,0.5,30.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,False,0.03047430324554444,0.16380763657887776,0.9142290973663332
4_1651200_726750000_3199000000,30.47430324554444,4.0,31.39,31.0,1.0,0.5,30.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,True,0.03047430324554444,0.16380763657887776,0.9142290973663332
4_1651200_726750000_3199000000,30.47430324554444,4.0,31.39,32.0,1.0,0.5,30.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,True,0.03047430324554444,0.16380763657887776,0.9142290973663332
4_1651200_726750000_3199000000,30.47430324554444,4.0,31.39,33.0,1.0,0.5,30.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,True,0.03047430324554444,0.16380763657887776,0.9142290973663332
4_1651200_726750000_3199000000,30.47430324554444,4.0,31.39,34.0,1.0,0.5,30.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,True,0.03047430324554444,0.16380763657887776,0.9142290973663332
12_2201600_726750000_3199000000,29.13259220123291,4.0,34.497,35.0,1.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,True,0.02913259220123291,0.16246592553456624,0.8739777660369873
12_2201600_726750000_3199000000,29.13259220123291,4.0,34.497,36.0,1.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,True,0.02913259220123291,0.16246592553456624,0.8739777660369873
12_2201600_726750000_3199000000,29.13259220123291,4.0,34.497,37.0,1.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,True,0.02913259220123291,0.16246592553456624,0.8739777660369873
8_1958400_930750000_3199000000,23.40299129486084,4.0,37.809,38.0,1.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,True,0.02340299129486084,0.15673632462819417,0.7020897388458252
8_1958400_930750000_3199000000,23.40299129486084,4.0,37.809,39.0,1.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,True,0.02340299129486084,0.15673632462819417,0.7020897388458252
8_1958400_930750000_3199000000,23.40299129486084,4.0,37.809,40.0,1.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,True,0.02340299129486084,0.15673632462819417,0.7020897388458252
8_1958400_930750000_3199000000,23.40299129486084,4.0,37.809,41.0,1.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,True,0.02340299129486084,0.15673632462819417,0.7020897388458252
8_1958400_930750000_3199000000,23.40299129486084,4.0,37.809,42.0,1.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,True,0.02340299129486084,0.15673632462819417,0.7020897388458252
8_1958400_930750000_3199000000,23.40299129486084,4.0,37.809,43.0,1.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,True,0.02340299129486084,0.15673632462819417,0.7020897388458252
8_1958400_930750000_3199000000,23.40299129486084,4.0,37.809,44.0,1.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,True,0.02340299129486084,0.15673632462819417,0.7020897388458252
8_1958400_930750000_3199000000,23.40299129486084,4.0,37.809,45.0,1.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,True,0.02340299129486084,0.15673632462819417,0.7020897388458252
8_1958400_930750000_3199000000,23.40299129486084,4.0,37.809,46.0,1.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,True,0.02340299129486084,0.15673632462819417,0.7020897388458252
8_1958400_930750000_3199000000,23.40299129486084,4.0,37.809,47.0,1.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,True,0.02340299129486084,0.15673632462819417,0.7020897388458252
8_1958400_930750000_3199000000,23.40299129486084,4.0,37.809,48.0,1.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,True,0.02340299129486084,0.15673632462819417,0.7020897388458252
8_1958400_930750000_3199000000,23.40299129486084,4.0,37.809,49.0,1.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,True,0.02340299129486084,0.15673632462819417,0.7020897388458252
8_1958400_930750000_3199000000,23.40299129486084,4.0,37.809,50.0,1.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,True,0.02340299129486084,0.15673632462819417,0.7020897388458252
,,,,10.0,,0.6,30.0,,,,,,True,,,
,,,,11.0,,0.6,30.0,,,,,,True,,,
,,,,12.0,,0.6,30.0,,,,,,True,,,
,,,,13.0,,0.6,30.0,,,,,,True,,,
,,,,14.0,,0.6,30.0,,,,,,True,,,
,,,,15.0,,0.6,30.0,,,,,,True,,,
12_1651200_114750000_665600000,157.87041473388672,4.0,15.754,16.0,-1.0,0.6,30.0,12_1651200_114750000_665600000,28.95889568328857,1.0,15.754,0.0,False,0.15787041473388672,0.29120374806722005,4.736112442016601
12_1651200_114750000_665600000,157.87041473388672,4.0,15.754,17.0,-1.0,0.6,30.0,8_2201600_114750000_665600000,28.61596775054932,1.0,16.354,0.0,False,0.15787041473388672,0.29120374806722005,4.736112442016601
4_1651200_318750000_665600000,76.47870254516602,4.0,18.263,18.0,0.0,0.6,30.0,4_2201600_114750000_3199000000,27.018320083618164,1.0,17.768,0.0,True,0.07647870254516602,0.20981203587849934,2.2943610763549804
4_1344000_522750000_665600000,65.53413009643555,4.0,18.975,19.0,0.0,0.6,30.0,4_2201600_114750000_3199000000,27.018320083618164,1.0,17.768,0.0,True,0.06553413009643555,0.19886746342976888,1.9660239028930664
