powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim
,,,,10.0,,22.0,0.5,30.0,,,,,,1.0
,,,,11.0,,22.0,0.5,30.0,,,,,,1.0
,,,,12.0,,22.0,0.5,30.0,,,,,,1.0
,,,,13.0,,22.0,0.5,30.0,,,,,,1.0
,,,,14.0,,22.0,0.5,30.0,,,,,,1.0
8_1651200_114750000_665600000,70.01849746704102,4.0,14.851,15.0,0.0,13.0,0.5,30.0,8_1651200_114750000_665600000,28.968048095703125,1.0,14.851,0.0,1.0
8_1344000_114750000_2133000000,68.49153900146484,4.0,15.454,16.0,0.0,13.0,0.5,30.0,8_1651200_114750000_2133000000,27.62977600097656,1.0,15.754,0.0,1.0
8_1651200_114750000_3199000000,67.21739196777344,4.0,16.557,17.0,0.0,13.0,0.5,30.0,4_1958400_114750000_3199000000,26.89072036743164,1.0,16.857,0.0,1.0
8_2201600_114750000_3199000000,66.91814422607422,4.0,17.865,18.0,0.0,13.0,0.5,30.0,4_1958400_318750000_665600000,25.683088302612305,1.0,17.861,0.0,1.0
8_2201600_114750000_3199000000,66.91814422607422,4.0,17.865,19.0,0.0,13.0,0.5,30.0,8_1958400_318750000_665600000,24.26191997528076,1.0,18.261,0.0,1.0
8_1958400_522750000_665600000,32.28028869628906,4.0,19.364,20.0,0.0,14.0,0.5,30.0,12_2201600_318750000_665600000,21.15015983581543,1.0,19.465,0.0,1.0
8_2201600_522750000_665600000,30.81721591949463,4.0,20.169,21.0,0.0,14.0,0.5,30.0,8_2201600_318750000_2133000000,20.07536029815674,1.0,20.881,0.0,1.0
8_1344000_522750000_2133000000,33.58464050292969,4.0,21.684,22.0,0.0,14.0,0.5,30.0,4_2201600_318750000_3199000000,18.83348846435547,1.0,21.88,0.0,1.0
8_1344000_522750000_2133000000,33.58464050292969,4.0,21.684,23.0,0.0,14.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,22.587,0.0,1.0
8_1344000_522750000_3199000000,31.814096450805664,4.0,23.1765,24.0,0.0,13.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,22.587,0.0,1.0
12_1344000_726750000_2133000000,33.47193717956543,4.0,24.581,25.0,0.0,13.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,22.587,0.0,1.0
12_1344000_726750000_2133000000,33.47193717956543,4.0,24.581,26.0,0.0,13.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,22.587,0.0,1.0
8_1651200_522750000_3199000000,25.952816009521484,4.0,23.78,27.0,0.0,13.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,22.587,0.0,1.0
8_2201600_726750000_2133000000,23.342559814453125,4.0,27.283,28.0,0.0,13.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,22.587,0.0,1.0
8_2201600_522750000_3199000000,21.3819522857666,4.0,25.8825,29.0,0.0,13.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,22.587,0.0,1.0
8_2201600_726750000_3199000000,21.399072647094727,4.0,29.892,30.0,0.0,13.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,22.587,0.0,1.0
8_2201600_726750000_3199000000,21.399072647094727,4.0,29.892,31.0,0.0,13.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,22.587,0.0,1.0
8_2201600_726750000_3199000000,21.399072647094727,4.0,29.892,32.0,0.0,13.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,22.587,0.0,1.0
8_2201600_726750000_3199000000,21.399072647094727,4.0,29.892,33.0,0.0,13.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,22.587,0.0,1.0
8_2201600_726750000_3199000000,21.399072647094727,4.0,29.892,34.0,0.0,13.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,22.587,0.0,1.0
