powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random
,,,,10.0,,0.5,30.0,,,,,
,,,,11.0,,0.5,30.0,,,,,
,,,,12.0,,0.5,30.0,,,,,
,,,,13.0,,0.5,30.0,,,,,
,,,,14.0,,0.5,30.0,,,,,
,,,,15.0,,0.5,30.0,8_1344000_114750000_665600000,32.14587116241455,1.0,14.55,0.0
,,,,16.0,,0.5,30.0,8_1344000_114750000_2133000000,30.24022388458252,1.0,15.454,0.0
,,,,17.0,,0.5,30.0,8_1344000_114750000_2133000000,30.24022388458252,1.0,15.454,0.0
,,,,18.0,,0.5,30.0,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.357,0.0
,,,,19.0,,0.5,30.0,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.357,0.0
,,,,20.0,,0.5,30.0,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.357,0.0
,,,,21.0,,0.5,30.0,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.357,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,22.0,-1.0,0.5,30.0,12_2201600_114750000_2133000000,27.359951972961422,1.0,17.357,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,23.0,-1.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,24.0,-1.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,25.0,-1.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,26.0,-1.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,27.0,-1.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,28.0,-1.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,29.0,-1.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,30.0,-1.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,31.0,-1.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,32.0,-1.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,33.0,-1.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,34.0,-1.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,35.0,-1.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,36.0,-1.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,37.0,-1.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
12_1036800_726750000_2133000000,35.532958984375,1.0,23.975,38.0,-1.0,0.5,30.0,8_2201600_318750000_3199000000,19.27841567993164,1.0,22.287,0.0
