powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim
,,,,10.0,,24.0,0.5,30.0,,,,,,1.0
,,,,11.0,,24.0,0.5,30.0,,,,,,1.0
,,,,12.0,,24.0,0.5,30.0,,,,,,1.0
,,,,13.0,,24.0,0.5,30.0,,,,,,1.0
,,,,14.0,,24.0,0.5,30.0,,,,,,1.0
4_422400_114750000_665600000,117.0872802734375,4.0,14.751,15.0,0.0,14.0,0.5,30.0,4_422400_114750000_665600000,117.0872802734375,4.0,14.751,0.0,1.0
8_1958400_114750000_665600000,69.67444610595703,4.0,15.754,16.0,0.0,14.0,0.5,30.0,12_1958400_114750000_665600000,28.42614459991455,1.0,15.954,0.0,1.0
8_1344000_114750000_3199000000,68.0332145690918,4.0,16.972,17.0,0.0,14.0,0.5,30.0,12_1958400_114750000_2133000000,27.314640045166016,1.0,16.958,0.0,1.0
8_1958400_114750000_3199000000,66.95753860473633,4.0,17.373,18.0,0.0,14.0,0.5,30.0,4_1958400_114750000_3199000000,26.89072036743164,1.0,17.3715,0.0,1.0
12_2201600_114750000_3199000000,66.78741073608398,4.0,18.569,19.0,0.0,14.0,0.5,30.0,4_1958400_318750000_665600000,25.683088302612305,1.0,18.674,0.0,1.0
12_2201600_114750000_3199000000,66.78741073608398,4.0,18.569,20.0,0.0,14.0,0.5,30.0,8_2201600_318750000_665600000,22.671263694763184,1.0,19.475,0.0,1.0
8_1344000_726750000_665600000,38.79607963562012,4.0,20.575,21.0,0.0,14.0,0.5,30.0,12_2201600_318750000_665600000,21.15015983581543,1.0,20.273,0.0,1.0
12_2201600_522750000_665600000,27.50707244873047,4.0,21.376,22.0,0.0,15.0,0.5,30.0,12_2201600_318750000_665600000,21.15015983581543,1.0,20.273,0.0,1.0
12_2201600_522750000_665600000,27.50707244873047,4.0,21.376,23.0,0.0,15.0,0.5,30.0,8_2201600_318750000_2133000000,20.07536029815674,1.0,22.382,0.0,1.0
12_2201600_522750000_665600000,27.50707244873047,4.0,21.376,24.0,0.0,15.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,23.893,0.0,1.0
8_1344000_522750000_2133000000,33.58464050292969,4.0,24.59,25.0,0.0,15.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,23.893,0.0,1.0
8_1344000_522750000_2133000000,33.58464050292969,4.0,24.59,26.0,0.0,15.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,23.893,0.0,1.0
8_1344000_522750000_3199000000,31.814096450805664,4.0,26.384,27.0,0.0,14.0,0.5,30.0,12_2201600_318750000_3199000000,17.82817554473877,1.0,23.893,0.0,1.0
12_1958400_522750000_3199000000,21.712224006652832,4.0,27.682,28.0,1.0,14.0,0.5,30.0,12_1958400_522750000_3199000000,21.712224006652832,4.0,27.682,1.0,1.0
8_1958400_522750000_3199000000,23.0838565826416,4.0,27.688,29.0,1.0,12.0,0.5,30.0,8_2201600_522750000_3199000000,21.3819522857666,4.0,28.885,1.0,1.0
8_1344000_726750000_3199000000,31.672800064086918,4.0,29.436,30.0,1.0,12.0,0.5,30.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,1.0
8_2201600_726750000_2133000000,23.342559814453125,4.0,30.191,31.0,1.0,12.0,0.5,30.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,1.0
8_2201600_726750000_2133000000,23.342559814453125,4.0,30.191,32.0,1.0,12.0,0.5,30.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,1.0
8_2201600_726750000_2133000000,23.342559814453125,4.0,30.191,33.0,1.0,12.0,0.5,30.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,1.0
8_2201600_726750000_2133000000,23.342559814453125,4.0,30.191,34.0,1.0,12.0,0.5,30.0,12_2201600_522750000_3199000000,20.90439987182617,4.0,29.29,1.0,1.0
8_2201600_726750000_2133000000,23.342559814453125,4.0,30.191,35.0,1.0,12.0,0.5,30.0,12_2201600_726750000_3199000000,20.004847526550293,4.0,34.497,1.0,1.0
