power_budget,powermode_random,bs_random,optim_time_random,optim_power_random,time_budget,arr_rate,soln_random,powermode_nn,bs_nn,optim_time_nn,optim_power_nn,soln_nn,flag,time_scaled,time_cond1,time_cond2
10,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,1.0,1.0,0,12_1036800_726750000_2133000000,1,103.5906867980957,29.0035,0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957
11,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,1.0,1.0,0,12_1036800_726750000_2133000000,1,103.5906867980957,29.0035,0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957
12,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,1.0,1.0,0,12_1036800_726750000_2133000000,1,103.5906867980957,29.0035,0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957
13,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,1.0,1.0,0,12_1036800_726750000_2133000000,1,103.5906867980957,29.0035,0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957
14,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,1.0,1.0,0,12_1036800_726750000_2133000000,1,103.5906867980957,29.0035,0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957
15,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,1.0,1.0,0,12_1036800_726750000_2133000000,1,103.5906867980957,29.0035,0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957
16,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,1.0,1.0,0,12_1036800_726750000_2133000000,1,103.5906867980957,29.0035,0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957
17,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,1.0,1.0,0,12_1036800_726750000_2133000000,1,103.5906867980957,29.0035,0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957
18,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,1.0,1.0,0,12_1036800_726750000_2133000000,1,103.5906867980957,29.0035,0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957
19,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,1.0,1.0,0,12_1036800_726750000_2133000000,1,103.5906867980957,29.0035,0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957
20,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,1.0,1.0,0,12_1036800_726750000_2133000000,1,103.5906867980957,29.0035,0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957
21,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,1.0,1.0,0,12_1036800_726750000_2133000000,1,103.5906867980957,29.0035,0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957
22,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,1.0,1.0,0,12_1036800_726750000_2133000000,1,103.5906867980957,29.0035,0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957
23,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,1.0,1.0,0,12_1036800_726750000_2133000000,1,103.5906867980957,29.0035,0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957
24,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,1.0,1.0,0,12_1036800_726750000_2133000000,1,103.5906867980957,29.0035,0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957
25,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,1.0,1.0,0,12_1036800_726750000_2133000000,1,103.5906867980957,29.0035,0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957
