powermode_random,observed_time_random,observed_power_random,power_budget,powermode_nn,observed_time_nn,observed_power_nn
,,,10.0,,,
,,,11.0,,,
,,,12.0,,,
,,,13.0,,,
,,,14.0,,,
,,,15.0,8_1344000_114750000_2133000000,7887.8974609375,16.969
4_1036800_114750000_665600000,7886.930419921875,15.664,16.0,8_1651200_318750000_665600000,4140.13232421875,19.076
4_1958400_114750000_665600000,7884.528564453125,16.065,17.0,8_1036800_522750000_665600000,3963.326171875,19.679
12_1036800_114750000_3199000000,7854.798828125,17.7745,18.0,8_1344000_318750000_2133000000,2871.5538330078125,22.388
8_729600_318750000_665600000,4140.625,18.776,19.0,8_1651200_318750000_2133000000,2869.8902587890625,22.489
12_1036800_522750000_665600000,3963.046875,19.679,20.0,12_1344000_318750000_2133000000,2862.606201171875,22.388
4_1651200_726750000_665600000,3931.531005859375,20.878,21.0,8_1344000_522750000_2133000000,1819.9705200195312,27.206
12_1651200_726750000_665600000,3930.4951171875,21.278,22.0,8_1651200_522750000_2133000000,1785.8363647460938,27.708
8_1958400_318750000_2133000000,2870.1822509765625,22.895,23.0,8_1651200_522750000_2133000000,1785.8363647460938,27.708
12_2201600_318750000_2133000000,2859.4132080078125,23.697,24.0,8_1651200_522750000_2133000000,1785.8363647460938,27.708
12_729600_318750000_3199000000,2848.257202148437,24.092,25.0,4_1651200_726750000_2133000000,1467.5656127929688,31.821
12_729600_318750000_3199000000,2848.257202148437,24.092,26.0,4_1651200_726750000_2133000000,1467.5656127929688,31.821
12_729600_318750000_3199000000,2848.257202148437,24.092,27.0,4_1651200_726750000_2133000000,1467.5656127929688,31.821
8_1651200_522750000_2133000000,1785.8363647460938,27.708,28.0,4_1651200_726750000_2133000000,1467.5656127929688,31.821
8_1651200_522750000_2133000000,1785.8363647460938,27.708,29.0,4_1344000_930750000_2133000000,1368.1658325195312,35.423
12_1036800_522750000_3199000000,1759.7711791992188,29.611,30.0,4_1651200_930750000_2133000000,1354.38671875,35.917
4_729600_726750000_2133000000,1520.5863647460938,30.818,31.0,4_1651200_930750000_2133000000,1354.38671875,35.917
8_1651200_726750000_2133000000,1466.020751953125,31.821,32.0,8_1651200_726750000_3199000000,1298.9701538085938,35.8595
8_1651200_726750000_2133000000,1466.020751953125,31.821,33.0,8_1651200_726750000_3199000000,1298.9701538085938,35.8595
8_1651200_726750000_2133000000,1466.020751953125,31.821,34.0,8_1651200_726750000_3199000000,1298.9701538085938,35.8595
8_1651200_726750000_2133000000,1466.020751953125,31.821,35.0,8_1651200_726750000_3199000000,1298.9701538085938,35.8595
12_1344000_726750000_3199000000,1303.1639404296875,35.605,36.0,8_1651200_930750000_3199000000,1111.5471801757812,42.422
12_1344000_726750000_3199000000,1303.1639404296875,35.605,37.0,8_1651200_930750000_3199000000,1111.5471801757812,42.422
12_1344000_726750000_3199000000,1303.1639404296875,35.605,38.0,8_1651200_930750000_3199000000,1111.5471801757812,42.422
12_1344000_726750000_3199000000,1303.1639404296875,35.605,39.0,8_1651200_930750000_3199000000,1111.5471801757812,42.422
12_1344000_726750000_3199000000,1303.1639404296875,35.605,40.0,8_1651200_930750000_3199000000,1111.5471801757812,42.422
12_1344000_726750000_3199000000,1303.1639404296875,35.605,41.0,4_1651200_1134750000_3199000000,975.7864074707032,48.9
4_729600_930750000_3199000000,1127.0880737304688,41.218,42.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,43.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,44.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,45.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,46.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,47.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,48.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,49.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,50.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,51.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,52.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,53.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,54.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,55.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,56.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,57.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,58.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,59.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
8_1958400_930750000_3199000000,1059.2462768554688,42.716,60.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
