powermode_random,observed_time_random,observed_power_random,power_budget,powermode_nn,observed_time_nn,observed_power_nn,flag
4_1651200_114750000_2133000000,7859.7236328125,16.969,17.0,12_729600_114750000_665600000,7886.872314453125,16.065,True
4_1958400_114750000_3199000000,7854.647216796875,17.873,18.0,8_1344000_318750000_665600000,4145.834228515625,19.076,True
4_1036800_318750000_665600000,4144.67041015625,18.772,19.0,4_1036800_522750000_665600000,3967.6009521484375,19.278,True
8_729600_522750000_665600000,3961.261962890625,19.569,20.0,8_1651200_522750000_665600000,3956.7408447265625,19.682,True
4_1651200_726750000_665600000,3931.531005859375,20.878,21.0,8_1651200_318750000_2133000000,2869.8902587890625,22.489,True
4_422400_318750000_2133000000,2908.035888671875,21.992,22.0,8_1958400_318750000_2133000000,2870.1822509765625,22.895,True
12_1651200_318750000_2133000000,2862.35205078125,22.89,23.0,8_1958400_318750000_2133000000,2870.1822509765625,22.895,True
12_1344000_318750000_3199000000,2845.3087158203125,23.996,24.0,8_1958400_522750000_2133000000,1785.75341796875,28.109,False
12_1651200_318750000_3199000000,2844.6593017578125,24.397,25.0,12_2201600_522750000_2133000000,1806.0181884765625,28.911,False
12_2201600_318750000_3199000000,2843.609130859375,25.305,26.0,12_2201600_522750000_2133000000,1806.0181884765625,28.911,False
12_2201600_318750000_3199000000,2843.609130859375,25.305,27.0,4_1344000_726750000_2133000000,1477.5097045898438,31.413,False
4_1651200_522750000_2133000000,1786.4495239257812,27.708,28.0,8_1958400_726750000_2133000000,1556.34765625,31.613,False
12_1958400_522750000_2133000000,1783.6943359375,28.5065,29.0,12_2201600_726750000_2133000000,1558.4591674804688,32.414,False
8_1651200_522750000_3199000000,1757.2018432617188,29.611,30.0,12_2201600_726750000_2133000000,1558.4591674804688,32.414,True
4_729600_726750000_2133000000,1520.5863647460938,30.818,31.0,4_1651200_930750000_2133000000,1354.38671875,35.917,False
8_1651200_726750000_2133000000,1466.020751953125,31.821,32.0,8_1958400_930750000_2133000000,1361.2135009765625,36.326,False
8_1651200_726750000_2133000000,1466.020751953125,31.821,33.0,8_1958400_930750000_2133000000,1361.2135009765625,36.326,False
4_422400_726750000_3199000000,1431.6017456054688,33.8,34.0,8_1651200_726750000_3199000000,1298.9701538085938,35.8595,True
8_1036800_726750000_3199000000,1322.6500854492188,34.996,35.0,8_2201600_726750000_3199000000,1300.7615966796875,37.008,True
4_1651200_726750000_3199000000,1303.9596557617188,35.605,36.0,12_2201600_726750000_3199000000,1303.833251953125,37.363,True
12_1958400_726750000_3199000000,1297.4757080078125,36.8,37.0,12_2201600_726750000_3199000000,1303.833251953125,37.363,True
12_1958400_726750000_3199000000,1297.4757080078125,36.8,38.0,4_1651200_930750000_3199000000,1055.4449462890625,43.215,False
12_1958400_726750000_3199000000,1297.4757080078125,36.8,39.0,8_1958400_930750000_3199000000,1059.2462768554688,42.716,True
4_422400_930750000_3199000000,1207.51416015625,39.214,40.0,8_2201600_930750000_3199000000,1123.9912109375,42.512,True
8_422400_930750000_3199000000,1179.7191772460938,40.597,41.0,8_2201600_930750000_3199000000,1123.9912109375,42.512,True
4_1344000_930750000_3199000000,1084.5501098632812,41.212,42.0,8_2201600_930750000_3199000000,1123.9912109375,42.512,True
8_1958400_930750000_3199000000,1059.2462768554688,42.716,43.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951,False
12_1651200_930750000_3199000000,1057.350341796875,43.424,44.0,4_2201600_1134750000_3199000000,968.724151611328,50.315,False
12_1651200_930750000_3199000000,1057.350341796875,43.424,45.0,4_2201600_1134750000_3199000000,968.724151611328,50.315,False
12_1651200_930750000_3199000000,1057.350341796875,43.424,46.0,4_2201600_1134750000_3199000000,968.724151611328,50.315,True
12_1651200_930750000_3199000000,1057.350341796875,43.424,47.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53,False
12_1651200_930750000_3199000000,1057.350341796875,43.424,48.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53,False
4_1958400_1134750000_3199000000,973.1531982421876,48.951,49.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53,False
12_1651200_1134750000_3199000000,962.9271850585938,49.902,50.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53,False
12_1651200_1134750000_3199000000,962.9271850585938,49.902,51.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53,False
12_1651200_1134750000_3199000000,962.9271850585938,49.902,52.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53,True
12_1651200_1134750000_3199000000,962.9271850585938,49.902,53.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53,True
12_1651200_1134750000_3199000000,962.9271850585938,49.902,54.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53,True
4_1344000_1300500000_3199000000,953.1663818359376,54.541,55.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53,True
8_1651200_1300500000_3199000000,922.5975646972656,55.9295,56.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53,True
8_1651200_1300500000_3199000000,922.5975646972656,55.9295,57.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53,True
8_1651200_1300500000_3199000000,922.5975646972656,55.9295,58.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53,True
8_1651200_1300500000_3199000000,922.5975646972656,55.9295,59.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53,True
8_1651200_1300500000_3199000000,922.5975646972656,55.9295,60.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53,True
