powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim
8_1036800_114750000_665600000,8.906192302703857,1.0,15.965,16.0,0.0,15.0,2.0,1.0,8_1344000_114750000_665600000,8.829440116882324,1.0,15.965,0.0,1.0
8_1344000_114750000_2133000000,8.46068811416626,1.0,16.969,17.0,0.0,15.0,2.0,1.0,12_1958400_114750000_665600000,8.421743869781494,1.0,16.867,0.0,1.0
8_1344000_114750000_2133000000,8.46068811416626,1.0,16.969,18.0,0.0,15.0,2.0,1.0,4_1958400_114750000_3199000000,8.183807849884033,1.0,17.873,0.0,1.0
8_1344000_114750000_2133000000,8.46068811416626,1.0,16.969,19.0,0.0,15.0,2.0,1.0,4_1344000_318750000_665600000,5.57092809677124,1.0,18.772,0.0,1.0
8_1344000_114750000_2133000000,8.46068811416626,1.0,16.969,20.0,0.0,15.0,2.0,1.0,4_1958400_522750000_665600000,3.781231999397278,1.0,19.775,0.0,1.0
8_1344000_726750000_665600000,4.723439931869507,1.0,20.481,21.0,0.0,15.0,2.0,1.0,4_1958400_522750000_665600000,3.781231999397278,1.0,19.775,0.0,1.0
8_1344000_726750000_665600000,4.723439931869507,1.0,20.481,22.0,0.0,15.0,2.0,1.0,4_2201600_726750000_665600000,3.7666399478912354,1.0,21.378,0.0,1.0
8_729600_318750000_2133000000,4.336496114730835,1.0,22.384,23.0,0.0,15.0,2.0,1.0,12_1036800_318750000_2133000000,3.344480037689209,1.0,22.85,0.0,1.0
8_1344000_318750000_2133000000,2.882607936859131,1.0,23.862,24.0,0.0,15.0,2.0,1.0,12_1344000_318750000_2133000000,2.8803040981292725,1.0,23.864,0.0,1.0
8_1344000_318750000_2133000000,2.882607936859131,1.0,23.862,25.0,0.0,15.0,2.0,1.0,12_1344000_318750000_2133000000,2.8803040981292725,1.0,23.864,0.0,1.0
8_1344000_318750000_2133000000,2.882607936859131,1.0,23.862,26.0,0.0,15.0,2.0,1.0,8_1651200_318750000_2133000000,2.5071040391922,1.0,25.37,0.0,1.0
8_1958400_318750000_2133000000,2.245743989944458,1.0,26.875,27.0,0.0,15.0,2.0,1.0,4_1958400_318750000_2133000000,2.242591977119446,1.0,26.786,0.0,1.0
8_1958400_318750000_2133000000,2.245743989944458,1.0,26.875,28.0,0.0,15.0,2.0,1.0,4_2201600_318750000_2133000000,2.091904044151306,1.0,27.787,0.0,1.0
8_1958400_318750000_2133000000,2.245743989944458,1.0,26.875,29.0,0.0,15.0,2.0,1.0,4_2201600_318750000_2133000000,2.091904044151306,1.0,27.787,0.0,1.0
8_1958400_318750000_2133000000,2.245743989944458,1.0,26.875,30.0,0.0,15.0,2.0,1.0,4_2201600_318750000_2133000000,2.091904044151306,1.0,27.787,0.0,1.0
8_1958400_318750000_2133000000,2.245743989944458,1.0,26.875,31.0,0.0,15.0,2.0,1.0,4_2201600_318750000_2133000000,2.091904044151306,1.0,27.787,0.0,1.0
8_2201600_522750000_3199000000,2.576416015625,1.0,30.814,32.0,0.0,14.0,2.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_522750000_3199000000,2.576416015625,1.0,30.814,33.0,0.0,14.0,2.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,34.0,0.0,14.0,2.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,35.0,0.0,14.0,2.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,36.0,0.0,14.0,2.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,37.0,0.0,14.0,2.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,38.0,0.0,14.0,2.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,39.0,0.0,14.0,2.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,40.0,0.0,14.0,2.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,41.0,0.0,14.0,2.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,42.0,0.0,14.0,2.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,43.0,0.0,14.0,2.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,44.0,0.0,14.0,2.0,1.0,12_2201600_930750000_3199000000,2.085503935813904,1.0,43.9145,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,45.0,0.0,14.0,2.0,1.0,12_2201600_930750000_3199000000,2.085503935813904,1.0,43.9145,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,46.0,0.0,14.0,2.0,1.0,12_2201600_930750000_3199000000,2.085503935813904,1.0,43.9145,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,47.0,0.0,14.0,2.0,1.0,12_2201600_1300500000_2133000000,2.082015991210937,1.0,46.652,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,48.0,0.0,14.0,2.0,1.0,4_1344000_1134750000_3199000000,2.725232005119324,1.0,47.91,1.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,49.0,0.0,14.0,2.0,1.0,4_1958400_1134750000_3199000000,2.10974395275116,1.0,48.951,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,50.0,1.0,14.0,2.0,1.0,8_1958400_1134750000_3199000000,2.1089119911193848,1.0,49.12,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,51.0,1.0,14.0,2.0,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,52.0,1.0,14.0,2.0,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,53.0,1.0,14.0,2.0,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,54.0,1.0,14.0,2.0,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,55.0,1.0,14.0,2.0,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1651200_1300500000_3199000000,2.312991976737976,1.0,55.9295,56.0,1.0,14.0,2.0,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1958400_1300500000_3199000000,2.037551999092102,1.0,56.431,57.0,1.0,14.0,2.0,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,58.0,1.0,14.0,2.0,1.0,8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,1.0,1.0
8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,59.0,1.0,14.0,2.0,1.0,8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,1.0,1.0
8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,60.0,1.0,14.0,2.0,1.0,8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,1.0,1.0
8_1036800_114750000_665600000,8.906192302703857,1.0,15.965,16.0,0.0,15.0,2.5,1.0,8_1344000_114750000_665600000,8.829440116882324,1.0,15.965,0.0,1.0
8_1344000_114750000_2133000000,8.46068811416626,1.0,16.969,17.0,0.0,15.0,2.5,1.0,12_1958400_114750000_665600000,8.421743869781494,1.0,16.867,0.0,1.0
8_1344000_114750000_2133000000,8.46068811416626,1.0,16.969,18.0,0.0,15.0,2.5,1.0,4_1958400_114750000_3199000000,8.183807849884033,1.0,17.873,0.0,1.0
8_1344000_114750000_2133000000,8.46068811416626,1.0,16.969,19.0,0.0,15.0,2.5,1.0,4_1344000_318750000_665600000,5.57092809677124,1.0,18.772,0.0,1.0
8_1344000_114750000_2133000000,8.46068811416626,1.0,16.969,20.0,0.0,15.0,2.5,1.0,4_1958400_522750000_665600000,3.781231999397278,1.0,19.775,0.0,1.0
8_1344000_726750000_665600000,4.723439931869507,1.0,20.481,21.0,0.0,15.0,2.5,1.0,4_1958400_522750000_665600000,3.781231999397278,1.0,19.775,0.0,1.0
8_1344000_726750000_665600000,4.723439931869507,1.0,20.481,22.0,0.0,15.0,2.5,1.0,4_2201600_726750000_665600000,3.7666399478912354,1.0,21.378,0.0,1.0
8_729600_318750000_2133000000,4.336496114730835,1.0,22.384,23.0,0.0,15.0,2.5,1.0,12_1036800_318750000_2133000000,3.344480037689209,1.0,22.85,0.0,1.0
8_1344000_318750000_2133000000,2.882607936859131,1.0,23.862,24.0,0.0,15.0,2.5,1.0,12_1344000_318750000_2133000000,2.8803040981292725,1.0,23.864,0.0,1.0
8_1344000_318750000_2133000000,2.882607936859131,1.0,23.862,25.0,0.0,15.0,2.5,1.0,12_1344000_318750000_2133000000,2.8803040981292725,1.0,23.864,0.0,1.0
8_1344000_318750000_2133000000,2.882607936859131,1.0,23.862,26.0,0.0,15.0,2.5,1.0,8_1651200_318750000_2133000000,2.5071040391922,1.0,25.37,0.0,1.0
8_1958400_318750000_2133000000,2.245743989944458,1.0,26.875,27.0,0.0,15.0,2.5,1.0,4_1958400_318750000_2133000000,2.242591977119446,1.0,26.786,0.0,1.0
8_1958400_318750000_2133000000,2.245743989944458,1.0,26.875,28.0,0.0,15.0,2.5,1.0,4_2201600_318750000_2133000000,2.091904044151306,1.0,27.787,0.0,1.0
8_1958400_318750000_2133000000,2.245743989944458,1.0,26.875,29.0,0.0,15.0,2.5,1.0,4_2201600_318750000_2133000000,2.091904044151306,1.0,27.787,0.0,1.0
8_1958400_318750000_2133000000,2.245743989944458,1.0,26.875,30.0,0.0,15.0,2.5,1.0,4_2201600_318750000_2133000000,2.091904044151306,1.0,27.787,0.0,1.0
8_1958400_318750000_2133000000,2.245743989944458,1.0,26.875,31.0,0.0,15.0,2.5,1.0,4_2201600_318750000_2133000000,2.091904044151306,1.0,27.787,0.0,1.0
8_2201600_522750000_3199000000,2.576416015625,1.0,30.814,32.0,0.0,14.0,2.5,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_522750000_3199000000,2.576416015625,1.0,30.814,33.0,0.0,14.0,2.5,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,34.0,0.0,14.0,2.5,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,35.0,0.0,14.0,2.5,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,36.0,0.0,14.0,2.5,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,37.0,0.0,14.0,2.5,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,38.0,0.0,14.0,2.5,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,39.0,0.0,14.0,2.5,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,40.0,0.0,14.0,2.5,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,41.0,0.0,14.0,2.5,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,42.0,0.0,14.0,2.5,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,43.0,0.0,14.0,2.5,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,44.0,0.0,14.0,2.5,1.0,12_2201600_930750000_3199000000,2.085503935813904,1.0,43.9145,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,45.0,0.0,14.0,2.5,1.0,12_2201600_930750000_3199000000,2.085503935813904,1.0,43.9145,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,46.0,0.0,14.0,2.5,1.0,12_2201600_930750000_3199000000,2.085503935813904,1.0,43.9145,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,47.0,0.0,14.0,2.5,1.0,12_2201600_1300500000_2133000000,2.082015991210937,1.0,46.652,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,48.0,0.0,14.0,2.5,1.0,4_1344000_1134750000_3199000000,2.725232005119324,1.0,47.91,1.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,49.0,0.0,14.0,2.5,1.0,4_1958400_1134750000_3199000000,2.10974395275116,1.0,48.951,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,50.0,1.0,14.0,2.5,1.0,8_1958400_1134750000_3199000000,2.1089119911193848,1.0,49.12,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,51.0,1.0,14.0,2.5,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,52.0,1.0,14.0,2.5,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,53.0,1.0,14.0,2.5,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,54.0,1.0,14.0,2.5,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,55.0,1.0,14.0,2.5,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1651200_1300500000_3199000000,2.312991976737976,1.0,55.9295,56.0,1.0,14.0,2.5,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1958400_1300500000_3199000000,2.037551999092102,1.0,56.431,57.0,1.0,14.0,2.5,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,58.0,1.0,14.0,2.5,1.0,8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,1.0,1.0
8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,59.0,1.0,14.0,2.5,1.0,8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,1.0,1.0
8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,60.0,1.0,14.0,2.5,1.0,8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,1.0,1.0
8_1036800_114750000_665600000,8.906192302703857,1.0,15.965,16.0,0.0,15.0,3.0,1.0,8_1344000_114750000_665600000,8.829440116882324,1.0,15.965,0.0,1.0
8_1344000_114750000_2133000000,8.46068811416626,1.0,16.969,17.0,0.0,15.0,3.0,1.0,12_1958400_114750000_665600000,8.421743869781494,1.0,16.867,0.0,1.0
8_1344000_114750000_2133000000,8.46068811416626,1.0,16.969,18.0,0.0,15.0,3.0,1.0,4_1958400_114750000_3199000000,8.183807849884033,1.0,17.873,0.0,1.0
8_1344000_114750000_2133000000,8.46068811416626,1.0,16.969,19.0,0.0,15.0,3.0,1.0,4_1344000_318750000_665600000,5.57092809677124,1.0,18.772,0.0,1.0
8_1344000_114750000_2133000000,8.46068811416626,1.0,16.969,20.0,0.0,15.0,3.0,1.0,4_1958400_522750000_665600000,3.781231999397278,1.0,19.775,0.0,1.0
8_1344000_726750000_665600000,4.723439931869507,1.0,20.481,21.0,0.0,15.0,3.0,1.0,4_1958400_522750000_665600000,3.781231999397278,1.0,19.775,0.0,1.0
8_1344000_726750000_665600000,4.723439931869507,1.0,20.481,22.0,0.0,15.0,3.0,1.0,4_2201600_726750000_665600000,3.7666399478912354,1.0,21.378,0.0,1.0
8_729600_318750000_2133000000,4.336496114730835,1.0,22.384,23.0,0.0,15.0,3.0,1.0,12_1036800_318750000_2133000000,3.344480037689209,1.0,22.85,0.0,1.0
8_1344000_318750000_2133000000,2.882607936859131,1.0,23.862,24.0,0.0,15.0,3.0,1.0,12_1344000_318750000_2133000000,2.8803040981292725,1.0,23.864,0.0,1.0
8_1344000_318750000_2133000000,2.882607936859131,1.0,23.862,25.0,0.0,15.0,3.0,1.0,12_1344000_318750000_2133000000,2.8803040981292725,1.0,23.864,0.0,1.0
8_1344000_318750000_2133000000,2.882607936859131,1.0,23.862,26.0,0.0,15.0,3.0,1.0,8_1651200_318750000_2133000000,2.5071040391922,1.0,25.37,0.0,1.0
8_1958400_318750000_2133000000,2.245743989944458,1.0,26.875,27.0,0.0,15.0,3.0,1.0,4_1958400_318750000_2133000000,2.242591977119446,1.0,26.786,0.0,1.0
8_1958400_318750000_2133000000,2.245743989944458,1.0,26.875,28.0,0.0,15.0,3.0,1.0,4_2201600_318750000_2133000000,2.091904044151306,1.0,27.787,0.0,1.0
8_1958400_318750000_2133000000,2.245743989944458,1.0,26.875,29.0,0.0,15.0,3.0,1.0,4_2201600_318750000_2133000000,2.091904044151306,1.0,27.787,0.0,1.0
8_1958400_318750000_2133000000,2.245743989944458,1.0,26.875,30.0,0.0,15.0,3.0,1.0,4_2201600_318750000_2133000000,2.091904044151306,1.0,27.787,0.0,1.0
8_1958400_318750000_2133000000,2.245743989944458,1.0,26.875,31.0,0.0,15.0,3.0,1.0,4_2201600_318750000_2133000000,2.091904044151306,1.0,27.787,0.0,1.0
8_2201600_522750000_3199000000,2.576416015625,1.0,30.814,32.0,0.0,14.0,3.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_522750000_3199000000,2.576416015625,1.0,30.814,33.0,0.0,14.0,3.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,34.0,0.0,14.0,3.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,35.0,0.0,14.0,3.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,36.0,0.0,14.0,3.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,37.0,0.0,14.0,3.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,38.0,0.0,14.0,3.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,39.0,0.0,14.0,3.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,40.0,0.0,14.0,3.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,41.0,0.0,14.0,3.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,42.0,0.0,14.0,3.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,43.0,0.0,14.0,3.0,1.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,31.419,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,44.0,0.0,14.0,3.0,1.0,12_2201600_930750000_3199000000,2.085503935813904,1.0,43.9145,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,45.0,0.0,14.0,3.0,1.0,12_2201600_930750000_3199000000,2.085503935813904,1.0,43.9145,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,46.0,0.0,14.0,3.0,1.0,12_2201600_930750000_3199000000,2.085503935813904,1.0,43.9145,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,47.0,0.0,14.0,3.0,1.0,12_2201600_1300500000_2133000000,2.082015991210937,1.0,46.652,0.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,48.0,0.0,14.0,3.0,1.0,4_1344000_1134750000_3199000000,2.725232005119324,1.0,47.91,1.0,1.0
8_2201600_726750000_2133000000,2.087440013885498,1.0,33.017,49.0,0.0,14.0,3.0,1.0,4_1958400_1134750000_3199000000,2.10974395275116,1.0,48.951,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,50.0,1.0,14.0,3.0,1.0,8_1958400_1134750000_3199000000,2.1089119911193848,1.0,49.12,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,51.0,1.0,14.0,3.0,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,52.0,1.0,14.0,3.0,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,53.0,1.0,14.0,3.0,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,54.0,1.0,14.0,3.0,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1344000_1134750000_3199000000,2.737792015075684,1.0,49.212,55.0,1.0,14.0,3.0,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1651200_1300500000_3199000000,2.312991976737976,1.0,55.9295,56.0,1.0,14.0,3.0,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_1958400_1300500000_3199000000,2.037551999092102,1.0,56.431,57.0,1.0,14.0,3.0,1.0,4_2201600_1134750000_3199000000,1.95687997341156,1.0,50.315,1.0,1.0
8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,58.0,1.0,14.0,3.0,1.0,8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,1.0,1.0
8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,59.0,1.0,14.0,3.0,1.0,8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,1.0,1.0
8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,60.0,1.0,14.0,3.0,1.0,8_2201600_1300500000_3199000000,1.9183200001716612,1.0,57.934,1.0,1.0
8_1036800_114750000_665600000,8.906192302703857,1.0,15.965,16.0,0.0,15.0,3.5,1.0,8_1344000_114750000_665600000,8.829440116882324,1.0,15.965,0.0,1.0
8_1344000_114750000_2133000000,8.46068811416626,1.0,16.969,17.0,0.0,15.0,3.5,1.0,12_1958400_114750000_665600000,8.421743869781494,1.0,16.867,0.0,1.0
8_1344000_114750000_2133000000,8.46068811416626,1.0,16.969,18.0,0.0,15.0,3.5,1.0,4_1958400_114750000_3199000000,8.183807849884033,1.0,17.873,0.0,1.0
8_1344000_114750000_2133000000,8.46068811416626,1.0,16.969,19.0,0.0,15.0,3.5,1.0,4_1344000_318750000_665600000,5.57092809677124,1.0,18.772,0.0,1.0
8_1344000_114750000_2133000000,8.46068811416626,1.0,16.969,20.0,0.0,15.0,3.5,1.0,4_1958400_522750000_665600000,3.781231999397278,1.0,19.775,0.0,1.0
8_1344000_726750000_665600000,4.723439931869507,1.0,20.481,21.0,0.0,15.0,3.5,1.0,4_1958400_522750000_665600000,3.781231999397278,1.0,19.775,0.0,1.0
8_1344000_726750000_665600000,4.723439931869507,1.0,20.481,22.0,0.0,15.0,3.5,1.0,4_2201600_726750000_665600000,3.7666399478912354,1.0,21.378,0.0,1.0
