powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random
4_1036800_114750000_665600000,555.7756652832031,1.0,15.664,17.0,0.0,2.0,1.0,4_1958400_114750000_665600000,8.529327869415283,1.0,16.065,0.0
4_1036800_114750000_665600000,555.7756652832031,1.0,15.664,18.0,0.0,2.0,1.0,8_1651200_114750000_3199000000,8.302223682403564,1.0,17.873,0.0
4_1036800_114750000_665600000,555.7756652832031,1.0,15.664,19.0,0.0,2.0,1.0,8_729600_318750000_665600000,6.139024019241333,1.0,18.776,0.0
4_1344000_522750000_665600000,238.12332916259768,1.0,19.477,20.0,0.0,2.0,1.0,12_1958400_318750000_665600000,4.116288185119629,1.0,19.979,0.0
12_1036800_522750000_665600000,239.859375,1.0,20.38,21.0,0.0,2.0,1.0,4_1651200_726750000_665600000,3.9901119470596313,1.0,20.878,0.0
12_1036800_522750000_665600000,239.859375,1.0,20.38,22.0,0.0,2.0,1.0,8_1958400_726750000_665600000,3.892832040786743,1.0,21.279,0.0
12_1958400_318750000_2133000000,202.1840667724609,1.0,23.296,23.0,0.0,2.0,1.0,8_1958400_726750000_665600000,3.892832040786743,1.0,21.279,0.0
12_1958400_318750000_2133000000,202.1840667724609,1.0,23.296,24.0,0.0,2.0,1.0,8_1958400_726750000_665600000,3.892832040786743,1.0,21.279,0.0
12_1958400_318750000_2133000000,202.1840667724609,1.0,23.296,25.0,0.0,2.0,1.0,8_1651200_318750000_3199000000,3.686240077018738,1.0,24.097,0.0
12_1958400_318750000_2133000000,202.1840667724609,1.0,23.296,26.0,0.0,2.0,1.0,8_1651200_318750000_3199000000,3.686240077018738,1.0,24.097,0.0
12_1958400_318750000_2133000000,202.1840667724609,1.0,23.296,27.0,0.0,2.0,1.0,8_1958400_318750000_2133000000,2.245743989944458,1.0,26.875,0.0
12_1958400_318750000_2133000000,202.1840667724609,1.0,23.296,28.0,0.0,2.0,1.0,12_1958400_318750000_2133000000,2.2348960638046265,1.0,27.78,0.0
12_1036800_522750000_3199000000,130.52982330322266,1.0,29.611,29.0,0.0,2.0,1.0,12_1958400_318750000_2133000000,2.2348960638046265,1.0,27.78,0.0
12_1036800_726750000_2133000000,103.5906867980957,1.0,31.706,30.0,0.0,2.0,1.0,12_2201600_318750000_2133000000,2.108832001686096,1.0,29.095,0.0
