powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim
8_1344000_726750000_665600000,89.27798271179199,4.0,18.432,19.0,1.0,13.0,0.5,30.0,12_1036800_318750000_2133000000,82.53490924835205,4.0,18.636,1.0,1.0
8_1344000_726750000_665600000,89.27798271179199,4.0,18.432,20.0,1.0,13.0,0.5,30.0,12_1036800_318750000_2133000000,82.53490924835205,4.0,18.636,1.0,1.0
8_1344000_318750000_2133000000,80.79683780670166,4.0,20.352,21.0,1.0,15.0,0.5,30.0,8_1958400_318750000_2133000000,76.73406600952148,4.0,20.854,1.0,1.0
8_1344000_318750000_2133000000,80.79683780670166,4.0,20.352,22.0,1.0,15.0,0.5,30.0,4_1958400_318750000_3199000000,75.55460929870605,4.0,21.963,2.0,1.0
8_1344000_318750000_2133000000,80.79683780670166,4.0,20.352,23.0,1.0,15.0,0.5,30.0,12_1036800_522750000_2133000000,59.96370315551758,4.0,22.458,3.0,1.0
8_1344000_522750000_2133000000,57.48426914215088,4.0,23.066,24.0,3.0,14.0,0.5,30.0,8_1958400_522750000_2133000000,53.01737785339356,4.0,23.972,4.0,1.0
8_1344000_726750000_2133000000,48.99942874908447,4.0,24.978,25.0,4.0,13.0,0.5,30.0,8_1344000_726750000_2133000000,48.99942874908447,4.0,24.978,4.0,1.0
8_1344000_726750000_2133000000,48.99942874908447,4.0,24.978,26.0,4.0,13.0,0.5,30.0,8_1958400_726750000_2133000000,45.14610767364502,4.0,25.884,5.0,1.0
8_1344000_726750000_2133000000,48.99942874908447,4.0,24.978,27.0,4.0,13.0,0.5,30.0,4_1651200_726750000_2133000000,44.77918148040772,4.0,26.584,5.0,1.0
8_2201600_726750000_2133000000,45.38917541503906,4.0,27.387,28.0,5.0,13.0,0.5,30.0,8_1651200_930750000_2133000000,43.09606552124024,4.0,27.897,5.0,1.0
