powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random
,,,,10.0,,0.5,30.0,,,,,
,,,,11.0,,0.5,30.0,,,,,
,,,,12.0,,0.5,30.0,,,,,
,,,,13.0,,0.5,30.0,,,,,
,,,,14.0,,0.5,30.0,,,,,
,,,,15.0,,0.5,30.0,,,,,
,,,,16.0,,0.5,30.0,,,,,
,,,,17.0,,0.5,30.0,,,,,
,,,,18.0,,0.5,30.0,8_1344000_522750000_665600000,92.57256984710692,4.0,17.669,0.0
,,,,19.0,,0.5,30.0,12_422400_522750000_2133000000,97.53406047821044,4.0,18.442,1.0
,,,,20.0,,0.5,30.0,12_422400_522750000_2133000000,97.53406047821044,4.0,18.442,1.0
,,,,21.0,,0.5,30.0,12_422400_522750000_2133000000,97.53406047821044,4.0,18.442,1.0
,,,,22.0,,0.5,30.0,12_422400_522750000_2133000000,97.53406047821044,4.0,18.442,1.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,23.0,7.0,0.5,30.0,8_2201600_318750000_3199000000,73.4628438949585,4.0,22.764,2.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,24.0,7.0,0.5,30.0,8_2201600_318750000_3199000000,73.4628438949585,4.0,22.764,2.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,25.0,7.0,0.5,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,26.0,7.0,0.5,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,27.0,7.0,0.5,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,28.0,7.0,0.5,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,29.0,7.0,0.5,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,30.0,7.0,0.5,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,31.0,7.0,0.5,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,32.0,7.0,0.5,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,33.0,7.0,0.5,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,34.0,7.0,0.5,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,35.0,7.0,0.5,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,36.0,7.0,0.5,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,37.0,7.0,0.5,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,38.0,7.0,0.5,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
12_1036800_726750000_2133000000,3.589856028556824,4.0,24.771,39.0,7.0,0.5,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
