powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random
4_1651200_318750000_665600000,4.645807981491089,4.0,17.027,17.0,2.0,0.5,30.0,8_729600_318750000_665600000,111.0149621963501,4.0,16.923,0.0
12_729600_318750000_3199000000,5.4757280349731445,4.0,21.254,18.0,4.0,0.5,30.0,12_1958400_318750000_665600000,31.229615211486816,1.0,17.832,0.0
12_729600_318750000_3199000000,5.4757280349731445,4.0,21.254,19.0,4.0,0.5,30.0,4_1651200_726750000_665600000,88.61756324768066,4.0,18.436,1.0
12_729600_318750000_3199000000,5.4757280349731445,4.0,21.254,20.0,4.0,0.5,30.0,8_1958400_726750000_665600000,86.53736114501953,4.0,19.1225,1.0
12_1036800_522750000_3199000000,3.8456640243530273,4.0,24.573,21.0,6.0,0.5,30.0,8_1958400_318750000_2133000000,76.73406600952148,4.0,20.854,1.0
12_1344000_726750000_3199000000,3.0127999782562256,4.0,28.102,22.0,8.0,0.5,30.0,8_1651200_318750000_3199000000,76.17723941802979,4.0,21.959,1.0
12_1344000_726750000_3199000000,3.0127999782562256,4.0,28.102,23.0,8.0,0.5,30.0,8_729600_522750000_2133000000,66.97094440460205,4.0,22.261,3.0
12_1344000_726750000_3199000000,3.0127999782562256,4.0,28.102,24.0,8.0,0.5,30.0,8_1651200_522750000_2133000000,55.89616298675537,4.0,23.468,3.0
4_1651200_726750000_3199000000,2.649232029914856,4.0,29.114,25.0,9.0,0.5,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
4_1651200_726750000_3199000000,2.649232029914856,4.0,29.114,26.0,9.0,0.5,30.0,8_1651200_726750000_2133000000,47.14298248291016,4.0,25.99,5.0
4_1651200_726750000_3199000000,2.649232029914856,4.0,29.114,27.0,9.0,0.5,30.0,8_1651200_726750000_2133000000,47.14298248291016,4.0,25.99,5.0
4_1651200_726750000_3199000000,2.649232029914856,4.0,29.114,28.0,9.0,0.5,30.0,8_1651200_726750000_2133000000,47.14298248291016,4.0,25.99,5.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,29.0,11.0,0.5,30.0,12_1344000_726750000_3199000000,44.64840888977051,4.0,28.102,6.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,30.0,11.0,0.5,30.0,4_2201600_930750000_2133000000,38.84756565093994,4.0,29.992,6.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,31.0,11.0,0.5,30.0,4_2201600_930750000_2133000000,38.84756565093994,4.0,29.992,6.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,32.0,11.0,0.5,30.0,4_2201600_930750000_2133000000,38.84756565093994,4.0,29.992,6.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,33.0,11.0,0.5,30.0,4_2201600_930750000_2133000000,38.84756565093994,4.0,29.992,6.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,34.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,35.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,36.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,37.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,38.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,39.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,40.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,41.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,42.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,43.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,44.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,45.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,46.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,47.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,48.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,49.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.21616005897522,4.0,33.636,50.0,11.0,0.5,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
12_1036800_522750000_665600000,4.956879854202271,16.0,17.527,17.0,12.0,0.6,30.0,8_729600_318750000_665600000,111.0149621963501,4.0,16.923,0.0
12_729600_318750000_3199000000,5.50596809387207,16.0,21.254,18.0,17.0,0.6,30.0,12_1958400_318750000_665600000,31.229615211486816,1.0,17.832,0.0
12_729600_318750000_3199000000,5.50596809387207,16.0,21.254,19.0,17.0,0.6,30.0,4_1651200_726750000_665600000,88.61756324768066,4.0,18.436,1.0
12_1958400_318750000_2133000000,3.5004159212112427,16.0,21.257,20.0,18.0,0.6,30.0,8_1958400_726750000_665600000,86.53736114501953,4.0,19.1225,1.0
4_1958400_522750000_2133000000,2.804928064346313,16.0,23.569,21.0,27.0,0.6,30.0,8_1958400_318750000_2133000000,76.73406600952148,4.0,20.854,1.0
12_1344000_726750000_3199000000,3.003791928291321,16.0,28.102,22.0,36.0,0.6,30.0,8_1651200_318750000_3199000000,76.17723941802979,4.0,21.959,1.0
12_1344000_726750000_3199000000,3.003791928291321,16.0,28.102,23.0,36.0,0.6,30.0,8_729600_522750000_2133000000,66.97094440460205,4.0,22.261,3.0
12_1344000_726750000_3199000000,3.003791928291321,16.0,28.102,24.0,36.0,0.6,30.0,8_1651200_522750000_2133000000,55.89616298675537,4.0,23.468,3.0
4_1651200_726750000_3199000000,2.627120018005371,16.0,29.114,25.0,37.0,0.6,30.0,12_1036800_726750000_2133000000,50.95350742340088,4.0,24.771,4.0
4_1651200_726750000_3199000000,2.627120018005371,16.0,29.114,26.0,37.0,0.6,30.0,8_1651200_726750000_2133000000,47.14298248291016,4.0,25.99,5.0
4_1651200_726750000_3199000000,2.627120018005371,16.0,29.114,27.0,37.0,0.6,30.0,8_1651200_726750000_2133000000,47.14298248291016,4.0,25.99,5.0
4_1651200_726750000_3199000000,2.627120018005371,16.0,29.114,28.0,37.0,0.6,30.0,8_1651200_726750000_2133000000,47.14298248291016,4.0,25.99,5.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,29.0,45.0,0.6,30.0,12_1344000_726750000_3199000000,44.64840888977051,4.0,28.102,6.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,30.0,45.0,0.6,30.0,4_2201600_930750000_2133000000,38.84756565093994,4.0,29.992,6.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,31.0,45.0,0.6,30.0,4_2201600_930750000_2133000000,38.84756565093994,4.0,29.992,6.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,32.0,45.0,0.6,30.0,4_2201600_930750000_2133000000,38.84756565093994,4.0,29.992,6.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,33.0,45.0,0.6,30.0,4_2201600_930750000_2133000000,38.84756565093994,4.0,29.992,6.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,34.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,35.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,36.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,37.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,38.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,39.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,40.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,41.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,42.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,43.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,44.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,45.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,46.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,47.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,48.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,49.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
8_1958400_930750000_3199000000,2.2081120014190674,16.0,33.636,50.0,45.0,0.6,30.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,33.636,8.0
12_1036800_522750000_665600000,4.956879854202271,16.0,17.527,17.0,12.0,0.7,30.0,8_729600_318750000_665600000,111.0149621963501,4.0,16.923,0.0
12_729600_318750000_3199000000,5.50596809387207,16.0,21.254,18.0,17.0,0.7,30.0,12_1958400_318750000_665600000,31.229615211486816,1.0,17.832,0.0
12_729600_318750000_3199000000,5.50596809387207,16.0,21.254,19.0,17.0,0.7,30.0,4_1651200_726750000_665600000,88.61756324768066,4.0,18.436,1.0
12_1958400_318750000_2133000000,3.5004159212112427,16.0,21.257,20.0,18.0,0.7,30.0,8_1958400_726750000_665600000,86.53736114501953,4.0,19.1225,1.0
4_1958400_522750000_2133000000,2.804928064346313,16.0,23.569,21.0,27.0,0.7,30.0,8_1958400_318750000_2133000000,76.73406600952148,4.0,20.854,1.0
