powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim
,,,,10.0,,22.0,0.5,30.0,,,,,,1.0
,,,,11.0,,22.0,0.5,30.0,,,,,,1.0
,,,,12.0,,22.0,0.5,30.0,,,,,,1.0
,,,,13.0,,22.0,0.5,30.0,,,,,,1.0
,,,,14.0,,22.0,0.5,30.0,,,,,,1.0
8_1651200_114750000_665600000,8.567071914672852,4.0,14.851,15.0,0.0,13.0,0.5,30.0,8_1651200_114750000_665600000,8.50432014465332,1.0,14.851,0.0,1.0
8_1344000_114750000_2133000000,8.454336166381836,4.0,15.454,16.0,0.0,13.0,0.5,30.0,12_1958400_114750000_665600000,8.274400234222412,4.0,15.748,0.0,1.0
8_1651200_114750000_3199000000,8.273119926452637,4.0,16.557,17.0,0.0,13.0,0.5,30.0,4_1036800_318750000_665600000,5.221120119094849,4.0,16.958,0.0,1.0
8_2201600_114750000_3199000000,8.191920280456543,4.0,17.865,18.0,0.0,13.0,0.5,30.0,4_1958400_318750000_665600000,4.117232084274292,1.0,17.861,0.0,1.0
8_2201600_114750000_3199000000,8.191920280456543,4.0,17.865,19.0,0.0,13.0,0.5,30.0,4_1958400_522750000_665600000,3.781231999397278,1.0,18.573,0.0,1.0
8_1958400_522750000_665600000,4.0030399560928345,4.0,19.364,20.0,0.0,14.0,0.5,30.0,8_1958400_318750000_2133000000,3.4871679544448853,4.0,19.979,0.0,1.0
8_2201600_522750000_665600000,3.919952034950256,4.0,20.169,21.0,0.0,14.0,0.5,30.0,4_2201600_318750000_2133000000,3.431264042854309,4.0,20.576,0.0,1.0
8_1344000_522750000_2133000000,3.3967360258102417,4.0,21.684,22.0,0.0,14.0,0.5,30.0,8_1344000_522750000_2133000000,3.3967360258102417,4.0,21.684,0.0,1.0
8_1344000_522750000_2133000000,3.3967360258102417,4.0,21.684,23.0,0.0,14.0,0.5,30.0,8_1651200_522750000_2133000000,3.0504961013793945,4.0,22.085,0.0,1.0
4_1344000_726750000_2133000000,3.2980159521102905,4.0,23.674,24.0,0.0,13.0,0.5,30.0,4_2201600_522750000_2133000000,2.660096049308777,4.0,23.729,0.0,1.0
8_1344000_726750000_2133000000,3.090655922889709,4.0,24.175,25.0,0.0,13.0,0.5,30.0,12_2201600_522750000_2133000000,2.6446080207824707,4.0,24.688,0.0,1.0
8_1344000_726750000_2133000000,3.090655922889709,4.0,24.175,26.0,0.0,13.0,0.5,30.0,4_1958400_726750000_2133000000,2.462239980697632,4.0,25.974,0.0,1.0
8_1651200_522750000_3199000000,3.0081599950790405,4.0,23.78,27.0,0.0,13.0,0.5,30.0,4_2201600_522750000_2133000000,2.0922720432281494,1.0,26.78,0.0,1.0
8_2201600_726750000_2133000000,2.3234879970550537,4.0,27.283,28.0,0.0,13.0,0.5,30.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,27.887,0.0,1.0
8_2201600_726750000_2133000000,2.3234879970550537,4.0,27.283,29.0,0.0,13.0,0.5,30.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,27.887,0.0,1.0
8_2201600_726750000_3199000000,2.2714399099349976,4.0,29.892,30.0,0.0,13.0,0.5,30.0,4_2201600_726750000_2133000000,2.0872960090637207,1.0,27.887,0.0,1.0
8_2201600_726750000_3199000000,2.2714399099349976,4.0,29.892,31.0,0.0,13.0,0.5,30.0,4_1651200_930750000_3199000000,2.457808017730713,4.0,30.382,1.0,1.0
8_2201600_726750000_3199000000,2.2714399099349976,4.0,29.892,32.0,0.0,13.0,0.5,30.0,4_1958400_1134750000_2133000000,2.2789920568466187,4.0,31.889,1.0,1.0
8_2201600_726750000_3199000000,2.2714399099349976,4.0,29.892,33.0,0.0,13.0,0.5,30.0,4_1958400_930750000_3199000000,2.198607921600342,4.0,32.391,1.0,1.0
8_2201600_726750000_3199000000,2.2714399099349976,4.0,29.892,34.0,0.0,13.0,0.5,30.0,4_2201600_1134750000_2133000000,2.1310880184173584,4.0,33.199,1.0,1.0
