powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,power_budget,num_train_batches_nn,time_budget,arr_rate,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,time_cond1,time_cond2
12_1651200_114750000_665600000,51.187007904052734,1.0,15.754,16.0,2.0,2.0,1.0,12_1651200_114750000_665600000,554.6401062011719,1.0,15.754,0.0,True,0.051187007904052735,1.0511870079040528,0.051187007904052735
12_1651200_114750000_665600000,51.187007904052734,1.0,15.754,17.0,2.0,2.0,1.0,12_1651200_114750000_665600000,554.6401062011719,1.0,15.754,0.0,True,0.051187007904052735,1.0511870079040528,0.051187007904052735
4_1651200_318750000_665600000,27.36411190032959,1.0,18.263,18.0,4.0,2.0,1.0,12_1036800_114750000_3199000000,548.587646484375,1.0,17.37,0.0,True,0.02736411190032959,1.0273641119003296,0.02736411190032959
4_1651200_318750000_665600000,27.36411190032959,1.0,18.263,19.0,4.0,2.0,1.0,4_1651200_318750000_665600000,261.2362823486328,1.0,18.775,3.0,True,0.02736411190032959,1.0273641119003296,0.02736411190032959
4_1651200_318750000_665600000,27.36411190032959,1.0,18.263,20.0,4.0,2.0,1.0,4_1344000_522750000_665600000,238.12332916259768,1.0,19.477,3.0,True,0.02736411190032959,1.0273641119003296,0.02736411190032959
4_1651200_726750000_665600000,27.35188770294189,1.0,20.575,21.0,4.0,2.0,1.0,4_1651200_726750000_665600000,229.46017456054688,1.0,20.583,3.0,True,0.02735188770294189,1.027351887702942,0.02735188770294189
4_729600_726750000_2133000000,42.69966506958008,1.0,21.062,22.0,5.0,2.0,1.0,8_1958400_726750000_665600000,229.00479888916016,1.0,21.478,3.0,True,0.042699665069580076,1.0426996650695801,0.042699665069580076
12_2201600_318750000_2133000000,20.58854389190674,1.0,23.0845,23.0,5.0,2.0,1.0,12_1958400_318750000_2133000000,202.1840667724609,1.0,22.087,4.0,True,0.020588543891906737,1.0205885438919067,0.020588543891906737
12_1036800_726750000_2133000000,31.342304229736328,1.0,28.095,24.0,9.0,2.0,1.0,8_729600_522750000_2133000000,149.07259368896484,1.0,23.988,7.0,False,0.03134230422973633,1.0313423042297363,0.03134230422973633
8_1651200_726750000_2133000000,21.710463523864743,1.0,28.186,25.0,10.0,2.0,1.0,8_729600_522750000_2133000000,149.07259368896484,1.0,23.988,7.0,False,0.021710463523864743,1.0217104635238647,0.021710463523864743
