powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim
,,,,10.0,,,,,,
,,,,11.0,,,,,,
,,,,12.0,,,,,,
,,,,13.0,,,,,,
,,,,14.0,,,,,,
,,,,15.0,,,,,,
,,,,16.0,,,,,,
,,,,17.0,,4_422400_522750000_665600000,490.4682636260986,16.0,16.757,0.0
,,,,18.0,,4_1344000_318750000_665600000,1556.6000938415527,64.0,17.872,2.0
,,,,19.0,,4_422400_726750000_3199000000,1367.2727346420288,64.0,18.861,3.0
,,,,20.0,,4_422400_726750000_3199000000,1367.2727346420288,64.0,18.861,3.0
8_1344000_726750000_665600000,1388.255596160889,64.0,20.575,21.0,3.0,12_422400_726750000_3199000000,939.307689666748,64.0,20.972,9.0
8_1344000_318750000_2133000000,1170.8800792694092,64.0,21.08,22.0,5.0,12_422400_726750000_3199000000,939.307689666748,64.0,20.972,9.0
8_422400_726750000_2133000000,1000.1519918441772,64.0,22.567,23.0,8.0,8_422400_726750000_3199000000,944.3717002868652,64.0,22.376,10.0
8_422400_726750000_2133000000,1000.1519918441772,64.0,22.567,24.0,8.0,12_422400_1134750000_2133000000,901.5934467315674,64.0,23.969,10.0
8_1344000_522750000_2133000000,838.6268615722656,64.0,24.59,25.0,11.0,8_1344000_522750000_2133000000,838.6268615722656,64.0,24.59,11.0
8_1344000_522750000_2133000000,838.6268615722656,64.0,24.59,26.0,11.0,12_1958400_522750000_2133000000,770.4112529754639,64.0,25.894,12.0
8_1344000_522750000_3199000000,798.2145547866821,64.0,26.384,27.0,11.0,4_1036800_930750000_3199000000,646.674394607544,64.0,26.288,13.0
12_1958400_522750000_3199000000,728.975772857666,64.0,27.682,28.0,12.0,8_729600_726750000_3199000000,742.8469657897949,64.0,27.932,15.0
12_1344000_726750000_2133000000,716.2142992019653,64.0,28.1,29.0,14.0,8_1958400_726750000_2133000000,657.315731048584,64.0,28.7515,15.0
8_1344000_726750000_3199000000,654.2959213256836,64.0,29.436,30.0,17.0,8_1344000_726750000_3199000000,654.2959213256836,64.0,29.436,17.0
8_1344000_726750000_3199000000,654.2959213256836,64.0,29.436,31.0,17.0,8_729600_1134750000_3199000000,625.6718635559082,64.0,30.878,19.0
8_1344000_726750000_3199000000,654.2959213256836,64.0,29.436,32.0,17.0,8_729600_1134750000_3199000000,625.6718635559082,64.0,30.878,19.0
8_1344000_726750000_3199000000,654.2959213256836,64.0,29.436,33.0,17.0,8_729600_1134750000_3199000000,625.6718635559082,64.0,30.878,19.0
8_1344000_726750000_3199000000,654.2959213256836,64.0,29.436,34.0,17.0,4_1651200_930750000_3199000000,548.5725402832031,64.0,33.703,21.0
8_1344000_726750000_3199000000,654.2959213256836,64.0,29.436,35.0,17.0,4_1651200_930750000_3199000000,548.5725402832031,64.0,33.703,21.0
8_1344000_726750000_3199000000,654.2959213256836,64.0,29.436,36.0,17.0,4_1958400_930750000_3199000000,528.2835960388184,64.0,35.602,22.0
8_1651200_930750000_3199000000,533.2515239715576,64.0,36.101,37.0,22.0,8_1344000_1300500000_3199000000,501.6167163848877,64.0,36.3445,26.0
8_1958400_930750000_3199000000,509.345293045044,64.0,37.809,38.0,23.0,8_1344000_1300500000_3199000000,501.6167163848877,64.0,36.3445,26.0
8_1958400_930750000_3199000000,509.345293045044,64.0,37.809,39.0,23.0,8_1344000_1300500000_3199000000,501.6167163848877,64.0,36.3445,26.0
8_2201600_930750000_3199000000,495.306134223938,64.0,39.21,40.0,23.0,8_1344000_1300500000_3199000000,501.6167163848877,64.0,36.3445,26.0
8_2201600_930750000_3199000000,495.306134223938,64.0,39.21,41.0,23.0,8_1344000_1300500000_3199000000,501.6167163848877,64.0,36.3445,26.0
8_1344000_1300500000_3199000000,501.6167163848877,64.0,36.3445,42.0,26.0,8_1344000_1300500000_3199000000,501.6167163848877,64.0,36.3445,26.0
8_1344000_1300500000_3199000000,501.6167163848877,64.0,36.3445,43.0,26.0,8_1344000_1300500000_3199000000,501.6167163848877,64.0,36.3445,26.0
8_1344000_1300500000_3199000000,501.6167163848877,64.0,36.3445,44.0,26.0,8_1958400_1134750000_3199000000,471.6416597366333,64.0,43.623,26.0
8_1344000_1300500000_3199000000,501.6167163848877,64.0,36.3445,45.0,26.0,12_1958400_1134750000_3199000000,467.78368949890137,64.0,44.024,26.0
8_1344000_1300500000_3199000000,501.6167163848877,64.0,36.3445,46.0,26.0,4_1958400_1300500000_3199000000,476.0338068008423,64.0,45.6715,27.0
8_1651200_1300500000_3199000000,465.6491279602051,64.0,46.474,47.0,28.0,12_1651200_1300500000_3199000000,461.80152893066406,64.0,46.5765,28.0
8_1651200_1300500000_3199000000,465.6491279602051,64.0,46.474,48.0,28.0,12_1651200_1300500000_3199000000,461.80152893066406,64.0,46.5765,28.0
8_1651200_1300500000_3199000000,465.6491279602051,64.0,46.474,49.0,28.0,12_1958400_1300500000_3199000000,447.6677179336548,64.0,48.7785,28.0
8_1958400_1300500000_3199000000,452.6045322418213,64.0,49.687,50.0,28.0,12_1958400_1300500000_3199000000,447.6677179336548,64.0,48.7785,28.0
