powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim
,,,,10.0,,,,,,
,,,,11.0,,,,,,
,,,,12.0,,,,,,
,,,,13.0,,,,,,
,,,,14.0,,,,,,
,,,,15.0,,,,,,
,,,,16.0,,,,,,
,,,,17.0,,,,,,
,,,,18.0,,4_1344000_318750000_665600000,105.0013303756714,4.0,17.7725,0.0
,,,,19.0,,8_1651200_318750000_665600000,32.263755798339844,1.0,18.266,0.0
,,,,20.0,,8_2201600_318750000_665600000,30.90345859527588,1.0,19.475,0.0
8_1344000_726750000_665600000,89.27798271179199,4.0,20.575,21.0,0.0,8_2201600_522750000_665600000,27.87137031555176,1.0,20.979,0.0
8_1344000_318750000_2133000000,80.79683780670166,4.0,21.08,22.0,0.0,12_1958400_318750000_2133000000,26.766180992126465,1.0,21.885,0.0
8_1344000_318750000_2133000000,80.79683780670166,4.0,21.08,23.0,0.0,12_2201600_726750000_665600000,25.699615478515625,1.0,22.68,0.0
8_1344000_318750000_2133000000,80.79683780670166,4.0,21.08,24.0,0.0,12_2201600_318750000_3199000000,25.37548542022705,1.0,23.893,0.0
8_1344000_522750000_2133000000,57.48426914215088,4.0,24.59,25.0,0.0,12_2201600_318750000_3199000000,25.37548542022705,1.0,23.893,0.0
8_1344000_522750000_2133000000,57.48426914215088,4.0,24.59,26.0,0.0,12_1958400_522750000_2133000000,21.645307540893555,1.0,25.894,0.0
4_1344000_726750000_2133000000,52.03711986541748,4.0,26.377,27.0,0.0,8_2201600_522750000_2133000000,20.13683319091797,1.0,26.7,0.0
12_1958400_522750000_3199000000,50.36783218383789,4.0,27.682,28.0,0.0,12_1958400_522750000_3199000000,19.838452339172363,1.0,27.682,0.0
8_1344000_726750000_2133000000,48.99942874908447,4.0,28.095,29.0,0.0,12_1958400_522750000_3199000000,19.838452339172363,1.0,27.682,0.0
8_1344000_726750000_3199000000,45.85099220275879,4.0,29.436,30.0,1.0,4_1651200_930750000_2133000000,44.182538986206055,4.0,29.885,1.0
8_1344000_726750000_3199000000,45.85099220275879,4.0,29.436,31.0,1.0,4_1651200_930750000_2133000000,44.182538986206055,4.0,29.885,1.0
8_1344000_726750000_3199000000,45.85099220275879,4.0,29.436,32.0,1.0,8_1958400_930750000_2133000000,40.83812236785889,4.0,31.8505,1.0
8_1344000_726750000_3199000000,45.85099220275879,4.0,29.436,33.0,1.0,4_1958400_930750000_2133000000,39.53945636749268,4.0,32.491,1.0
8_1344000_726750000_3199000000,45.85099220275879,4.0,29.436,34.0,1.0,4_1651200_930750000_3199000000,38.51628303527832,4.0,33.703,1.0
8_1344000_726750000_3199000000,45.85099220275879,4.0,29.436,35.0,1.0,4_1651200_930750000_3199000000,38.51628303527832,4.0,33.703,1.0
8_1344000_726750000_3199000000,45.85099220275879,4.0,29.436,36.0,1.0,4_1958400_930750000_3199000000,36.35942935943604,4.0,35.602,1.0
8_1651200_930750000_3199000000,36.13805770874024,4.0,36.101,37.0,1.0,12_1651200_930750000_3199000000,36.12661361694336,4.0,36.302,1.0
8_1958400_930750000_3199000000,35.405874252319336,4.0,37.809,38.0,1.0,8_1958400_930750000_3199000000,35.405874252319336,4.0,37.809,1.0
8_1958400_930750000_3199000000,35.405874252319336,4.0,37.809,39.0,1.0,12_1958400_930750000_3199000000,34.764885902404785,4.0,38.31,1.0
8_2201600_930750000_3199000000,34.62040424346924,4.0,39.21,40.0,1.0,12_2201600_930750000_3199000000,33.97643566131592,4.0,39.1,1.0
8_2201600_930750000_3199000000,34.62040424346924,4.0,39.21,41.0,1.0,12_2201600_930750000_3199000000,33.97643566131592,4.0,39.1,1.0
8_1344000_1134750000_3199000000,41.27693176269531,4.0,41.407,42.0,1.0,12_2201600_930750000_3199000000,33.97643566131592,4.0,39.1,1.0
8_1344000_1134750000_3199000000,41.27693176269531,4.0,41.407,43.0,1.0,12_2201600_930750000_3199000000,33.97643566131592,4.0,39.1,1.0
8_1344000_1134750000_3199000000,41.27693176269531,4.0,41.407,44.0,1.0,8_1958400_1134750000_3199000000,32.32705593109131,4.0,43.623,1.0
8_1344000_1134750000_3199000000,41.27693176269531,4.0,41.407,45.0,1.0,8_1958400_1134750000_3199000000,32.32705593109131,4.0,43.623,1.0
8_1344000_1134750000_3199000000,41.27693176269531,4.0,41.407,46.0,1.0,12_2201600_1134750000_3199000000,31.28623962402344,4.0,45.709,1.0
8_1651200_1300500000_3199000000,34.980177879333496,4.0,46.474,47.0,1.0,12_2201600_1134750000_3199000000,31.28623962402344,4.0,45.709,1.0
8_1651200_1300500000_3199000000,34.980177879333496,4.0,46.474,48.0,1.0,12_2201600_1134750000_3199000000,31.28623962402344,4.0,45.709,1.0
8_1651200_1300500000_3199000000,34.980177879333496,4.0,46.474,49.0,1.0,12_1958400_1300500000_3199000000,30.730843544006348,4.0,48.7785,1.0
8_1958400_1300500000_3199000000,31.920433044433597,4.0,49.687,50.0,1.0,12_1958400_1300500000_3199000000,30.730843544006348,4.0,48.7785,1.0
