powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim
,,,,10.0,,19.0,0.5,30.0,,,,,,1.0
,,,,11.0,,19.0,0.5,30.0,,,,,,1.0
,,,,12.0,,19.0,0.5,30.0,,,,,,1.0
,,,,13.0,,19.0,0.5,30.0,,,,,,1.0
,,,,14.0,,19.0,0.5,30.0,,,,,,1.0
,,,,15.0,,19.0,0.5,30.0,,,,,,1.0
,,,,16.0,,19.0,0.5,30.0,4_1651200_318750000_665600000,27.36411190032959,1.0,15.756,0.0,1.0
4_1344000_726750000_2133000000,28.58411121368408,1.0,16.7565,17.0,0.0,15.0,0.5,30.0,12_1651200_522750000_665600000,25.029839515686035,1.0,16.958,0.0,1.0
8_422400_726750000_2133000000,74.85507202148438,4.0,17.86,18.0,0.0,14.0,0.5,30.0,8_1958400_318750000_2133000000,21.16374397277832,1.0,17.918,0.0,1.0
8_1344000_318750000_2133000000,60.22516822814941,4.0,18.871,19.0,0.0,15.0,0.5,30.0,8_1958400_522750000_2133000000,19.04729557037353,1.0,18.2625,0.0,1.0
8_1344000_726750000_665600000,59.38703918457031,4.0,19.776,20.0,0.0,15.0,0.5,30.0,8_2201600_522750000_2133000000,17.829855918884277,1.0,19.916,0.0,1.0
8_1344000_522750000_2133000000,39.61087989807129,4.0,20.6215,21.0,0.0,15.0,0.5,30.0,4_2201600_522750000_3199000000,17.253727912902832,1.0,20.468,0.0,1.0
4_1651200_522750000_3199000000,38.92795181274414,4.0,21.475,22.0,0.0,15.0,0.5,30.0,8_2201600_930750000_3199000000,16.1494722366333,1.0,21.817,0.0,1.0
4_1651200_522750000_3199000000,38.92795181274414,4.0,21.475,23.0,0.0,15.0,0.5,30.0,8_2201600_930750000_3199000000,16.1494722366333,1.0,21.817,0.0,1.0
8_1651200_522750000_3199000000,38.55819320678711,4.0,23.8315,24.0,0.0,15.0,0.5,30.0,12_2201600_930750000_3199000000,15.914127826690674,1.0,23.32,0.0,1.0
8_2201600_522750000_3199000000,38.02548789978027,4.0,24.927,25.0,0.0,15.0,0.5,30.0,12_2201600_930750000_3199000000,15.914127826690674,1.0,23.32,0.0,1.0
8_1344000_726750000_2133000000,31.81331157684326,4.0,25.343,26.0,0.0,12.0,0.5,30.0,12_2201600_1134750000_3199000000,15.638911724090576,1.0,25.3735,0.0,1.0
8_1344000_1134750000_3199000000,29.02680015563965,4.0,26.329,27.0,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0
8_1344000_1134750000_3199000000,29.02680015563965,4.0,26.329,28.0,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0
8_1344000_1134750000_3199000000,29.02680015563965,4.0,26.329,29.0,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0
8_1344000_1134750000_3199000000,29.02680015563965,4.0,26.329,30.0,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0
8_1344000_1134750000_3199000000,29.02680015563965,4.0,26.329,31.0,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0
8_1651200_1134750000_3199000000,24.81118392944336,4.0,31.09,32.0,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0
8_1651200_1134750000_3199000000,24.81118392944336,4.0,31.09,33.0,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0
8_1958400_1134750000_3199000000,21.56953525543213,4.0,33.643,34.0,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0
8_1958400_1134750000_3199000000,21.56953525543213,4.0,33.643,35.0,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0
8_1958400_1134750000_3199000000,21.56953525543213,4.0,33.643,36.0,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0
8_1958400_1134750000_3199000000,21.56953525543213,4.0,33.643,37.0,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0
8_1958400_1134750000_3199000000,21.56953525543213,4.0,33.643,38.0,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0
8_2201600_1134750000_3199000000,20.751344680786133,4.0,38.7095,39.0,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0
8_2201600_1134750000_3199000000,20.751344680786133,4.0,38.7095,40.0,0.0,12.0,0.5,30.0,12_2201600_1300500000_3199000000,15.366144180297852,1.0,26.929,0.0,1.0
