powermode_random,observed_time_random,observed_power_random,power_budget,powermode_nn,observed_time_nn,observed_power_nn
,,,10.0,,,
,,,11.0,,,
,,,12.0,,,
,,,13.0,,,
,,,14.0,,,
12_422400_114750000_665600000,80.71963119506836,14.911,15.0,8_729600_114750000_665600000,79.00886154174805,15.01
8_2201600_114750000_665600000,77.17379379272461,15.815,16.0,12_1036800_114750000_665600000,77.57209777832031,14.909
8_729600_318750000_665600000,47.16836738586426,16.923,17.0,12_422400_522750000_665600000,46.99107360839844,17.329
12_1036800_522750000_665600000,43.607343673706055,17.527,18.0,4_422400_318750000_2133000000,36.95153617858887,17.633
8_1958400_726750000_665600000,41.620527267456055,18.838,19.0,8_1036800_318750000_2133000000,29.7969913482666,19.946
8_422400_726750000_2133000000,31.804991722106934,19.746,20.0,8_729600_522750000_2133000000,20.861167907714844,22.261
8_1958400_318750000_2133000000,28.61513614654541,20.854,21.0,8_729600_726750000_2133000000,18.9901762008667,24.066
8_1651200_318750000_3199000000,28.57908821105957,21.959,22.0,8_1036800_726750000_2133000000,17.361727714538574,24.973
8_729600_522750000_2133000000,20.861167907714844,22.261,23.0,12_1036800_726750000_2133000000,17.341744422912598,24.771
4_1958400_522750000_2133000000,19.00044822692871,23.569,24.0,12_1036800_726750000_3199000000,15.2118558883667,27.797
12_1036800_726750000_2133000000,17.341744422912598,24.771,25.0,12_1958400_726750000_2133000000,15.945967674255373,27.092
8_1651200_726750000_2133000000,16.46673583984375,25.99,26.0,12_1651200_726750000_3199000000,14.105087757110596,29.108
4_2201600_930750000_2133000000,15.215472221374512,26.882,27.0,12_1344000_930750000_3199000000,12.30289602279663,31.722
4_2201600_930750000_2133000000,15.215472221374512,26.882,28.0,8_2201600_930750000_2133000000,14.900079727172852,29.699
12_1344000_726750000_3199000000,14.587728023529053,28.102,29.0,8_1958400_1134750000_2133000000,14.656767845153809,30.913
4_1651200_726750000_3199000000,14.10534381866455,29.114,30.0,8_1958400_726750000_3199000000,14.015471935272217,29.612
4_1651200_726750000_3199000000,14.10534381866455,29.114,31.0,8_1344000_1134750000_3199000000,11.774832248687744,33.433
12_2201600_726750000_3199000000,13.825199604034424,31.314,32.0,4_2201600_726750000_3199000000,13.788496017456056,30.208
12_2201600_726750000_3199000000,13.825199604034424,31.314,33.0,8_1958400_930750000_3199000000,11.554416179656982,33.636
4_1958400_930750000_3199000000,11.51632022857666,33.636,34.0,8_1651200_1134750000_3199000000,11.368031978607178,33.54
4_1958400_930750000_3199000000,11.51632022857666,33.636,35.0,4_2201600_930750000_3199000000,11.4617280960083,34.13
4_1958400_930750000_3199000000,11.51632022857666,33.636,36.0,4_2201600_930750000_3199000000,11.4617280960083,34.13
4_1958400_930750000_3199000000,11.51632022857666,33.636,37.0,8_1958400_1134750000_3199000000,11.037951946258543,36.755
4_1958400_930750000_3199000000,11.51632022857666,33.636,38.0,8_2201600_1134750000_3199000000,11.007872104644775,37.55
4_1958400_930750000_3199000000,11.51632022857666,33.636,39.0,8_1958400_1300500000_3199000000,10.99288034439087,40.184
4_1958400_930750000_3199000000,11.51632022857666,33.636,40.0,8_1958400_1300500000_3199000000,10.99288034439087,40.184
4_1958400_930750000_3199000000,11.51632022857666,33.636,41.0,8_1958400_1300500000_3199000000,10.99288034439087,40.184
4_1958400_930750000_3199000000,11.51632022857666,33.636,42.0,8_1958400_1300500000_3199000000,10.99288034439087,40.184
4_1958400_930750000_3199000000,11.51632022857666,33.636,43.0,8_1958400_1300500000_3199000000,10.99288034439087,40.184
4_1958400_930750000_3199000000,11.51632022857666,33.636,44.0,8_1958400_1300500000_3199000000,10.99288034439087,40.184
4_1958400_930750000_3199000000,11.51632022857666,33.636,45.0,8_1958400_1300500000_3199000000,10.99288034439087,40.184
4_1958400_930750000_3199000000,11.51632022857666,33.636,46.0,8_1958400_1300500000_3199000000,10.99288034439087,40.184
4_1958400_930750000_3199000000,11.51632022857666,33.636,47.0,8_1958400_1300500000_3199000000,10.99288034439087,40.184
4_1958400_930750000_3199000000,11.51632022857666,33.636,48.0,8_1958400_1300500000_3199000000,10.99288034439087,40.184
4_1958400_930750000_3199000000,11.51632022857666,33.636,49.0,8_1958400_1300500000_3199000000,10.99288034439087,40.184
4_1958400_930750000_3199000000,11.51632022857666,33.636,50.0,8_1958400_1300500000_3199000000,10.99288034439087,40.184
