powermode_random,observed_time_random,observed_power_random,power_budget,powermode_nn,observed_time_nn,observed_power_nn
,,,10.0,,,
,,,11.0,,,
,,,12.0,,,
,,,13.0,8_729600_114750000_665600000,79.00886154174805,15.01
,,,14.0,12_2201600_114750000_665600000,77.03612899780273,15.812
,,,15.0,12_1651200_318750000_665600000,44.8478889465332,17.13
8_1344000_114750000_665600000,77.41608047485352,15.016,16.0,8_422400_318750000_2133000000,36.19022560119629,18.74
8_1344000_114750000_2133000000,76.69898986816406,16.02,17.0,8_729600_318750000_2133000000,30.61924839019776,19.744
8_1344000_522750000_665600000,43.28044700622559,17.53,18.0,8_729600_522750000_2133000000,20.861167907714844,22.261
12_422400_522750000_2133000000,30.42463970184326,18.442,19.0,12_729600_522750000_2133000000,20.780896186828613,22.055
12_422400_522750000_2133000000,30.42463970184326,18.442,20.0,8_729600_522750000_3199000000,21.14340782165528,23.868
12_422400_522750000_2133000000,30.42463970184326,18.442,21.0,12_1651200_522750000_3199000000,18.663439750671387,24.279
12_422400_522750000_2133000000,30.42463970184326,18.442,22.0,12_1344000_726750000_3199000000,14.587728023529053,28.102
8_2201600_318750000_3199000000,28.080512046813965,22.764,23.0,8_1344000_726750000_3199000000,14.564064025878906,28.095
8_2201600_318750000_3199000000,28.080512046813965,22.764,24.0,12_1344000_1134750000_3199000000,12.1288800239563,34.33
12_1036800_726750000_2133000000,17.341744422912598,24.771,25.0,12_1344000_1134750000_3199000000,12.1288800239563,34.33
12_1036800_726750000_2133000000,17.341744422912598,24.771,26.0,12_1344000_1134750000_3199000000,12.1288800239563,34.33
12_1036800_726750000_2133000000,17.341744422912598,24.771,27.0,12_1651200_1134750000_3199000000,11.306911945343018,36.058
12_1036800_726750000_2133000000,17.341744422912598,24.771,28.0,12_1651200_1134750000_3199000000,11.306911945343018,36.058
12_1036800_726750000_2133000000,17.341744422912598,24.771,29.0,8_1651200_1300500000_3199000000,10.963200092315674,38.582
12_1036800_726750000_2133000000,17.341744422912598,24.771,30.0,12_1651200_1300500000_3199000000,11.056623935699465,39.076
12_1036800_726750000_2133000000,17.341744422912598,24.771,31.0,8_2201600_1134750000_3199000000,11.007872104644775,37.55
12_1036800_726750000_2133000000,17.341744422912598,24.771,32.0,12_1958400_1300500000_3199000000,10.786608219146729,40.587
12_1036800_726750000_2133000000,17.341744422912598,24.771,33.0,12_1958400_1300500000_3199000000,10.786608219146729,40.587
12_1036800_726750000_2133000000,17.341744422912598,24.771,34.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
12_1036800_726750000_2133000000,17.341744422912598,24.771,35.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
12_1036800_726750000_2133000000,17.341744422912598,24.771,36.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
12_1036800_726750000_2133000000,17.341744422912598,24.771,37.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
12_1036800_726750000_2133000000,17.341744422912598,24.771,38.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
12_1036800_726750000_2133000000,17.341744422912598,24.771,39.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
12_1036800_726750000_2133000000,17.341744422912598,24.771,40.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
12_1036800_726750000_2133000000,17.341744422912598,24.771,41.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
12_1036800_726750000_2133000000,17.341744422912598,24.771,42.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
12_1036800_726750000_2133000000,17.341744422912598,24.771,43.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
12_1036800_726750000_2133000000,17.341744422912598,24.771,44.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
12_1036800_726750000_2133000000,17.341744422912598,24.771,45.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
12_1036800_726750000_2133000000,17.341744422912598,24.771,46.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
12_1036800_726750000_2133000000,17.341744422912598,24.771,47.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
12_1036800_726750000_2133000000,17.341744422912598,24.771,48.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
12_1036800_726750000_2133000000,17.341744422912598,24.771,49.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
12_1036800_726750000_2133000000,17.341744422912598,24.771,50.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883
