cores_algo,cpu_algo,gpu_algo,mem_algo,algo_time,algo_power,power_budget,num_pwds,visited_dim,cores_optimal,cpu_optimal,gpu_optimal,mem_optimal,optim_time,optim_power
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1651200.0,114750000.0,665600000.0,785.6716918945312,14.851,15.0,9.0,4.0,4.0,1651200.0,114750000.0,665600000.0,785.2939147949219,14.851
8.0,1344000.0,114750000.0,2133000000.0,777.461181640625,15.454,16.0,9.0,4.0,4.0,422400.0,318750000.0,665600000.0,465.1280364990234,15.956
8.0,1651200.0,114750000.0,3199000000.0,772.9473266601562,16.557,17.0,9.0,4.0,4.0,1036800.0,318750000.0,665600000.0,381.7682495117188,16.958
8.0,1958400.0,114750000.0,3199000000.0,772.5258178710938,17.0675,18.0,9.0,4.0,4.0,1036800.0,522750000.0,665600000.0,328.19407653808594,17.67
8.0,1958400.0,114750000.0,3199000000.0,772.5258178710938,17.0675,19.0,9.0,4.0,4.0,1344000.0,318750000.0,2133000000.0,297.82798767089844,18.873
8.0,1344000.0,318750000.0,2133000000.0,295.1645965576172,19.18,20.0,10.0,4.0,4.0,729600.0,522750000.0,2133000000.0,246.2251510620117,19.864
8.0,1344000.0,318750000.0,3199000000.0,292.4783630371094,20.583,21.0,10.0,4.0,12.0,729600.0,522750000.0,2133000000.0,218.65411376953125,20.968
8.0,1958400.0,318750000.0,3199000000.0,286.05320739746094,21.481,22.0,10.0,4.0,4.0,1344000.0,522750000.0,2133000000.0,196.747314453125,21.684
