cores_algo,cpu_algo,gpu_algo,mem_algo,bs_algo,algo_time,algo_power,power_budget,num_pwds,visited_dim,cores_optimal,cpu_optimal,gpu_optimal,mem_optimal,bs_optimal,optim_time,optim_power
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,8.0,1651200.0,318750000.0,665600000.0,1.0,27.07155132293701,13.746
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,15.0,12.0,5.0,12.0,1651200.0,522750000.0,2133000000.0,1.0,23.94384002685547,14.948
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,16.0,10.0,5.0,12.0,1958400.0,522750000.0,2133000000.0,1.0,21.255231857299805,15.751
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,17.0,11.0,4.0,4.0,2201600.0,318750000.0,3199000000.0,1.0,18.83348846435547,16.351
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,18.0,11.0,5.0,12.0,2201600.0,318750000.0,3199000000.0,1.0,17.82817554473877,17.857
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,19.0,12.0,5.0,12.0,2201600.0,318750000.0,3199000000.0,1.0,17.82817554473877,17.857
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,20.0,12.0,5.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
8.0,1344000.0,726750000.0,2133000000.0,1.0,29.63475227355957,14.549,21.0,12.0,4.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,17.827872276306152,19.76
