power_budget,powermode_random,bs_random,optim_time_random,optim_power_random,time_budget,arr_rate,soln_random,powermode_nn,bs_nn,optim_time_nn,optim_power_nn,soln_nn,flag,time_scaled,time_cond1,time_cond2
10,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0.05,30,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,False,0.01793832015991211,0.051271653493245445,0.5381496047973633
11,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0.05,30,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,False,0.01793832015991211,0.051271653493245445,0.5381496047973633
12,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0.05,30,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,False,0.01793832015991211,0.051271653493245445,0.5381496047973633
13,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0.05,30,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,False,0.01793832015991211,0.051271653493245445,0.5381496047973633
14,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0.05,30,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,False,0.01793832015991211,0.051271653493245445,0.5381496047973633
15,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0.05,30,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,False,0.01793832015991211,0.051271653493245445,0.5381496047973633
16,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0.05,30,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,False,0.01793832015991211,0.051271653493245445,0.5381496047973633
17,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0.05,30,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,False,0.01793832015991211,0.051271653493245445,0.5381496047973633
18,12_2201600_726750000_3199000000,1.0,17.93832015991211,18.559,0.05,30,0,12_2201600_726750000_3199000000,1,17.93832015991211,18.559,0,True,0.01793832015991211,0.051271653493245445,0.5381496047973633
19,12_2201600_726750000_3199000000,4.0,20.004847526550293,23.374,0.05,30,0,12_2201600_726750000_3199000000,4,20.004847526550293,23.374,0,False,0.020004847526550292,0.15333818085988363,0.6001454257965088
20,12_2201600_726750000_3199000000,4.0,20.004847526550293,23.374,0.05,30,0,12_2201600_726750000_3199000000,4,20.004847526550293,23.374,0,False,0.020004847526550292,0.15333818085988363,0.6001454257965088
21,12_2201600_726750000_3199000000,4.0,20.004847526550293,23.374,0.05,30,0,12_2201600_726750000_3199000000,4,20.004847526550293,23.374,0,False,0.020004847526550292,0.15333818085988363,0.6001454257965088
22,12_2201600_726750000_3199000000,4.0,20.004847526550293,23.374,0.05,30,0,12_2201600_726750000_3199000000,4,20.004847526550293,23.374,0,False,0.020004847526550292,0.15333818085988363,0.6001454257965088
23,12_2201600_726750000_3199000000,4.0,20.004847526550293,23.374,0.05,30,0,12_2201600_726750000_3199000000,4,20.004847526550293,23.374,0,False,0.020004847526550292,0.15333818085988363,0.6001454257965088
24,8_1958400_930750000_3199000000,16.0,33.303823471069336,29.789,0.05,30,0,12_2201600_726750000_3199000000,16,40.10158348083496,29.0915,0,False,0.04010158348083496,0.5734349168141682,1.2030475044250488
25,8_1958400_930750000_3199000000,16.0,33.303823471069336,29.789,0.05,30,0,12_2201600_726750000_3199000000,16,40.10158348083496,29.0915,0,False,0.04010158348083496,0.5734349168141682,1.2030475044250488
26,8_1958400_930750000_3199000000,16.0,33.303823471069336,29.789,0.05,30,0,12_2201600_726750000_3199000000,16,40.10158348083496,29.0915,0,False,0.04010158348083496,0.5734349168141682,1.2030475044250488
