powermode_random,observed_time_random,observed_power_random,power_budget,powermode_nn,observed_time_nn,observed_power_nn
,,,10.0,,,
,,,11.0,,,
,,,12.0,,,
,,,13.0,,,
,,,14.0,,,
4_1036800_114750000_665600000,791.3718872070312,14.451,15.0,8_1036800_114750000_665600000,788.9798583984375,14.45
4_1958400_114750000_665600000,783.8623962402344,15.252,16.0,8_1344000_318750000_665600000,378.9649353027344,17.359
8_729600_318750000_665600000,382.1400604248047,16.658,17.0,8_1344000_318750000_2133000000,295.1645965576172,19.18
4_1651200_318750000_665600000,375.8155670166016,17.46,18.0,8_1036800_522750000_2133000000,197.2988815307617,21.684
4_1344000_522750000_665600000,323.46046447753906,18.162,19.0,8_1344000_522750000_2133000000,199.26270294189453,21.684
8_1958400_318750000_2133000000,292.17527770996094,19.979,20.0,8_1036800_726750000_2133000000,175.2666015625,23.474
8_729600_522750000_2133000000,220.17342376708984,20.964,21.0,4_1344000_726750000_2133000000,175.5068817138672,23.674
8_729600_522750000_2133000000,220.17342376708984,20.964,22.0,8_1344000_726750000_2133000000,163.52635192871094,24.175
8_1651200_522750000_2133000000,195.4052963256836,22.085,23.0,4_1651200_726750000_2133000000,159.34868621826172,25.173
12_1036800_726750000_2133000000,170.03355407714844,23.975,24.0,8_1344000_930750000_2133000000,147.085205078125,27.281
12_1036800_726750000_2133000000,170.03355407714844,23.975,25.0,8_1344000_930750000_2133000000,147.085205078125,27.281
8_1651200_726750000_2133000000,155.66814422607422,25.174,26.0,8_1651200_726750000_3199000000,140.29417419433594,27.8815
12_1344000_726750000_3199000000,148.60578155517578,26.784,27.0,8_1651200_726750000_3199000000,140.29417419433594,27.8815
4_1651200_726750000_3199000000,141.59329986572266,27.381,28.0,8_1958400_726750000_3199000000,139.67377471923828,28.784
4_1651200_726750000_3199000000,141.59329986572266,27.381,29.0,8_1958400_726750000_3199000000,139.67377471923828,28.784
4_1651200_726750000_3199000000,141.59329986572266,27.381,30.0,8_1958400_726750000_3199000000,139.67377471923828,28.784
4_2201600_930750000_2133000000,138.03482055664062,30.084,31.0,12_1958400_930750000_3199000000,113.3576316833496,33.896
4_2201600_930750000_2133000000,138.03482055664062,30.084,32.0,8_1958400_930750000_3199000000,115.09224319458008,33.394
4_1958400_930750000_3199000000,118.25451278686523,32.391,33.0,8_1958400_930750000_3199000000,115.09224319458008,33.394
8_1958400_930750000_3199000000,115.09224319458008,33.394,34.0,8_2201600_930750000_3199000000,113.95441818237305,34.196
8_1958400_930750000_3199000000,115.09224319458008,33.394,35.0,4_2201600_930750000_3199000000,116.17443084716798,33.695
8_1958400_930750000_3199000000,115.09224319458008,33.394,36.0,4_2201600_930750000_3199000000,116.17443084716798,33.695
8_1958400_930750000_3199000000,115.09224319458008,33.394,37.0,4_2201600_930750000_3199000000,116.17443084716798,33.695
8_1958400_930750000_3199000000,115.09224319458008,33.394,38.0,4_2201600_930750000_3199000000,116.17443084716798,33.695
8_1958400_930750000_3199000000,115.09224319458008,33.394,39.0,4_2201600_930750000_3199000000,116.17443084716798,33.695
8_1958400_930750000_3199000000,115.09224319458008,33.394,40.0,4_2201600_930750000_3199000000,116.17443084716798,33.695
8_1958400_930750000_3199000000,115.09224319458008,33.394,41.0,4_2201600_930750000_3199000000,116.17443084716798,33.695
8_1958400_930750000_3199000000,115.09224319458008,33.394,42.0,4_2201600_930750000_3199000000,116.17443084716798,33.695
8_1958400_930750000_3199000000,115.09224319458008,33.394,43.0,4_2201600_930750000_3199000000,116.17443084716798,33.695
8_1958400_930750000_3199000000,115.09224319458008,33.394,44.0,4_2201600_930750000_3199000000,116.17443084716798,33.695
8_1958400_930750000_3199000000,115.09224319458008,33.394,45.0,4_2201600_930750000_3199000000,116.17443084716798,33.695
8_1958400_930750000_3199000000,115.09224319458008,33.394,46.0,4_2201600_930750000_3199000000,116.17443084716798,33.695
8_1958400_930750000_3199000000,115.09224319458008,33.394,47.0,4_2201600_930750000_3199000000,116.17443084716798,33.695
8_1958400_930750000_3199000000,115.09224319458008,33.394,48.0,4_2201600_930750000_3199000000,116.17443084716798,33.695
8_1958400_930750000_3199000000,115.09224319458008,33.394,49.0,4_2201600_930750000_3199000000,116.17443084716798,33.695
8_1958400_930750000_3199000000,115.09224319458008,33.394,50.0,4_2201600_930750000_3199000000,116.17443084716798,33.695
