powermode_random,observed_time_random,observed_power_random,power_budget,powermode_nn,observed_time_nn,observed_power_nn,flag
4_1651200_114750000_665600000,785.2939147949219,14.851,15.0,4_729600_114750000_665600000,795.2664794921875,14.45,True
4_422400_318750000_665600000,465.1280364990234,15.956,16.0,12_1958400_114750000_665600000,782.9894104003906,15.748,True
4_1036800_318750000_665600000,381.7682495117188,16.958,17.0,8_1344000_318750000_665600000,378.9649353027344,17.359,True
4_1036800_522750000_665600000,328.19407653808594,17.67,18.0,8_729600_318750000_2133000000,304.2663269042969,18.776,True
4_1344000_318750000_2133000000,297.82798767089844,18.873,19.0,4_729600_522750000_2133000000,246.2251510620117,19.864,True
4_1958400_318750000_2133000000,291.2958984375,19.679,20.0,8_729600_522750000_2133000000,220.17342376708984,20.964,True
4_729600_726750000_2133000000,242.41954040527344,20.462,21.0,12_1036800_522750000_2133000000,199.2823028564453,21.6395,True
4_1344000_522750000_2133000000,196.747314453125,21.684,22.0,12_1344000_522750000_2133000000,197.7190933227539,22.073,True
4_1344000_522750000_2133000000,196.747314453125,21.684,23.0,12_1036800_726750000_2133000000,170.03355407714844,23.975,True
12_1036800_726750000_2133000000,170.03355407714844,23.975,24.0,12_1344000_726750000_2133000000,162.88712310791016,24.581,True
12_1344000_726750000_2133000000,162.88712310791016,24.581,25.0,12_1036800_930750000_2133000000,156.9490203857422,26.18,True
8_1651200_726750000_2133000000,155.66814422607422,25.174,26.0,8_1344000_930750000_2133000000,147.085205078125,27.281,True
4_1344000_1134750000_2133000000,152.7948760986328,26.678,27.0,8_1036800_930750000_3199000000,146.53702545166016,27.787,True
4_1651200_726750000_3199000000,141.59329986572266,27.381,28.0,8_1651200_726750000_3199000000,140.29417419433594,27.8815,True
8_1958400_726750000_3199000000,139.67377471923828,28.784,29.0,8_1344000_930750000_3199000000,130.70178985595703,29.882,True
8_1344000_930750000_3199000000,130.70178985595703,29.882,30.0,4_1651200_930750000_3199000000,127.48453140258788,30.382,True
8_1344000_930750000_3199000000,130.70178985595703,29.882,31.0,8_1651200_930750000_3199000000,121.7020149230957,31.384,True
12_1651200_930750000_3199000000,120.7235221862793,31.885,32.0,8_1344000_1134750000_3199000000,127.62766647338869,31.14,True
12_1651200_930750000_3199000000,120.7235221862793,31.885,33.0,8_1344000_1134750000_3199000000,127.62766647338869,31.14,True
12_1958400_930750000_3199000000,113.3576316833496,33.896,34.0,12_1344000_1134750000_3199000000,118.70091247558594,33.196,True
12_1958400_930750000_3199000000,113.3576316833496,33.896,35.0,8_1344000_1300500000_3199000000,129.6925811767578,34.497,True
12_1651200_1134750000_3199000000,110.29159927368164,35.893,36.0,4_1958400_1134750000_3199000000,111.26984024047852,35.298,True
12_1651200_1134750000_3199000000,110.29159927368164,35.893,37.0,8_1958400_1134750000_3199000000,107.52984237670898,36.902,True
12_1651200_1134750000_3199000000,110.29159927368164,35.893,38.0,8_1651200_1300500000_3199000000,106.66683197021484,39.11,True
4_2201600_1134750000_3199000000,105.63503646850586,38.198,39.0,4_1958400_1300500000_3199000000,107.7258071899414,38.7095,True
4_2201600_1134750000_3199000000,105.63503646850586,38.198,40.0,8_1958400_1300500000_3199000000,100.53059005737305,41.222,True
4_2201600_1134750000_3199000000,105.63503646850586,38.198,41.0,12_1958400_1300500000_3199000000,99.86552047729492,42.017,True
4_2201600_1300500000_3199000000,100.86041641235352,41.915,42.0,8_2201600_1300500000_3199000000,97.0578842163086,42.832,True
8_2201600_1300500000_3199000000,97.0578842163086,42.832,43.0,12_2201600_1300500000_3199000000,96.18417739868164,43.839,True
12_2201600_1300500000_3199000000,96.18417739868164,43.839,44.0,12_2201600_1300500000_3199000000,96.18417739868164,43.839,True
12_2201600_1300500000_3199000000,96.18417739868164,43.839,45.0,12_2201600_1300500000_3199000000,96.18417739868164,43.839,True
12_2201600_1300500000_3199000000,96.18417739868164,43.839,46.0,12_2201600_1300500000_3199000000,96.18417739868164,43.839,True
12_2201600_1300500000_3199000000,96.18417739868164,43.839,47.0,12_2201600_1300500000_3199000000,96.18417739868164,43.839,True
12_2201600_1300500000_3199000000,96.18417739868164,43.839,48.0,12_2201600_1300500000_3199000000,96.18417739868164,43.839,True
12_2201600_1300500000_3199000000,96.18417739868164,43.839,49.0,12_2201600_1300500000_3199000000,96.18417739868164,43.839,True
12_2201600_1300500000_3199000000,96.18417739868164,43.839,50.0,12_2201600_1300500000_3199000000,96.18417739868164,43.839,True
