cpu_bs,gpu_bs,mem_bs,cores_bs,observed_time_bs,observed_power_bs,power_budget,num_pwds,cpu_optim,gpu_optim,mem_optim,cores_optim,observed_time_optim,observed_power_optim
0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
422400.0,114750000.0,665600000.0,4.0,806.7547912597656,14.149,15.0,7.0,1651200.0,114750000.0,665600000.0,4.0,785.2939147949219,14.851
422400.0,318750000.0,665600000.0,4.0,465.1280364990234,15.956,16.0,7.0,422400.0,318750000.0,665600000.0,4.0,465.1280364990234,15.956
1036800.0,318750000.0,665600000.0,4.0,381.7682495117188,16.958,17.0,7.0,1036800.0,318750000.0,665600000.0,4.0,381.7682495117188,16.958
1036800.0,522750000.0,665600000.0,4.0,328.19407653808594,17.67,18.0,7.0,1036800.0,522750000.0,665600000.0,4.0,328.19407653808594,17.67
729600.0,318750000.0,2133000000.0,8.0,304.2663269042969,18.776,19.0,7.0,1344000.0,318750000.0,2133000000.0,4.0,297.82798767089844,18.873
422400.0,522750000.0,3199000000.0,12.0,301.3095092773437,19.768,20.0,7.0,729600.0,522750000.0,2133000000.0,4.0,246.2251510620117,19.864
1036800.0,318750000.0,3199000000.0,12.0,294.4788818359375,20.485,21.0,7.0,729600.0,522750000.0,2133000000.0,12.0,218.65411376953125,20.968
1036800.0,318750000.0,3199000000.0,12.0,294.4788818359375,20.485,22.0,7.0,1344000.0,522750000.0,2133000000.0,4.0,196.747314453125,21.684
729600.0,726750000.0,2133000000.0,8.0,196.4656982421875,22.271,23.0,7.0,1036800.0,726750000.0,2133000000.0,4.0,187.1620330810547,22.872
729600.0,726750000.0,2133000000.0,8.0,196.4656982421875,22.271,24.0,7.0,1036800.0,726750000.0,2133000000.0,12.0,170.03355407714844,23.975
1344000.0,726750000.0,2133000000.0,8.0,163.52635192871094,24.175,25.0,7.0,1344000.0,726750000.0,2133000000.0,12.0,162.88712310791016,24.581
1344000.0,726750000.0,2133000000.0,8.0,163.52635192871094,24.175,26.0,7.0,1958400.0,726750000.0,2133000000.0,4.0,154.20059204101562,25.974
1958400.0,726750000.0,2133000000.0,8.0,152.8165740966797,26.475,27.0,7.0,1344000.0,726750000.0,3199000000.0,12.0,148.60578155517578,26.784
1958400.0,726750000.0,2133000000.0,8.0,152.8165740966797,26.475,28.0,7.0,1651200.0,726750000.0,3199000000.0,12.0,139.74433135986328,27.9815
1958400.0,726750000.0,2133000000.0,8.0,152.8165740966797,26.475,29.0,7.0,1651200.0,930750000.0,2133000000.0,12.0,136.82666015625,28.486
1958400.0,726750000.0,2133000000.0,8.0,152.8165740966797,26.475,30.0,7.0,1344000.0,930750000.0,3199000000.0,8.0,130.70178985595703,29.882
1958400.0,726750000.0,2133000000.0,8.0,152.8165740966797,26.475,31.0,7.0,1651200.0,930750000.0,3199000000.0,4.0,127.48453140258788,30.382
1651200.0,930750000.0,3199000000.0,4.0,127.48453140258788,30.382,32.0,7.0,1651200.0,930750000.0,3199000000.0,12.0,120.7235221862793,31.885
1651200.0,930750000.0,3199000000.0,4.0,127.48453140258788,30.382,33.0,7.0,1958400.0,930750000.0,3199000000.0,4.0,118.25451278686523,32.391
1651200.0,930750000.0,3199000000.0,12.0,120.7235221862793,31.885,34.0,7.0,1958400.0,930750000.0,3199000000.0,12.0,113.3576316833496,33.896
1651200.0,930750000.0,3199000000.0,12.0,120.7235221862793,31.885,35.0,7.0,1958400.0,930750000.0,3199000000.0,12.0,113.3576316833496,33.896
1651200.0,1134750000.0,3199000000.0,12.0,110.29159927368164,35.893,36.0,7.0,1651200.0,1134750000.0,3199000000.0,12.0,110.29159927368164,35.893
1651200.0,1134750000.0,3199000000.0,12.0,110.29159927368164,35.893,37.0,7.0,1958400.0,1134750000.0,3199000000.0,8.0,107.52984237670898,36.902
1958400.0,1134750000.0,3199000000.0,12.0,107.28547286987305,37.696,38.0,7.0,1958400.0,1134750000.0,3199000000.0,12.0,107.28547286987305,37.696
1958400.0,1134750000.0,3199000000.0,12.0,107.28547286987305,37.696,39.0,7.0,2201600.0,1134750000.0,3199000000.0,4.0,105.63503646850586,38.198
2201600.0,1134750000.0,3199000000.0,12.0,102.9185791015625,39.503,40.0,7.0,2201600.0,1134750000.0,3199000000.0,12.0,102.9185791015625,39.503
2201600.0,1134750000.0,3199000000.0,12.0,102.9185791015625,39.503,41.0,7.0,2201600.0,1134750000.0,3199000000.0,12.0,102.9185791015625,39.503
2201600.0,1134750000.0,3199000000.0,12.0,102.9185791015625,39.503,42.0,7.0,1958400.0,1300500000.0,3199000000.0,8.0,100.53059005737305,41.222
2201600.0,1134750000.0,3199000000.0,12.0,102.9185791015625,39.503,43.0,7.0,2201600.0,1300500000.0,3199000000.0,8.0,97.0578842163086,42.832
2201600.0,1300500000.0,3199000000.0,12.0,96.18417739868164,43.839,44.0,7.0,2201600.0,1300500000.0,3199000000.0,12.0,96.18417739868164,43.839
2201600.0,1300500000.0,3199000000.0,12.0,96.18417739868164,43.839,45.0,7.0,2201600.0,1300500000.0,3199000000.0,12.0,96.18417739868164,43.839
2201600.0,1300500000.0,3199000000.0,12.0,96.18417739868164,43.839,46.0,7.0,2201600.0,1300500000.0,3199000000.0,12.0,96.18417739868164,43.839
2201600.0,1300500000.0,3199000000.0,12.0,96.18417739868164,43.839,47.0,7.0,2201600.0,1300500000.0,3199000000.0,12.0,96.18417739868164,43.839
2201600.0,1300500000.0,3199000000.0,12.0,96.18417739868164,43.839,48.0,7.0,2201600.0,1300500000.0,3199000000.0,12.0,96.18417739868164,43.839
2201600.0,1300500000.0,3199000000.0,12.0,96.18417739868164,43.839,49.0,7.0,2201600.0,1300500000.0,3199000000.0,12.0,96.18417739868164,43.839
2201600.0,1300500000.0,3199000000.0,12.0,96.18417739868164,43.839,50.0,7.0,2201600.0,1300500000.0,3199000000.0,12.0,96.18417739868164,43.839
