cpu_bs,gpu_bs,mem_bs,cores_bs,bs_bs,observed_time,observed_power,power_budget,num_pwds,cores_optim,cpu_optim,gpu_optim,mem_optim,bs_optim,optim_time,optim_power
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,4.0,1651200.0,318750000.0,665600000.0,1.0,27.36411190032959,15.756
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,12.0,1651200.0,522750000.0,665600000.0,1.0,25.029839515686035,16.958
1958400.0,318750000.0,2133000000.0,8.0,1.0,21.16374397277832,17.918,18.0,7.0,8.0,1958400.0,318750000.0,2133000000.0,1.0,21.16374397277832,17.918
1958400.0,318750000.0,2133000000.0,8.0,1.0,21.16374397277832,17.918,19.0,7.0,8.0,1958400.0,522750000.0,2133000000.0,1.0,19.04729557037353,18.2625
1958400.0,726750000.0,2133000000.0,8.0,1.0,19.654128074646,19.464,20.0,7.0,8.0,2201600.0,522750000.0,2133000000.0,1.0,17.829855918884277,19.916
1958400.0,726750000.0,2133000000.0,8.0,1.0,19.654128074646,19.464,21.0,7.0,4.0,2201600.0,522750000.0,3199000000.0,1.0,17.253727912902832,20.468
1958400.0,1134750000.0,2133000000.0,12.0,1.0,17.799296379089355,21.915,22.0,7.0,8.0,2201600.0,930750000.0,3199000000.0,1.0,16.1494722366333,21.817
1958400.0,1134750000.0,2133000000.0,12.0,1.0,17.799296379089355,21.915,23.0,7.0,8.0,2201600.0,930750000.0,3199000000.0,1.0,16.1494722366333,21.817
1958400.0,1134750000.0,3199000000.0,12.0,1.0,17.6593599319458,23.822,24.0,7.0,12.0,2201600.0,930750000.0,3199000000.0,1.0,15.914127826690674,23.32
1958400.0,1134750000.0,3199000000.0,12.0,1.0,17.6593599319458,23.822,25.0,7.0,12.0,2201600.0,930750000.0,3199000000.0,1.0,15.914127826690674,23.32
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,26.0,7.0,12.0,2201600.0,1134750000.0,3199000000.0,1.0,15.638911724090576,25.3735
2201600.0,1134750000.0,3199000000.0,12.0,1.0,15.638911724090576,25.3735,27.0,7.0,12.0,2201600.0,1300500000.0,3199000000.0,1.0,15.366144180297852,26.929
