powermode_random,observed_time_random,observed_power_random,power_budget,powermode_nn,observed_time_nn,observed_power_nn
,,,10.0,,,
,,,11.0,,,
,,,12.0,,,
,,,13.0,,,
,,,14.0,,,
,,,15.0,8_1344000_114750000_2133000000,467.1529235839844,16.159
12_1651200_114750000_665600000,470.1104431152344,15.754,16.0,8_1651200_318750000_665600000,236.95193481445312,18.266
12_1651200_114750000_665600000,470.1104431152344,15.754,17.0,8_1344000_522750000_665600000,210.09255981445307,19.373
8_729600_318750000_665600000,244.19193267822263,17.768,18.0,8_1344000_318750000_2133000000,176.98448181152344,21.08
4_1344000_522750000_665600000,214.160270690918,18.975,19.0,8_1036800_522750000_2133000000,117.29337692260742,24.189
12_1036800_522750000_665600000,211.9523162841797,19.376,20.0,8_1036800_522750000_2133000000,117.29337692260742,24.189
12_1651200_726750000_665600000,201.015007019043,20.579,21.0,8_1036800_726750000_2133000000,99.62395095825195,27.486
4_729600_726750000_2133000000,168.8600616455078,21.062,22.0,8_1036800_726750000_2133000000,99.62395095825195,27.486
8_422400_726750000_2133000000,135.84939575195312,22.567,23.0,8_1344000_726750000_2133000000,97.26211166381836,28.095
8_729600_522750000_2133000000,121.32621002197266,23.988,24.0,8_1344000_726750000_2133000000,97.26211166381836,28.095
12_422400_930750000_3199000000,111.53673553466795,24.771,25.0,4_1651200_726750000_2133000000,95.9182586669922,28.485
12_422400_930750000_3199000000,111.53673553466795,24.771,26.0,8_1344000_930750000_2133000000,87.18929672241211,31.4895
12_422400_930750000_3199000000,111.53673553466795,24.771,27.0,8_1344000_726750000_3199000000,85.29339218139648,29.436
12_1958400_522750000_3199000000,109.02694320678712,27.682,28.0,8_1344000_726750000_3199000000,85.29339218139648,29.436
8_1651200_726750000_2133000000,95.54982376098631,28.186,29.0,8_1651200_726750000_3199000000,84.21441650390625,31.992
8_1651200_726750000_2133000000,95.54982376098631,28.186,30.0,8_1651200_726750000_3199000000,84.21441650390625,31.992
12_1344000_726750000_3199000000,85.43471908569336,30.6905,31.0,8_1651200_726750000_3199000000,84.21441650390625,31.992
12_1344000_726750000_3199000000,85.43471908569336,30.6905,32.0,8_1958400_726750000_3199000000,83.3825569152832,32.796
12_1344000_726750000_3199000000,85.43471908569336,30.6905,33.0,8_1958400_726750000_3199000000,83.3825569152832,32.796
12_1344000_726750000_3199000000,85.43471908569336,30.6905,34.0,8_1958400_726750000_3199000000,83.3825569152832,32.796
12_2201600_726750000_3199000000,82.65337371826172,34.497,35.0,8_1958400_726750000_3199000000,83.3825569152832,32.796
4_1958400_930750000_3199000000,71.23846435546875,35.602,36.0,8_1958400_930750000_3199000000,70.30814743041992,37.809
4_1958400_930750000_3199000000,71.23846435546875,35.602,37.0,4_2201600_930750000_3199000000,70.46155166625977,37.999
8_1958400_930750000_3199000000,70.30814743041992,37.809,38.0,4_2201600_930750000_3199000000,70.46155166625977,37.999
8_1958400_930750000_3199000000,70.30814743041992,37.809,39.0,4_2201600_930750000_3199000000,70.46155166625977,37.999
8_1958400_930750000_3199000000,70.30814743041992,37.809,40.0,4_2201600_930750000_3199000000,70.46155166625977,37.999
8_1958400_930750000_3199000000,70.30814743041992,37.809,41.0,4_2201600_930750000_3199000000,70.46155166625977,37.999
8_1958400_930750000_3199000000,70.30814743041992,37.809,42.0,4_2201600_930750000_3199000000,70.46155166625977,37.999
8_1958400_930750000_3199000000,70.30814743041992,37.809,43.0,4_2201600_930750000_3199000000,70.46155166625977,37.999
8_1958400_930750000_3199000000,70.30814743041992,37.809,44.0,4_2201600_930750000_3199000000,70.46155166625977,37.999
8_1958400_930750000_3199000000,70.30814743041992,37.809,45.0,4_2201600_930750000_3199000000,70.46155166625977,37.999
8_1958400_930750000_3199000000,70.30814743041992,37.809,46.0,4_2201600_930750000_3199000000,70.46155166625977,37.999
8_1958400_930750000_3199000000,70.30814743041992,37.809,47.0,4_2201600_930750000_3199000000,70.46155166625977,37.999
8_1958400_930750000_3199000000,70.30814743041992,37.809,48.0,4_2201600_930750000_3199000000,70.46155166625977,37.999
8_1958400_930750000_3199000000,70.30814743041992,37.809,49.0,4_2201600_930750000_3199000000,70.46155166625977,37.999
8_1958400_930750000_3199000000,70.30814743041992,37.809,50.0,4_2201600_930750000_3199000000,70.46155166625977,37.999
