powermode_random,observed_time_random,observed_power_random,power_budget,powermode_nn,observed_time_nn,observed_power_nn
,,,10.0,,,
,,,11.0,,,
,,,12.0,,,
,,,13.0,,,
,,,14.0,,,
,,,15.0,4_422400_114750000_665600000,492.6370391845703,14.751
8_1344000_114750000_665600000,472.1035614013672,15.254,16.0,8_1344000_114750000_665600000,472.1035614013672,15.254
8_1344000_114750000_2133000000,467.1529235839844,16.159,17.0,8_1036800_318750000_665600000,241.2014389038086,18.022
12_2201600_114750000_2133000000,465.5279541015625,17.756,18.0,8_729600_318750000_2133000000,182.77212524414065,20.583
12_2201600_114750000_2133000000,465.5279541015625,17.756,19.0,4_1344000_318750000_2133000000,178.1022720336914,20.679
8_1344000_522750000_665600000,210.09255981445307,19.373,20.0,4_1036800_522750000_2133000000,123.79913711547852,23.988
12_422400_522750000_2133000000,136.51497650146484,20.666,21.0,4_1344000_522750000_2133000000,117.13849258422852,24.185
12_422400_522750000_2133000000,136.51497650146484,20.666,22.0,8_729600_726750000_2133000000,102.74543762207033,26.39
12_422400_522750000_2133000000,136.51497650146484,20.666,23.0,8_1036800_726750000_2133000000,99.62395095825195,27.486
12_422400_522750000_2133000000,136.51497650146484,20.666,24.0,8_729600_930750000_2133000000,96.94518661499023,28.782
12_422400_522750000_2133000000,136.51497650146484,20.666,25.0,8_1036800_930750000_2133000000,89.63081741333008,30.694
12_422400_522750000_2133000000,136.51497650146484,20.666,26.0,8_1344000_930750000_2133000000,87.18929672241211,31.4895
12_422400_522750000_2133000000,136.51497650146484,20.666,27.0,12_1036800_930750000_2133000000,89.60563278198242,30.808
12_422400_522750000_2133000000,136.51497650146484,20.666,28.0,8_1651200_930750000_2133000000,86.63183975219727,32.191
12_1036800_726750000_2133000000,98.25737762451172,28.095,29.0,8_1651200_930750000_2133000000,86.63183975219727,32.191
12_1036800_726750000_2133000000,98.25737762451172,28.095,30.0,8_1036800_930750000_3199000000,73.46599960327148,34.299
12_1036800_726750000_2133000000,98.25737762451172,28.095,31.0,8_1036800_1300500000_2133000000,78.75598526000977,39.1255
12_1036800_726750000_2133000000,98.25737762451172,28.095,32.0,12_1036800_930750000_3199000000,71.56462478637695,35.795
12_1036800_726750000_2133000000,98.25737762451172,28.095,33.0,12_1036800_930750000_3199000000,71.56462478637695,35.795
12_1036800_726750000_2133000000,98.25737762451172,28.095,34.0,8_1651200_930750000_3199000000,70.60168075561523,36.101
12_1036800_726750000_2133000000,98.25737762451172,28.095,35.0,8_1651200_930750000_3199000000,70.60168075561523,36.101
12_1036800_726750000_2133000000,98.25737762451172,28.095,36.0,4_1958400_930750000_3199000000,71.23846435546875,35.602
12_1036800_726750000_2133000000,98.25737762451172,28.095,37.0,12_1651200_930750000_3199000000,70.7470703125,36.302
12_1036800_726750000_2133000000,98.25737762451172,28.095,38.0,12_1651200_930750000_3199000000,70.7470703125,36.302
12_1036800_726750000_2133000000,98.25737762451172,28.095,39.0,12_1344000_1134750000_3199000000,65.65089797973633,41.808
12_1036800_726750000_2133000000,98.25737762451172,28.095,40.0,12_1344000_1134750000_3199000000,65.65089797973633,41.808
12_1036800_726750000_2133000000,98.25737762451172,28.095,41.0,12_1036800_1300500000_3199000000,65.40295791625977,41.817
12_1036800_726750000_2133000000,98.25737762451172,28.095,42.0,12_1651200_1134750000_3199000000,63.69878387451172,40.504
12_1036800_726750000_2133000000,98.25737762451172,28.095,43.0,8_1958400_1134750000_3199000000,62.77633666992188,43.623
12_1036800_726750000_2133000000,98.25737762451172,28.095,44.0,8_1958400_1134750000_3199000000,62.77633666992188,43.623
12_1036800_726750000_2133000000,98.25737762451172,28.095,45.0,8_1651200_1300500000_3199000000,59.22990417480469,46.474
12_1036800_726750000_2133000000,98.25737762451172,28.095,46.0,8_1651200_1300500000_3199000000,59.22990417480469,46.474
12_1036800_726750000_2133000000,98.25737762451172,28.095,47.0,8_1651200_1300500000_3199000000,59.22990417480469,46.474
12_1036800_726750000_2133000000,98.25737762451172,28.095,48.0,8_1958400_1300500000_3199000000,58.78708839416504,49.687
12_1036800_726750000_2133000000,98.25737762451172,28.095,49.0,8_1958400_1300500000_3199000000,58.78708839416504,49.687
12_1036800_726750000_2133000000,98.25737762451172,28.095,50.0,8_1958400_1300500000_3199000000,58.78708839416504,49.687
