powermode_random,observed_time_random,observed_power_random,power_budget,powermode_nn,observed_time_nn,observed_power_nn
,,,10.0,,,
,,,11.0,,,
,,,12.0,,,
12_422400_114750000_665600000,1131.802678108215,12.7825,13.0,8_422400_318750000_665600000,825.3650665283203,12.683
8_729600_318750000_665600000,596.604585647583,13.392,14.0,8_1344000_318750000_665600000,496.70958518981934,14.101
4_1344000_522750000_665600000,455.1311731338501,14.604,15.0,8_1036800_522750000_2133000000,369.10879611968994,14.806
12_1036800_726750000_2133000000,359.46691036224365,15.7125,16.0,4_1344000_726750000_2133000000,317.889928817749,15.913
8_1651200_522750000_2133000000,298.30455780029297,16.521,17.0,4_1651200_726750000_2133000000,270.25139331817627,16.7705
4_1651200_726750000_3199000000,261.5830898284912,17.9795,18.0,4_1958400_726750000_2133000000,243.4689998626709,17.824
4_1651200_726750000_3199000000,261.5830898284912,17.9795,19.0,4_1958400_930750000_2133000000,229.7077178955078,18.5295
4_1958400_930750000_3199000000,205.2686214447021,19.736,20.0,4_1958400_930750000_3199000000,205.2686214447021,19.736
8_1958400_930750000_3199000000,205.17802238464355,20.336,21.0,8_2201600_930750000_3199000000,189.3515586853028,21.25
8_1958400_930750000_3199000000,205.17802238464355,20.336,22.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,23.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,24.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,25.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,26.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,27.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,28.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,29.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,30.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,31.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,32.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,33.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,34.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,35.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,36.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,37.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,38.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,39.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,40.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,41.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,42.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,43.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,44.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,45.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,46.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,47.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,48.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,49.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_1958400_930750000_3199000000,205.17802238464355,20.336,50.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
