cores,cpu,gpu,mem,observed_time,bs,observed_power
4,422400,114750000,665600000,590.7732238769531,1.0,14.751
4,422400,114750000,2133000000,588.5832214355469,1.0,15.765
4,422400,114750000,3199000000,578.6094970703125,1.0,16.869
8,422400,114750000,665600000,565.5917358398438,1.0,14.849
8,422400,114750000,2133000000,559.8482360839844,1.0,15.765
8,422400,114750000,3199000000,558.9962768554688,1.0,16.972
12,422400,114750000,665600000,560.9476623535156,1.0,15.152
12,422400,114750000,2133000000,554.6587829589844,1.0,16.163
12,422400,114750000,3199000000,553.5986328125,1.0,17.37
4,422400,318750000,665600000,280.20025634765625,1.0,17.768
4,422400,318750000,2133000000,189.42391967773438,1.0,26.8885
4,422400,318750000,3199000000,211.8689956665039,1.0,21.591
8,422400,318750000,665600000,270.4360809326172,1.0,18.374
8,422400,318750000,2133000000,231.3048324584961,1.0,19.98
8,422400,318750000,3199000000,210.6197738647461,1.0,21.739
12,422400,318750000,665600000,272.45274353027344,1.0,18.4735
12,422400,318750000,2133000000,222.46195220947266,1.0,20.4835
12,422400,318750000,3199000000,209.9142303466797,1.0,22.087
4,422400,522750000,665600000,260.2808074951172,1.0,18.775
4,422400,522750000,2133000000,165.51380920410156,1.0,28.485
4,422400,522750000,3199000000,179.62478637695312,1.0,22.885
8,422400,522750000,665600000,259.00221252441406,1.0,19.176
8,422400,522750000,2133000000,159.09817504882812,1.0,22.487
8,422400,522750000,3199000000,164.07552337646484,1.0,23.8455
12,422400,522750000,665600000,256.4721374511719,1.0,19.176
12,422400,522750000,2133000000,157.3147201538086,1.0,22.688
12,422400,522750000,3199000000,164.5454864501953,1.0,23.994
4,422400,726750000,665600000,237.8368911743164,1.0,20.177
4,422400,726750000,2133000000,184.5412826538086,1.0,28.385
4,422400,726750000,3199000000,173.1419677734375,1.0,23.374
8,422400,726750000,665600000,244.93526458740234,1.0,20.177
8,422400,726750000,2133000000,157.4422149658203,1.0,23.589
8,422400,726750000,3199000000,156.08985900878906,1.0,25.58
12,422400,726750000,665600000,238.84217834472656,1.0,20.578
12,422400,726750000,2133000000,160.47647094726562,1.0,23.585
12,422400,726750000,3199000000,156.40738677978516,1.0,25.078
4,422400,930750000,665600000,237.35919952392578,1.0,21.882
4,422400,930750000,2133000000,180.09569549560547,1.0,26.641
4,422400,930750000,3199000000,164.78841400146484,1.0,24.5795
8,422400,930750000,665600000,243.5387725830078,1.0,21.586
8,422400,930750000,2133000000,174.924560546875,1.0,23.878
8,422400,930750000,3199000000,155.72588348388672,1.0,26.782
12,422400,930750000,665600000,231.65787506103516,1.0,22.283
12,422400,930750000,2133000000,156.6753921508789,1.0,25.679
12,422400,930750000,3199000000,164.04390716552734,1.0,25.684
4,422400,1134750000,665600000,239.80841827392578,1.0,23.385
4,422400,1134750000,2133000000,194.47077178955078,1.0,27.393
4,422400,1134750000,3199000000,174.75031280517578,1.0,26.782
8,422400,1134750000,665600000,235.45133209228516,1.0,24.0345
8,422400,1134750000,2133000000,199.86418914794922,1.0,24.779
8,422400,1134750000,3199000000,161.78604888916016,1.0,26.935
12,422400,1134750000,665600000,234.51373291015625,1.0,23.786
12,422400,1134750000,2133000000,158.64596557617188,1.0,27.488
12,422400,1134750000,3199000000,177.12511444091797,1.0,27.183
4,422400,1300500000,665600000,240.97361755371094,1.0,25.791
4,422400,1300500000,2133000000,175.92838287353516,1.0,26.389
4,422400,1300500000,3199000000,176.30681610107422,1.0,27.989
8,422400,1300500000,665600000,239.5606689453125,1.0,25.895
8,422400,1300500000,2133000000,160.59359741210938,1.0,29.8475
8,422400,1300500000,3199000000,157.56334686279297,1.0,30.993
12,422400,1300500000,665600000,240.13009643554688,1.0,26.6435
12,422400,1300500000,2133000000,165.75101470947266,1.0,29.643
12,422400,1300500000,3199000000,163.3937225341797,1.0,30.5415
4,729600,114750000,665600000,557.1514282226562,1.0,14.851
