cores,cpu,gpu,mem,observed_time,bs,observed_power
4,422400,114750000,665600000,12.71724796295166,1.0,13.19
4,422400,114750000,2133000000,15.813504219055176,1.0,14.105
4,422400,114750000,3199000000,12.006415843963623,1.0,14.81
8,422400,114750000,665600000,11.575360298156738,1.0,13.598
8,422400,114750000,2133000000,11.393919944763184,1.0,14.606
8,422400,114750000,3199000000,11.3645920753479,1.0,14.911
12,422400,114750000,665600000,11.383920192718506,1.0,13.59
12,422400,114750000,2133000000,11.35430383682251,1.0,14.608
12,422400,114750000,3199000000,11.280352115631104,1.0,15.311
4,422400,318750000,665600000,8.70795202255249,1.0,13.592
4,422400,318750000,2133000000,7.8600640296936035,1.0,17.613
4,422400,318750000,3199000000,8.174015998840332,1.0,15.312
8,422400,318750000,665600000,8.47716760635376,1.0,13.994
8,422400,318750000,2133000000,7.562623977661133,1.0,18.616
8,422400,318750000,3199000000,7.8886559009552,1.0,15.713
12,422400,318750000,665600000,9.440256118774414,1.0,14.103
12,422400,318750000,2133000000,6.598527908325195,1.0,18.62
12,422400,318750000,3199000000,7.8919360637664795,1.0,16.118
4,422400,522750000,665600000,8.494527816772461,1.0,13.693
4,422400,522750000,2133000000,6.6285600662231445,1.0,17.613
4,422400,522750000,3199000000,7.17960000038147,1.0,15.719
8,422400,522750000,665600000,8.33729600906372,1.0,13.893
8,422400,522750000,2133000000,7.519935846328735,1.0,18.013
8,422400,522750000,3199000000,7.024991989135742,1.0,16.115
12,422400,522750000,665600000,8.15771198272705,1.0,13.994
12,422400,522750000,2133000000,6.5885279178619385,1.0,18.62
12,422400,522750000,3199000000,7.061455965042114,1.0,16.118
4,422400,726750000,665600000,8.227807998657227,1.0,13.994
4,422400,726750000,2133000000,6.6218719482421875,1.0,18.229
4,422400,726750000,3199000000,6.8523359298706055,1.0,16.017
8,422400,726750000,665600000,8.301392078399658,1.0,14.799
8,422400,726750000,2133000000,7.616560220718384,1.0,18.015
8,422400,726750000,3199000000,6.941920042037964,1.0,16.52
12,422400,726750000,665600000,8.234399795532227,1.0,14.194
12,422400,726750000,2133000000,6.663136005401611,1.0,18.418
12,422400,726750000,3199000000,6.8445281982421875,1.0,15.402
4,422400,930750000,665600000,9.170159816741943,1.0,15.11
4,422400,930750000,2133000000,8.94655990600586,1.0,17.613
4,422400,930750000,3199000000,7.8351359367370605,1.0,16.62
8,422400,930750000,665600000,8.206480026245117,1.0,15.611
8,422400,930750000,2133000000,7.598016023635864,1.0,17.816
8,422400,930750000,3199000000,7.537535905838013,1.0,17.123
12,422400,930750000,665600000,8.108528137207031,1.0,15.611
12,422400,930750000,2133000000,6.550591945648193,1.0,18.519
12,422400,930750000,3199000000,8.803391933441162,1.0,17.119
4,422400,1134750000,665600000,8.982160091400146,1.0,16.01
4,422400,1134750000,2133000000,7.8182878494262695,1.0,18.218
4,422400,1134750000,3199000000,7.617712020874023,1.0,18.024
8,422400,1134750000,665600000,8.388128280639648,1.0,15.901
8,422400,1134750000,2133000000,8.7882080078125,1.0,18.622
8,422400,1134750000,3199000000,6.401792049407959,1.0,17.725
12,422400,1134750000,665600000,8.125376224517822,1.0,16.505
12,422400,1134750000,2133000000,7.469135999679565,1.0,18.418
12,422400,1134750000,3199000000,6.343439817428589,1.0,18.323
4,422400,1300500000,665600000,8.285423755645752,1.0,17.216
4,422400,1300500000,2133000000,7.731264114379883,1.0,17.611
4,422400,1300500000,3199000000,6.401792049407959,1.0,19.231
8,422400,1300500000,665600000,8.175007820129395,1.0,17.715
8,422400,1300500000,2133000000,6.702751874923706,1.0,18.629
8,422400,1300500000,3199000000,6.402912139892578,1.0,20.039
12,422400,1300500000,665600000,7.985904216766357,1.0,17.614
12,422400,1300500000,2133000000,7.500447988510132,1.0,18.015
12,422400,1300500000,3199000000,6.377967834472656,1.0,19.131
4,729600,114750000,665600000,10.216415882110596,1.0,13.903
