cores,cpu,gpu,mem,observed_time,bs,observed_power
4,422400,114750000,665600000,96.06263732910156,1.0,11.742
4,422400,114750000,2133000000,77.34899520874023,1.0,12.743
4,422400,114750000,3199000000,88.51374435424805,1.0,13.348
8,422400,114750000,665600000,77.94134140014648,1.0,12.141
8,422400,114750000,2133000000,75.15447998046875,1.0,13.0965
8,422400,114750000,3199000000,74.28108978271484,1.0,13.648
12,422400,114750000,665600000,77.83489608764648,1.0,12.143
12,422400,114750000,2133000000,75.81702423095703,1.0,13.046
12,422400,114750000,3199000000,73.92974472045898,1.0,13.648
4,422400,318750000,665600000,82.1129150390625,1.0,12.093
4,422400,318750000,2133000000,76.69097900390625,1.0,15.052
4,422400,318750000,3199000000,75.94931411743164,1.0,13.648
8,422400,318750000,665600000,78.58438491821289,1.0,12.444
8,422400,318750000,2133000000,74.10641479492188,1.0,12.996
8,422400,318750000,3199000000,75.93458938598633,1.0,14.049
12,422400,318750000,665600000,76.8740005493164,1.0,12.444
12,422400,318750000,2133000000,88.77193832397461,1.0,12.946
12,422400,318750000,3199000000,73.17814254760742,1.0,14.049
4,422400,522750000,665600000,81.39763259887695,1.0,12.043
4,422400,522750000,2133000000,85.73428726196289,1.0,15.052
4,422400,522750000,3199000000,76.83048248291016,1.0,13.648
8,422400,522750000,665600000,77.86061096191406,1.0,12.444
8,422400,522750000,2133000000,75.32596969604492,1.0,13.347
8,422400,522750000,3199000000,74.82104110717773,1.0,14.0495
12,422400,522750000,665600000,77.00621032714844,1.0,12.444
12,422400,522750000,2133000000,74.25305557250977,1.0,13.396
12,422400,522750000,3199000000,74.36775970458984,1.0,13.949
4,422400,726750000,665600000,92.15825653076172,1.0,12.444
4,422400,726750000,2133000000,77.94225311279297,1.0,15.453
4,422400,726750000,3199000000,89.88648223876953,1.0,14.049
8,422400,726750000,665600000,77.41061019897461,1.0,12.895
8,422400,726750000,2133000000,75.31649780273438,1.0,13.397
8,422400,726750000,3199000000,75.06505584716797,1.0,14.4
12,422400,726750000,665600000,75.9216194152832,1.0,12.845
12,422400,726750000,2133000000,73.6836166381836,1.0,13.397
12,422400,726750000,3199000000,73.03883361816406,1.0,14.45
4,422400,930750000,665600000,79.68915176391602,1.0,12.845
4,422400,930750000,2133000000,76.11337661743164,1.0,15.003
4,422400,930750000,3199000000,75.5682373046875,1.0,14.852
8,422400,930750000,665600000,76.85591888427734,1.0,13.246
8,422400,930750000,2133000000,74.34774398803711,1.0,14.199
8,422400,930750000,3199000000,73.19867324829102,1.0,14.802
12,422400,930750000,665600000,75.4709587097168,1.0,13.246
12,422400,930750000,2133000000,75.8255844116211,1.0,14.249
12,422400,930750000,3199000000,72.2010726928711,1.0,14.752
4,422400,1134750000,665600000,80.54753494262695,1.0,13.648
4,422400,1134750000,2133000000,80.15729522705078,1.0,15.2525
4,422400,1134750000,3199000000,78.43262481689453,1.0,15.253
8,422400,1134750000,665600000,77.94019317626953,1.0,14.046
8,422400,1134750000,2133000000,75.58480072021484,1.0,14.551
8,422400,1134750000,3199000000,75.63764953613281,1.0,15.654
12,422400,1134750000,665600000,76.47857666015625,1.0,14.099
12,422400,1134750000,2133000000,74.73087692260742,1.0,14.502
12,422400,1134750000,3199000000,72.43065643310547,1.0,15.554
4,422400,1300500000,665600000,79.96432113647461,1.0,14.45
4,422400,1300500000,2133000000,77.86743927001953,1.0,15.453
4,422400,1300500000,3199000000,76.39737701416016,1.0,16.055
8,422400,1300500000,665600000,76.45662689208984,1.0,14.8495
8,422400,1300500000,2133000000,74.4790267944336,1.0,15.602
8,422400,1300500000,3199000000,74.37670516967773,1.0,16.403
12,422400,1300500000,665600000,75.97905731201172,1.0,14.848
12,422400,1300500000,2133000000,73.63380813598633,1.0,15.6535
12,422400,1300500000,3199000000,73.76779174804688,1.0,16.356
4,729600,114750000,665600000,54.265647888183594,1.0,12.6925
4,729600,114750000,2133000000,49.45297622680664,1.0,13.145
4,729600,114750000,3199000000,50.399696350097656,1.0,14.248
8,729600,114750000,665600000,50.78430366516113,1.0,12.5405
8,729600,114750000,2133000000,47.092464447021484,1.0,13.1935
8,729600,114750000,3199000000,45.05743980407715,1.0,14.2965
12,729600,114750000,665600000,50.27169609069824,1.0,12.9415
12,729600,114750000,2133000000,47.4016170501709,1.0,13.645
12,729600,114750000,3199000000,46.34395217895508,1.0,14.398
4,729600,318750000,665600000,51.825904846191406,1.0,12.541
4,729600,318750000,2133000000,49.11942481994629,1.0,15.95
4,729600,318750000,3199000000,50.79812812805176,1.0,14.148
8,729600,318750000,665600000,50.27079963684082,1.0,12.5925
8,729600,318750000,2133000000,46.71801567077637,1.0,13.546
8,729600,318750000,3199000000,47.08902549743652,1.0,14.147
12,729600,318750000,665600000,48.55324745178223,1.0,12.542
12,729600,318750000,2133000000,46.810176849365234,1.0,13.7465
12,729600,318750000,3199000000,45.15780830383301,1.0,14.148
4,729600,522750000,665600000,53.96539306640625,1.0,12.542
4,729600,522750000,2133000000,48.47934341430664,1.0,15.952
4,729600,522750000,3199000000,46.798912048339844,1.0,14.148
8,729600,522750000,665600000,49.144126892089844,1.0,12.541
8,729600,522750000,2133000000,46.09624099731445,1.0,13.545
8,729600,522750000,3199000000,46.43916893005371,1.0,14.0475
12,729600,522750000,665600000,48.570512771606445,1.0,12.542
12,729600,522750000,2133000000,46.909568786621094,1.0,13.7465
12,729600,522750000,3199000000,45.04600143432617,1.0,14.3485
4,729600,726750000,665600000,52.713552474975586,1.0,12.943
4,729600,726750000,2133000000,52.011247634887695,1.0,15.952
4,729600,726750000,3199000000,51.33856010437012,1.0,14.549
8,729600,726750000,665600000,49.52969551086426,1.0,13.043
8,729600,726750000,2133000000,46.87363243103027,1.0,13.947
8,729600,726750000,3199000000,45.56587219238281,1.0,14.549
12,729600,726750000,665600000,49.66668701171875,1.0,12.943
12,729600,726750000,2133000000,46.78323173522949,1.0,14.1475
12,729600,726750000,3199000000,44.787343978881836,1.0,14.549
4,729600,930750000,665600000,56.24275207519531,1.0,13.344
4,729600,930750000,2133000000,49.1760311126709,1.0,15.952
4,729600,930750000,3199000000,51.3427848815918,1.0,14.95
8,729600,930750000,665600000,48.85451126098633,1.0,13.344
8,729600,930750000,2133000000,47.36747169494629,1.0,14.348
8,729600,930750000,3199000000,46.476463317871094,1.0,15.351
12,729600,930750000,665600000,48.67156791687012,1.0,13.344
12,729600,930750000,2133000000,46.4279670715332,1.0,14.749
12,729600,930750000,3199000000,45.889888763427734,1.0,15.149
4,729600,1134750000,665600000,55.92548751831055,1.0,14.1965
4,729600,1134750000,2133000000,48.747568130493164,1.0,15.952
4,729600,1134750000,3199000000,50.652143478393555,1.0,15.752
8,729600,1134750000,665600000,54.2623348236084,1.0,14.146
8,729600,1134750000,2133000000,49.904911041259766,1.0,15.15
8,729600,1134750000,3199000000,46.48198318481445,1.0,15.752
12,729600,1134750000,665600000,48.979679107666016,1.0,13.946
12,729600,1134750000,2133000000,47.0097599029541,1.0,15.349
12,729600,1134750000,3199000000,49.98228645324707,1.0,15.749
4,729600,1300500000,665600000,54.93009567260742,1.0,14.948
4,729600,1300500000,2133000000,48.461151123046875,1.0,15.8015
4,729600,1300500000,3199000000,50.093231201171875,1.0,16.554
8,729600,1300500000,665600000,48.96187210083008,1.0,14.9465
8,729600,1300500000,2133000000,46.52943992614746,1.0,15.9505
8,729600,1300500000,3199000000,45.07427215576172,1.0,16.554
12,729600,1300500000,665600000,48.54287910461426,1.0,14.9465
12,729600,1300500000,2133000000,46.25387191772461,1.0,15.952
12,729600,1300500000,3199000000,45.29587173461914,1.0,16.955
4,1036800,114750000,665600000,41.493295669555664,1.0,12.7945
4,1036800,114750000,2133000000,37.92540740966797,1.0,13.747
4,1036800,114750000,3199000000,38.833120346069336,1.0,14.349
8,1036800,114750000,665600000,39.44638442993164,1.0,12.745
8,1036800,114750000,2133000000,36.85231971740723,1.0,13.749
8,1036800,114750000,3199000000,35.41075134277344,1.0,14.752
12,1036800,114750000,665600000,38.018911361694336,1.0,13.144
12,1036800,114750000,2133000000,36.07769584655762,1.0,14.15
12,1036800,114750000,3199000000,35.11686325073242,1.0,14.75
4,1036800,318750000,665600000,42.67104148864746,1.0,12.744
4,1036800,318750000,2133000000,39.71235275268555,1.0,15.952
4,1036800,318750000,3199000000,39.054208755493164,1.0,14.351
8,1036800,318750000,665600000,38.65403366088867,1.0,12.644
8,1036800,318750000,2133000000,35.89262390136719,1.0,14.148
8,1036800,318750000,3199000000,34.78371238708496,1.0,14.752
12,1036800,318750000,665600000,38.67582321166992,1.0,13.144
12,1036800,318750000,2133000000,35.93476867675781,1.0,14.048
12,1036800,318750000,3199000000,34.17350387573242,1.0,14.75
4,1036800,522750000,665600000,41.87705612182617,1.0,12.743
4,1036800,522750000,2133000000,38.94112014770508,1.0,15.955
4,1036800,522750000,3199000000,36.10601615905762,1.0,14.65
8,1036800,522750000,665600000,38.86647987365723,1.0,13.146
8,1036800,522750000,2133000000,35.91761589050293,1.0,13.347
8,1036800,522750000,3199000000,38.27056121826172,1.0,15.153
12,1036800,522750000,665600000,38.95222473144531,1.0,13.144
12,1036800,522750000,2133000000,35.32423973083496,1.0,14.05
12,1036800,522750000,3199000000,34.91791915893555,1.0,14.95
4,1036800,726750000,665600000,43.23000144958496,1.0,13.144
4,1036800,726750000,2133000000,39.70587158203125,1.0,16.056
4,1036800,726750000,3199000000,36.72889518737793,1.0,14.75
8,1036800,726750000,665600000,38.42633628845215,1.0,13.146
8,1036800,726750000,2133000000,39.2148323059082,1.0,13.947
8,1036800,726750000,3199000000,34.46793556213379,1.0,14.549
12,1036800,726750000,665600000,39.26043128967285,1.0,13.547
12,1036800,726750000,2133000000,35.532958984375,1.0,14.35
12,1036800,726750000,3199000000,34.223134994506836,1.0,15.053
4,1036800,930750000,665600000,42.59096145629883,1.0,13.346
4,1036800,930750000,2133000000,38.10268783569336,1.0,16.056
4,1036800,930750000,3199000000,37.54523277282715,1.0,15.455
8,1036800,930750000,665600000,37.79435348510742,1.0,13.948
8,1036800,930750000,2133000000,36.13734436035156,1.0,14.853
8,1036800,930750000,3199000000,34.57771110534668,1.0,15.856
12,1036800,930750000,665600000,38.473344802856445,1.0,14.247
12,1036800,930750000,2133000000,35.445823669433594,1.0,14.751
12,1036800,930750000,3199000000,34.00075149536133,1.0,15.856
