cores,cpu,gpu,mem,observed_time,bs,observed_power
4,422400,114750000,665600000,77.86630249023438,1.0,13.046
4,422400,114750000,2133000000,80.80165100097656,1.0,13.7975
4,422400,114750000,3199000000,71.43936157226562,1.0,14.8525
8,422400,114750000,665600000,71.63491439819336,1.0,13.447
8,422400,114750000,2133000000,68.68483352661133,1.0,14.449
8,422400,114750000,3199000000,67.52103805541992,1.0,15.1035
12,422400,114750000,665600000,70.77151870727539,1.0,13.445
12,422400,114750000,2133000000,69.28627395629883,1.0,14.401
12,422400,114750000,3199000000,67.63520050048828,1.0,15.053
4,422400,318750000,665600000,72.16232299804688,1.0,13.1445
4,422400,318750000,2133000000,91.90259170532227,1.0,13.8505
4,422400,318750000,3199000000,65.9783706665039,1.0,14.45
8,422400,318750000,665600000,67.61603164672852,1.0,13.345
8,422400,318750000,2133000000,66.1334228515625,1.0,14.349
8,422400,318750000,3199000000,64.74881744384766,1.0,15.203
12,422400,318750000,665600000,67.49086380004883,1.0,13.347
12,422400,318750000,2133000000,65.67787170410156,1.0,14.299
12,422400,318750000,3199000000,65.42616271972656,1.0,15.1515
4,422400,522750000,665600000,79.32681655883789,1.0,12.7935
4,422400,522750000,2133000000,80.21380996704102,1.0,14.0
4,422400,522750000,3199000000,66.52425765991211,1.0,14.901
8,422400,522750000,665600000,67.89588928222656,1.0,13.446
8,422400,522750000,2133000000,66.29423904418945,1.0,14.15
8,422400,522750000,3199000000,64.69958114624023,1.0,15.255
12,422400,522750000,665600000,68.30696105957031,1.0,13.696
12,422400,522750000,2133000000,65.43355178833008,1.0,14.3485
12,422400,522750000,3199000000,64.3746223449707,1.0,15.252
4,422400,726750000,665600000,71.0212631225586,1.0,13.746
4,422400,726750000,2133000000,74.93647766113281,1.0,14.65
4,422400,726750000,3199000000,70.634033203125,1.0,14.9505
8,422400,726750000,665600000,69.20347213745117,1.0,13.646
8,422400,726750000,2133000000,65.54708862304688,1.0,14.549
8,422400,726750000,3199000000,64.99443435668945,1.0,15.5535
12,422400,726750000,665600000,67.4561767578125,1.0,14.097
12,422400,726750000,2133000000,75.9812126159668,1.0,14.549
12,422400,726750000,3199000000,64.04131317138672,1.0,15.6545
4,422400,930750000,665600000,79.72873306274414,1.0,14.097
4,422400,930750000,2133000000,80.0790901184082,1.0,15.1525
4,422400,930750000,3199000000,75.89347076416016,1.0,15.7525
8,422400,930750000,665600000,69.67025375366211,1.0,14.498
8,422400,930750000,2133000000,65.18878173828125,1.0,15.351
8,422400,930750000,3199000000,65.48339080810547,1.0,15.953
12,422400,930750000,665600000,68.83977890014648,1.0,14.448
12,422400,930750000,2133000000,66.22331237792969,1.0,15.351
12,422400,930750000,3199000000,64.3443374633789,1.0,16.2055
4,422400,1134750000,665600000,79.61841583251953,1.0,14.8015
4,422400,1134750000,2133000000,78.26700973510742,1.0,15.752
4,422400,1134750000,3199000000,66.63827133178711,1.0,16.5575
8,422400,1134750000,665600000,77.9181137084961,1.0,15.3
8,422400,1134750000,2133000000,65.96985626220703,1.0,16.153
8,422400,1134750000,3199000000,65.5716323852539,1.0,16.7565
12,422400,1134750000,665600000,66.8955192565918,1.0,15.3
12,422400,1134750000,2133000000,66.09099197387695,1.0,16.153
