cores,cpu,gpu,mem,observed_time,bs,observed_power
4,422400,114750000,665600000,86.80057525634766,1.0,12.944
4,422400,114750000,2133000000,88.05835247039795,1.0,13.848
4,422400,114750000,3199000000,91.27497673034668,1.0,14.7555
8,422400,114750000,665600000,78.12082767486572,1.0,12.944
8,422400,114750000,2133000000,75.31344890594482,1.0,13.948
8,422400,114750000,3199000000,74.62024688720703,1.0,14.953
12,422400,114750000,665600000,77.43120193481445,1.0,12.944
12,422400,114750000,2133000000,76.55930519104004,1.0,13.7985
12,422400,114750000,3199000000,74.3173360824585,1.0,14.951
4,422400,318750000,665600000,78.08279991149902,1.0,13.144
4,422400,318750000,2133000000,75.11508464813232,1.0,14.148
4,422400,318750000,3199000000,80.45125007629395,1.0,14.851
8,422400,318750000,665600000,75.78146457672119,1.0,13.245
8,422400,318750000,2133000000,71.67434692382812,1.0,14.148
8,422400,318750000,3199000000,70.54245471954346,1.0,14.851
12,422400,318750000,665600000,75.08504390716553,1.0,13.245
12,422400,318750000,2133000000,70.5561637878418,1.0,14.148
12,422400,318750000,3199000000,69.03386116027832,1.0,14.75
4,422400,522750000,665600000,77.87096500396729,1.0,12.743
4,422400,522750000,2133000000,74.53405857086182,1.0,14.148
4,422400,522750000,3199000000,73.83692264556885,1.0,14.75
8,422400,522750000,665600000,73.0600357055664,1.0,13.144
8,422400,522750000,2133000000,72.54374027252197,1.0,14.148
8,422400,522750000,3199000000,70.74868679046631,1.0,14.9505
12,422400,522750000,665600000,73.3722448348999,1.0,13.245
12,422400,522750000,2133000000,70.8775520324707,1.0,14.148
12,422400,522750000,3199000000,70.19424438476562,1.0,15.2015
4,422400,726750000,665600000,77.89468765258789,1.0,13.3445
4,422400,726750000,2133000000,77.79145240783691,1.0,14.146
4,422400,726750000,3199000000,72.22568988800049,1.0,15.151
8,422400,726750000,665600000,74.04422760009766,1.0,13.646
8,422400,726750000,2133000000,71.075439453125,1.0,14.549
8,422400,726750000,3199000000,70.98686695098877,1.0,15.3515
12,422400,726750000,665600000,75.68228244781494,1.0,13.5955
12,422400,726750000,2133000000,69.28706169128418,1.0,14.549
12,422400,726750000,3199000000,66.52450561523438,1.0,15.552
4,422400,930750000,665600000,90.77334403991699,1.0,14.1465
4,422400,930750000,2133000000,96.85957431793213,1.0,14.7475
4,422400,930750000,3199000000,80.55734634399414,1.0,15.953
8,422400,930750000,665600000,76.99429988861084,1.0,14.344
8,422400,930750000,2133000000,71.97916507720947,1.0,15.1505
8,422400,930750000,3199000000,71.20037078857422,1.0,15.953
12,422400,930750000,665600000,72.98994064331055,1.0,14.347
12,422400,930750000,2133000000,71.16448879241943,1.0,15.351
12,422400,930750000,3199000000,68.91083717346191,1.0,15.95
4,422400,1134750000,665600000,81.81405067443848,1.0,14.9485
4,422400,1134750000,2133000000,73.79615306854248,1.0,15.753
4,422400,1134750000,3199000000,70.68085670471191,1.0,16.354
8,422400,1134750000,665600000,74.57339763641357,1.0,15.35
8,422400,1134750000,2133000000,70.30105590820312,1.0,16.153
8,422400,1134750000,3199000000,69.14710998535156,1.0,16.755
12,422400,1134750000,665600000,74.74470138549805,1.0,15.25
12,422400,1134750000,2133000000,68.88234615325928,1.0,16.153
12,422400,1134750000,3199000000,67.29388236999512,1.0,16.755
4,422400,1300500000,665600000,86.6326093673706,1.0,15.951
4,422400,1300500000,2133000000,83.61613750457764,1.0,16.554
4,422400,1300500000,3199000000,81.51519298553467,1.0,17.3565
8,422400,1300500000,665600000,73.99594783782959,1.0,16.449
8,422400,1300500000,2133000000,71.1665153503418,1.0,16.955
8,422400,1300500000,3199000000,70.61076164245605,1.0,17.958
12,422400,1300500000,665600000,74.6546983718872,1.0,16.451
12,422400,1300500000,2133000000,70.85394859313965,1.0,16.955
12,422400,1300500000,3199000000,69.79286670684814,1.0,17.954
4,729600,114750000,665600000,71.7536211013794,1.0,13.443
4,729600,114750000,2133000000,69.85235214233398,1.0,14.449
4,729600,114750000,3199000000,69.28765773773193,1.0,15.056
8,729600,114750000,665600000,70.90187072753906,1.0,13.443
8,729600,114750000,2133000000,69.41580772399902,1.0,14.447
8,729600,114750000,3199000000,68.91119480133057,1.0,15.051
12,729600,114750000,665600000,70.67370414733887,1.0,13.4415
12,729600,114750000,2133000000,69.72980499267578,1.0,14.447
12,729600,114750000,3199000000,68.78781318664551,1.0,15.048
4,729600,318750000,665600000,52.35135555267334,1.0,13.8945
4,729600,318750000,2133000000,46.96166515350342,1.0,14.849
4,729600,318750000,3199000000,45.65238952636719,1.0,15.65
8,729600,318750000,665600000,51.077842712402344,1.0,13.944
8,729600,318750000,2133000000,45.75681686401367,1.0,14.947
8,729600,318750000,3199000000,44.35408115386963,1.0,16.061
12,729600,318750000,665600000,49.09694194793701,1.0,14.345
12,729600,318750000,2133000000,43.7389612197876,1.0,15.348
12,729600,318750000,3199000000,44.0058708190918,1.0,16.052
