cores,cpu,gpu,mem,observed_time,observed_power
4,422400,114750000,665600000,7899.345703125,15.6125
4,422400,114750000,2133000000,7876.123046875,16.565
4,422400,114750000,3199000000,7866.251953125,17.466
8,422400,114750000,665600000,7920.068603515625,15.664
8,422400,114750000,2133000000,7898.580322265625,16.565
8,422400,114750000,3199000000,7888.881591796875,17.469
12,422400,114750000,665600000,7893.501708984375,15.965
12,422400,114750000,2133000000,7870.2587890625,16.869
12,422400,114750000,3199000000,7859.085693359375,17.77
4,422400,318750000,665600000,4164.21826171875,18.679
4,422400,318750000,2133000000,2908.035888671875,21.992
4,422400,318750000,3199000000,2880.5234375,23.595
8,422400,318750000,665600000,4148.45654296875,18.679
8,422400,318750000,2133000000,2913.3958740234375,22.088
8,422400,318750000,3199000000,2882.0924072265625,23.6
12,422400,318750000,665600000,4154.520263671875,19.076
12,422400,318750000,2133000000,2894.8455810546875,22.393
12,422400,318750000,3199000000,2887.2808837890625,23.996
4,422400,522750000,665600000,3977.7486572265625,19.274
4,422400,522750000,2133000000,1892.1984252929688,26.098
4,422400,522750000,3199000000,1867.2723388671875,28.506
8,422400,522750000,665600000,3973.3756103515625,19.278
8,422400,522750000,2133000000,1876.166259765625,26.8
8,422400,522750000,3199000000,1856.5880737304688,28.601
12,422400,522750000,665600000,3982.0780029296875,19.678
12,422400,522750000,2133000000,1908.9161987304688,27.0
12,422400,522750000,3199000000,1848.0685424804688,28.907
4,422400,726750000,665600000,3948.3331298828125,20.176
4,422400,726750000,2133000000,1619.3401489257812,29.906
4,422400,726750000,3199000000,1431.6017456054688,33.8
8,422400,726750000,665600000,3945.0264892578125,20.476
8,422400,726750000,2133000000,1563.0271606445312,30.508
8,422400,726750000,3199000000,1409.032470703125,34.293
12,422400,726750000,665600000,3941.3193359375,20.876
12,422400,726750000,2133000000,1614.41943359375,30.509
12,422400,726750000,3199000000,1419.546142578125,34.099
4,422400,930750000,665600000,3935.916748046875,21.779
4,422400,930750000,2133000000,1592.9898071289062,33.516
4,422400,930750000,3199000000,1207.51416015625,39.214
8,422400,930750000,665600000,3932.318603515625,22.074
8,422400,930750000,2133000000,1545.2716674804688,33.826
8,422400,930750000,3199000000,1179.7191772460938,40.597
12,422400,930750000,665600000,3929.94580078125,22.179
12,422400,930750000,2133000000,1477.7293701171875,34.613
12,422400,930750000,3199000000,1178.0463256835938,41.008
4,422400,1134750000,665600000,3931.60205078125,23.683
4,422400,1134750000,2133000000,1460.0118408203125,37.528
4,422400,1134750000,3199000000,1126.956298828125,44.898
8,422400,1134750000,665600000,3921.5972900390625,23.783
8,422400,1134750000,2133000000,1419.0653076171875,37.418
8,422400,1134750000,3199000000,1095.0881958007812,46.294
12,422400,1134750000,665600000,3912.5733642578125,24.083
12,422400,1134750000,2133000000,1504.05419921875,37.417
12,422400,1134750000,3199000000,1076.3255004882812,47.091
4,422400,1300500000,665600000,3920.900390625,25.793
4,422400,1300500000,2133000000,1430.29150390625,41.55
4,422400,1300500000,3199000000,1094.15625,50.348
8,422400,1300500000,665600000,3927.770751953125,26.088
8,422400,1300500000,2133000000,1388.7597045898438,42.831
8,422400,1300500000,3199000000,1045.394775390625,51.492
12,422400,1300500000,665600000,3928.1702880859375,26.289
12,422400,1300500000,2133000000,1372.564208984375,42.831
12,422400,1300500000,3199000000,1053.5744018554688,54.125
4,729600,114750000,665600000,7886.233154296875,15.664
4,729600,114750000,2133000000,7865.21484375,16.568
4,729600,114750000,3199000000,7855.256591796875,17.472
8,729600,114750000,665600000,7898.028076171875,15.664
8,729600,114750000,2133000000,7878.604248046875,16.669
8,729600,114750000,3199000000,7868.0390625,17.472
12,729600,114750000,665600000,7886.872314453125,16.065
12,729600,114750000,2133000000,7859.49072265625,16.969
12,729600,114750000,3199000000,7858.177978515625,17.873
4,729600,318750000,665600000,4153.0625,18.675
4,729600,318750000,2133000000,2870.7796630859375,22.084
4,729600,318750000,3199000000,2852.63330078125,23.691
8,729600,318750000,665600000,4140.625,18.776
8,729600,318750000,2133000000,2871.239990234375,22.384
8,729600,318750000,3199000000,2854.8392333984375,23.701
12,729600,318750000,665600000,4148.264892578125,19.076
12,729600,318750000,2133000000,2863.7218017578125,22.388
12,729600,318750000,3199000000,2848.2572021484375,24.092
4,729600,522750000,665600000,3983.3504638671875,19.274
4,729600,522750000,2133000000,1822.9317016601562,26.906
4,729600,522750000,3199000000,1792.92578125,29.204
8,729600,522750000,665600000,3961.261962890625,19.569
8,729600,522750000,2133000000,1810.5078125,27.301
8,729600,522750000,3199000000,1782.0255737304688,29.304
12,729600,522750000,665600000,3969.30810546875,19.671
12,729600,522750000,2133000000,1835.1178588867188,27.301
12,729600,522750000,3199000000,1785.5882568359375,29.51
4,729600,726750000,665600000,3948.3743896484375,20.179
4,729600,726750000,2133000000,1520.5863647460938,30.818
4,729600,726750000,3199000000,1364.1172485351562,34.794
8,729600,726750000,665600000,3935.7103271484375,20.484
8,729600,726750000,2133000000,1582.8069458007812,30.717
8,729600,726750000,3199000000,1344.7971801757812,35.405
12,729600,726750000,665600000,3940.537353515625,20.581
12,729600,726750000,2133000000,1509.5452880859375,31.319
12,729600,726750000,3199000000,1348.55859375,35.405
4,729600,930750000,665600000,3930.91064453125,21.779
4,729600,930750000,2133000000,1406.6056518554688,34.92
4,729600,930750000,3199000000,1127.0880737304688,41.218
8,729600,930750000,665600000,3924.1185302734375,21.782
8,729600,930750000,2133000000,1391.8740844726562,35.215
8,729600,930750000,3199000000,1114.6024780273438,42.111
