cores,cpu,gpu,mem,observed_time,observed_power
4,422400,114750000,665600000,82.12113571166992,14.509
4,422400,114750000,2133000000,80.18055725097656,15.416
4,422400,114750000,3199000000,80.50540542602539,16.726
8,422400,114750000,665600000,81.09934616088867,14.509
8,422400,114750000,2133000000,79.58476638793945,15.52
8,422400,114750000,3199000000,79.98222732543945,16.726
12,422400,114750000,665600000,80.71963119506836,14.911
12,422400,114750000,2133000000,79.79431915283203,15.819
12,422400,114750000,3199000000,79.70414352416992,17.132
4,422400,318750000,665600000,50.69670295715332,15.92
4,422400,318750000,2133000000,36.95153617858887,17.633
4,422400,318750000,3199000000,37.06902313232422,19.242
8,422400,318750000,665600000,49.971391677856445,16.724
8,422400,318750000,2133000000,36.19022560119629,18.74
8,422400,318750000,3199000000,36.36276817321777,19.648
12,422400,318750000,665600000,49.07171058654785,16.724
12,422400,318750000,2133000000,36.18655967712402,18.841
12,422400,318750000,3199000000,33.634334564208984,20.051
4,422400,522750000,665600000,48.62289619445801,16.325
4,422400,522750000,2133000000,35.85782432556152,17.934
4,422400,522750000,3199000000,33.55617713928223,19.247
8,422400,522750000,665600000,47.51835060119629,16.724
8,422400,522750000,2133000000,31.453744888305664,19.042
8,422400,522750000,3199000000,31.264320373535156,20.348
12,422400,522750000,665600000,46.99107360839844,17.329
12,422400,522750000,2133000000,30.42463970184326,18.442
12,422400,522750000,3199000000,30.777520179748535,20.448
4,422400,726750000,665600000,49.275712966918945,17.126
4,422400,726750000,2133000000,33.375328063964844,18.131
4,422400,726750000,3199000000,35.93380928039551,19.238
8,422400,726750000,665600000,46.68403244018555,17.735
8,422400,726750000,2133000000,31.804991722106934,19.746
8,422400,726750000,3199000000,29.974143981933594,20.657
12,422400,726750000,665600000,46.397409439086914,17.735
12,422400,726750000,2133000000,37.01092720031738,19.343
12,422400,726750000,3199000000,30.52142333984375,20.552
4,422400,930750000,665600000,48.01950454711914,17.931
4,422400,930750000,2133000000,35.15248107910156,19.535
4,422400,930750000,3199000000,35.147342681884766,20.445
8,422400,930750000,665600000,46.270416259765625,18.933
8,422400,930750000,2133000000,30.491215705871582,20.546
8,422400,930750000,3199000000,33.412031173706055,21.045
12,422400,930750000,665600000,46.069007873535156,18.937
12,422400,930750000,2133000000,31.49623966217041,20.546
12,422400,930750000,3199000000,30.6254243850708,21.049
4,422400,1134750000,665600000,53.834943771362305,19.032
4,422400,1134750000,2133000000,35.50491142272949,20.146
4,422400,1134750000,3199000000,34.61308670043945,21.655
8,422400,1134750000,665600000,45.93588829040527,20.347
8,422400,1134750000,2133000000,31.048559188842773,21.958
8,422400,1134750000,3199000000,31.109472274780273,22.462
12,422400,1134750000,665600000,45.35793685913086,20.14
12,422400,1134750000,2133000000,31.44007968902588,21.152
12,422400,1134750000,3199000000,30.925456047058105,22.255
4,422400,1300500000,665600000,46.616384506225586,21.25
4,422400,1300500000,2133000000,36.58444786071777,22.359
4,422400,1300500000,3199000000,35.83116912841797,22.354
8,422400,1300500000,665600000,45.54606246948242,21.753
8,422400,1300500000,2133000000,30.843215942382812,23.365
8,422400,1300500000,3199000000,30.493488311767578,23.859
12,422400,1300500000,665600000,45.42545509338379,21.748
12,422400,1300500000,2133000000,29.89788818359375,23.457
12,422400,1300500000,3199000000,36.61974334716797,23.154
4,729600,114750000,665600000,82.6469612121582,14.909
4,729600,114750000,2133000000,78.66474914550781,15.917
4,729600,114750000,3199000000,77.98691177368164,17.439
8,729600,114750000,665600000,79.00886154174805,15.01
8,729600,114750000,2133000000,78.37820816040039,16.42
8,729600,114750000,3199000000,77.62206268310547,17.128
12,729600,114750000,665600000,78.52613067626953,15.012
12,729600,114750000,2133000000,77.97684860229492,14.911
12,729600,114750000,3199000000,77.29873657226562,17.229
4,729600,318750000,665600000,47.611310958862305,16.923
4,729600,318750000,2133000000,31.384639739990234,19.744
4,729600,318750000,3199000000,30.821136474609375,20.65
8,729600,318750000,665600000,47.16836738586426,16.923
8,729600,318750000,2133000000,30.619248390197754,19.744
8,729600,318750000,3199000000,30.380687713623047,21.258
12,729600,318750000,665600000,46.77288055419922,16.923
12,729600,318750000,2133000000,30.561887741088867,19.442
12,729600,318750000,3199000000,30.170559883117676,21.254
4,729600,522750000,665600000,45.41329574584961,17.325
4,729600,522750000,2133000000,21.952255249023438,21.454
4,729600,522750000,3199000000,20.935808181762695,23.067
8,729600,522750000,665600000,44.38140678405762,17.426
8,729600,522750000,2133000000,20.861167907714844,22.261
8,729600,522750000,3199000000,21.143407821655273,23.868
12,729600,522750000,665600000,44.1453914642334,17.426
12,729600,522750000,2133000000,20.780896186828613,22.055
12,729600,522750000,3199000000,20.37235164642334,23.767
4,729600,726750000,665600000,45.151567459106445,17.828
4,729600,726750000,2133000000,19.756656646728516,23.463
4,729600,726750000,3199000000,21.658799171447754,23.564
8,729600,726750000,665600000,43.723920822143555,18.23
8,729600,726750000,2133000000,18.9901762008667,24.066
8,729600,726750000,3199000000,21.566160202026367,24.269
12,729600,726750000,665600000,44.02988815307617,18.23
12,729600,726750000,2133000000,18.97772789001465,24.066
12,729600,726750000,3199000000,18.688735961914062,24.973
4,729600,930750000,665600000,44.36790466308594,19.135
4,729600,930750000,2133000000,21.83784008026123,22.153
4,729600,930750000,3199000000,20.11023998260498,24.568
8,729600,930750000,665600000,43.367727279663086,18.933
8,729600,930750000,2133000000,19.032751083374023,25.172
8,729600,930750000,3199000000,18.437007904052734,25.877
12,729600,930750000,665600000,43.162527084350586,19.135
12,729600,930750000,2133000000,19.182575225830078,24.775
12,729600,930750000,3199000000,18.29624080657959,25.882
4,729600,1134750000,665600000,43.7750244140625,20.744
4,729600,1134750000,2133000000,23.46243190765381,25.069
4,729600,1134750000,3199000000,21.061808586120605,25.471
8,729600,1134750000,665600000,43.21467208862305,20.744
8,729600,1134750000,2133000000,19.45535945892334,25.673
8,729600,1134750000,3199000000,18.768176078796387,26.887
12,729600,1134750000,665600000,42.90715217590332,20.744
12,729600,1134750000,2133000000,18.35153579711914,25.471
12,729600,1134750000,3199000000,19.39675235748291,26.679
4,729600,1300500000,665600000,44.07846260070801,22.256
4,729600,1300500000,2133000000,21.43881607055664,26.986
4,729600,1300500000,3199000000,19.815360069274902,28.187
8,729600,1300500000,665600000,42.79572868347168,22.453
8,729600,1300500000,2133000000,18.628063201904297,28.891
8,729600,1300500000,3199000000,21.083632469177246,28.389
12,729600,1300500000,665600000,42.90936088562012,22.352
12,729600,1300500000,2133000000,19.254096031188965,28.294
12,729600,1300500000,3199000000,18.475584030151367,29.496
4,1036800,114750000,665600000,78.11966323852539,15.01
4,1036800,114750000,2133000000,77.18828964233398,15.616
4,1036800,114750000,3199000000,76.74780654907227,16.827
8,1036800,114750000,665600000,77.73321914672852,15.012
8,1036800,114750000,2133000000,77.07032012939453,16.02
8,1036800,114750000,3199000000,76.4827995300293,17.229
12,1036800,114750000,665600000,77.57209777832031,14.909
12,1036800,114750000,2133000000,76.81385803222656,16.018
12,1036800,114750000,3199000000,76.63571166992188,17.229
4,1036800,318750000,665600000,46.13492774963379,16.923
4,1036800,318750000,2133000000,29.9967041015625,19.845
4,1036800,318750000,3199000000,29.602527618408203,21.355
8,1036800,318750000,665600000,45.78313636779785,17.024
8,1036800,318750000,2133000000,29.7969913482666,19.946
8,1036800,318750000,3199000000,29.36903953552246,21.254
12,1036800,318750000,665600000,45.480464935302734,17.024
12,1036800,318750000,2133000000,29.85372829437256,18.636
12,1036800,318750000,3199000000,29.47118377685547,21.351
4,1036800,522750000,665600000,44.33033752441406,17.426
4,1036800,522750000,2133000000,20.182527542114258,22.86
4,1036800,522750000,3199000000,19.515007972717285,24.573
8,1036800,522750000,665600000,43.64883232116699,17.53
8,1036800,522750000,2133000000,19.885807991027832,22.864
8,1036800,522750000,3199000000,19.450575828552246,24.678
12,1036800,522750000,665600000,43.607343673706055,17.527
12,1036800,522750000,2133000000,20.22339153289795,22.458
12,1036800,522750000,3199000000,19.62163257598877,24.573
4,1036800,726750000,665600000,43.60835266113281,18.331
4,1036800,726750000,2133000000,17.771408081054688,24.369
4,1036800,726750000,3199000000,15.47660779953003,27.194
8,1036800,726750000,665600000,43.04155158996582,18.331
8,1036800,726750000,2133000000,17.361727714538574,24.973
8,1036800,726750000,3199000000,15.85148811340332,27.088
12,1036800,726750000,665600000,42.58928108215332,18.432
12,1036800,726750000,2133000000,17.341744422912598,24.771
12,1036800,726750000,3199000000,15.2118558883667,27.797
4,1036800,930750000,665600000,43.05124855041504,19.236
4,1036800,930750000,2133000000,17.161791801452637,26.587
4,1036800,930750000,3199000000,16.595983505249023,28.595
8,1036800,930750000,665600000,42.19833564758301,19.638
8,1036800,930750000,2133000000,16.84281635284424,26.682
8,1036800,930750000,3199000000,14.132896423339844,29.401
12,1036800,930750000,665600000,42.1545295715332,19.642
12,1036800,930750000,2133000000,16.453535079956055,27.084
12,1036800,930750000,3199000000,13.585344314575195,30.407
4,1036800,1134750000,665600000,42.787919998168945,20.447
4,1036800,1134750000,2133000000,16.557231903076172,28.197
4,1036800,1134750000,3199000000,15.505456447601318,29.404
8,1036800,1134750000,665600000,42.56264114379883,20.845
8,1036800,1134750000,2133000000,16.031007766723633,28.699
8,1036800,1134750000,3199000000,15.96950387954712,31.418
12,1036800,1134750000,665600000,41.92756652832031,20.849
12,1036800,1134750000,2133000000,15.97913646697998,28.8
12,1036800,1134750000,3199000000,13.758351802825928,32.222
4,1036800,1300500000,665600000,42.69161605834961,22.458
4,1036800,1300500000,2133000000,16.279568672180176,30.812
4,1036800,1300500000,3199000000,16.037232398986816,32.43
8,1036800,1300500000,665600000,42.065359115600586,22.458
8,1036800,1300500000,2133000000,15.8373122215271,30.711
8,1036800,1300500000,3199000000,13.857872009277344,33.832
12,1036800,1300500000,665600000,41.68971252441406,22.458
12,1036800,1300500000,2133000000,15.887680053710938,31.716
12,1036800,1300500000,3199000000,15.002975940704346,31.919
4,1344000,114750000,665600000,78.00444793701172,14.613
4,1344000,114750000,2133000000,76.94836807250977,15.618
4,1344000,114750000,3199000000,76.35347366333008,16.827
8,1344000,114750000,665600000,77.41608047485352,15.016
8,1344000,114750000,2133000000,76.69898986816406,16.02
8,1344000,114750000,3199000000,76.21476745605469,17.229
12,1344000,114750000,665600000,77.52953720092773,15.013
12,1344000,114750000,2133000000,76.73336029052734,16.02
12,1344000,114750000,3199000000,76.1651382446289,17.128
4,1344000,318750000,665600000,45.3212947845459,17.024
4,1344000,318750000,2133000000,29.62947177886963,20.353
4,1344000,318750000,3199000000,28.94484806060791,21.858
8,1344000,318750000,665600000,45.46091270446777,17.027
8,1344000,318750000,2133000000,29.452479362487793,20.352
8,1344000,318750000,3199000000,28.698320388793945,21.456
12,1344000,318750000,665600000,45.26123237609863,17.027
12,1344000,318750000,2133000000,29.245471954345703,20.352
12,1344000,318750000,3199000000,28.81991958618164,21.862
4,1344000,522750000,665600000,43.74604797363281,17.128
4,1344000,522750000,2133000000,19.918831825256348,22.97
4,1344000,522750000,3199000000,19.339200019836426,24.678
8,1344000,522750000,665600000,43.280447006225586,17.53
8,1344000,522750000,2133000000,20.023759841918945,23.066
8,1344000,522750000,3199000000,19.1812162399292,24.678
12,1344000,522750000,665600000,43.06136131286621,17.53
12,1344000,522750000,2133000000,19.661888122558594,23.071
12,1344000,522750000,3199000000,18.99392032623291,24.878
4,1344000,726750000,665600000,42.44049644470215,18.331
4,1344000,726750000,2133000000,17.222384452819824,25.079
4,1344000,726750000,3199000000,15.02339220046997,27.9
8,1344000,726750000,665600000,42.41324806213379,18.432
8,1344000,726750000,2133000000,17.03391933441162,24.978
8,1344000,726750000,3199000000,14.564064025878906,28.095
12,1344000,726750000,665600000,42.16864013671875,18.331
12,1344000,726750000,2133000000,16.880239486694336,25.38
