cores,cpu,gpu,mem,observed_time,observed_power
2,268800,1300500000,204000000,624.5621643066406,19.959
2,268800,1300500000,2133000000,418.609375,19.756
2,268800,1300500000,3199000000,364.1476135253906,20.762
2,268800,1300500000,665600000,204.2608642578125,26.894
2,268800,1236750000,204000000,2166.09033203125,14.394
2,268800,1236750000,2133000000,1538.2477416992188,15.45
2,268800,1236750000,3199000000,1671.6675415039062,16.051
2,268800,1236750000,665600000,1793.0419921875,14.547
2,268800,1134750000,204000000,2173.8465576171875,14.0935
2,268800,1134750000,2133000000,1608.9729614257812,15.0975
2,268800,1134750000,3199000000,1529.1964721679688,15.75
2,268800,1134750000,665600000,1679.2149658203125,14.146
2,268800,1032750000,204000000,2152.9033203125,13.2435
2,268800,1032750000,2133000000,1394.010009765625,14.497
2,268800,1032750000,3199000000,1460.8302612304688,15.2995
2,268800,1032750000,665600000,1682.9192504882812,13.745
2,268800,930750000,204000000,2167.604858398437,13.243
2,268800,930750000,2133000000,1602.5613403320312,14.2975
2,268800,930750000,3199000000,1520.0676879882812,14.947
2,268800,930750000,665600000,1747.5439453125,13.341
2,268800,828750000,204000000,2061.8992919921875,12.842
2,268800,828750000,2133000000,1607.2759399414062,13.8955
2,268800,828750000,3199000000,1445.9906616210938,14.8975
2,268800,828750000,665600000,1735.538818359375,12.943
2,268800,726750000,204000000,2180.444702148437,12.439
2,268800,726750000,2133000000,1544.8502807617188,13.544
2,268800,726750000,3199000000,1423.2014770507812,14.047
2,268800,726750000,665600000,1755.6171264648438,12.941
2,268800,624750000,204000000,2157.5869140625,12.44
2,268800,624750000,2133000000,1592.6008911132812,13.543
2,268800,624750000,3199000000,1546.7651977539062,14.146
2,268800,624750000,665600000,1690.355712890625,12.542
2,268800,522750000,204000000,2075.656982421875,11.939
2,268800,522750000,2133000000,1560.9632568359375,13.543
2,268800,522750000,3199000000,1566.1497192382812,14.147
2,268800,522750000,665600000,1648.7130126953125,12.542
2,268800,420750000,204000000,2171.3951416015625,12.041
2,268800,420750000,2133000000,1612.8599853515625,13.145
2,268800,420750000,3199000000,1576.9921264648438,13.7965
2,268800,420750000,665600000,1632.3385620117188,12.191
2,268800,318750000,204000000,2160.7061767578125,12.14
2,268800,318750000,2133000000,1560.3460083007812,13.145
2,268800,318750000,3199000000,1528.6259155273438,13.747
2,268800,318750000,665600000,1732.9591674804688,12.139
2,268800,216750000,204000000,2152.149780273437,12.089
2,268800,216750000,2133000000,1566.1487426757812,13.1955
2,268800,216750000,3199000000,1448.7338256835938,13.8955
2,268800,216750000,665600000,1749.274658203125,12.14
2,268800,114750000,204000000,2149.599609375,12.0385
2,268800,114750000,2133000000,1467.6401977539062,13.346
2,268800,114750000,3199000000,1596.353271484375,13.9985
2,268800,114750000,665600000,1694.9805908203125,12.342
2,422400,1300500000,204000000,733.9779968261719,18.157
2,422400,1300500000,2133000000,431.9655303955078,19.66
2,422400,1300500000,3199000000,398.9291534423828,20.262
2,422400,1300500000,665600000,502.38134765625,19.358
2,422400,1236750000,204000000,1197.5418090820312,15.595
2,422400,1236750000,2133000000,829.5673522949219,16.147
2,422400,1236750000,3199000000,743.4131164550781,17.15
2,422400,1236750000,665600000,921.4332580566406,15.797
2,422400,1134750000,204000000,1241.67578125,14.843
2,422400,1134750000,2133000000,845.9898071289062,15.747
2,422400,1134750000,3199000000,736.7339477539062,16.95
2,422400,1134750000,665600000,919.03076171875,15.447
2,422400,1032750000,204000000,1172.09912109375,14.442
2,422400,1032750000,2133000000,856.64990234375,15.547
2,422400,1032750000,3199000000,769.5757751464844,16.549
2,422400,1032750000,665600000,939.2412719726562,14.4465
2,422400,930750000,204000000,1209.3159790039062,14.043
2,422400,930750000,2133000000,799.8345642089844,15.246
2,422400,930750000,3199000000,755.06689453125,15.9985
2,422400,930750000,665600000,976.9729309082032,14.545
2,422400,828750000,204000000,1206.7947387695312,13.6435
2,422400,828750000,2133000000,688.1125183105469,15.149
2,422400,828750000,3199000000,818.8789672851562,15.599
2,422400,828750000,665600000,977.9544982910156,14.147
2,422400,726750000,204000000,1217.8681640625,13.191
2,422400,726750000,2133000000,770.5184631347656,14.647
2,422400,726750000,3199000000,772.6149597167969,15.3485
2,422400,726750000,665600000,951.005401611328,13.243
2,422400,624750000,204000000,1200.398681640625,13.244
2,422400,624750000,2133000000,838.1706848144531,14.2485
2,422400,624750000,3199000000,757.9486694335938,15.1505
2,422400,624750000,665600000,963.17431640625,13.746
2,422400,522750000,204000000,1233.043701171875,13.1435
2,422400,522750000,2133000000,838.9548950195312,14.449
2,422400,522750000,3199000000,785.0965576171875,14.949
2,422400,522750000,665600000,930.968292236328,13.4955
2,422400,420750000,204000000,1279.4619140625,12.843
2,422400,420750000,2133000000,777.4657287597656,13.948
2,422400,420750000,3199000000,751.7297058105469,15.049
2,422400,420750000,665600000,934.021240234375,12.944
2,422400,318750000,204000000,1210.8939208984375,12.843
2,422400,318750000,2133000000,769.3577880859375,13.998
2,422400,318750000,3199000000,735.3627014160156,15.1995
2,422400,318750000,665600000,905.2556762695312,13.2425
2,422400,216750000,204000000,1200.542236328125,12.842
2,422400,216750000,2133000000,842.1914672851562,14.0985
2,422400,216750000,3199000000,779.2100830078125,15.052
2,422400,216750000,665600000,915.281707763672,13.044
2,422400,114750000,204000000,1203.8486328125,12.442
2,422400,114750000,2133000000,821.1888732910156,14.25
2,422400,114750000,3199000000,777.224853515625,15.5035
2,422400,114750000,665600000,900.1472778320312,13.246
2,576000,1300500000,204000000,783.6295471191406,18.153
2,576000,1300500000,2133000000,423.7275848388672,19.66
2,576000,1300500000,3199000000,374.3162078857422,20.764
2,576000,1300500000,665600000,521.9031066894531,18.957
2,576000,1236750000,204000000,950.1351013183594,17.1005
2,576000,1236750000,2133000000,570.1534729003906,17.852
2,576000,1236750000,3199000000,537.6427307128906,18.257
2,576000,1236750000,665600000,669.5487365722656,16.347
2,576000,1134750000,204000000,961.7933654785156,15.745
2,576000,1134750000,2133000000,573.6784057617188,17.151
2,576000,1134750000,3199000000,492.9181213378906,18.153
2,576000,1134750000,665600000,686.1997985839844,16.253
2,576000,1032750000,204000000,923.6189880371094,15.2955
2,576000,1032750000,2133000000,563.8698120117188,16.649
2,576000,1032750000,3199000000,497.2318115234375,17.255
2,576000,1032750000,665600000,645.7851867675781,15.649
2,576000,930750000,204000000,895.0346984863281,14.747
2,576000,930750000,2133000000,521.2719116210938,16.151
2,576000,930750000,3199000000,528.5016784667969,17.251
2,576000,930750000,665600000,649.7601623535156,14.748
2,576000,828750000,204000000,949.5316467285156,14.343
2,576000,828750000,2133000000,561.3971862792969,15.349
2,576000,828750000,3199000000,533.1790466308594,16.349
2,576000,828750000,665600000,687.9972534179688,14.847
2,576000,726750000,204000000,953.8090209960938,13.944
2,576000,726750000,2133000000,554.0234985351562,15.346
2,576000,726750000,3199000000,536.2906494140625,16.052
2,576000,726750000,665600000,677.5856628417969,14.546
2,576000,624750000,204000000,896.6543884277344,14.042
2,576000,624750000,2133000000,545.7737731933594,15.146
2,576000,624750000,3199000000,561.5045471191406,15.648
2,576000,624750000,665600000,656.7902221679688,14.045
2,576000,522750000,204000000,958.8733215332032,13.542
2,576000,522750000,2133000000,561.8953552246094,14.8455
2,576000,522750000,3199000000,514.4449462890625,15.849
2,576000,522750000,665600000,662.5035095214844,14.245
2,576000,420750000,204000000,973.6300048828124,13.193
2,576000,420750000,2133000000,556.1275939941406,14.648
2,576000,420750000,3199000000,454.49267578125006,15.851
2,576000,420750000,665600000,669.0736999511719,13.745
2,576000,318750000,204000000,952.8776245117188,13.544
2,576000,318750000,2133000000,580.29345703125,15.05
2,576000,318750000,3199000000,504.660385131836,15.852
2,576000,318750000,665600000,631.9201049804688,13.645
2,576000,216750000,204000000,945.228271484375,13.243
2,576000,216750000,2133000000,530.2452392578125,15.454
2,576000,216750000,3199000000,527.4194030761719,16.156
2,576000,216750000,665600000,630.3531494140625,13.847
2,576000,114750000,204000000,907.722686767578,13.193
2,576000,114750000,2133000000,557.1019592285156,15.053
2,576000,114750000,3199000000,579.5459899902344,15.8645
2,576000,114750000,665600000,624.537353515625,14.047
2,729600,1300500000,204000000,761.5677490234375,17.957
2,729600,1300500000,2133000000,407.0652923583984,19.665
2,729600,1300500000,3199000000,353.09454345703125,19.364
2,729600,1300500000,665600000,492.9874114990234,19.3135
2,729600,1236750000,204000000,782.7235107421875,17.354
2,729600,1236750000,2133000000,429.66937255859375,19.556
2,729600,1236750000,3199000000,357.2144012451172,20.363
2,729600,1236750000,665600000,497.9365997314453,17.857
2,729600,1134750000,204000000,816.0602722167969,16.052
2,729600,1134750000,2133000000,432.6971282958984,17.656
2,729600,1134750000,3199000000,360.5557708740234,19.161
2,729600,1134750000,665600000,492.4959564208984,17.5555
2,729600,1032750000,204000000,719.0702819824219,15.751
2,729600,1032750000,2133000000,400.2383880615234,17.757
2,729600,1032750000,3199000000,400.5396881103516,18.76
2,729600,1032750000,665600000,504.57818603515625,16.956
2,729600,930750000,204000000,789.0455017089844,15.248
2,729600,930750000,2133000000,390.9070739746094,17.3045
2,729600,930750000,3199000000,348.6840057373047,17.705
2,729600,930750000,665600000,497.1583251953125,16.552
2,729600,828750000,204000000,776.3286437988281,14.945
2,729600,828750000,2133000000,420.0157775878906,17.051
2,729600,828750000,3199000000,376.5903472900391,17.452
2,729600,828750000,665600000,506.1630401611328,15.599
2,729600,726750000,204000000,755.5695190429688,14.445
2,729600,726750000,2133000000,412.54075622558594,16.6025
2,729600,726750000,3199000000,389.23704528808594,17.858
2,729600,726750000,665600000,486.60687255859375,16.151
2,729600,624750000,204000000,744.1344299316406,14.197
2,729600,624750000,2133000000,395.68809509277344,15.7995
2,729600,624750000,3199000000,371.8695068359375,17.055
2,729600,624750000,665600000,502.75819396972656,15.553
2,729600,522750000,204000000,788.12744140625,14.094
2,729600,522750000,2133000000,406.0022888183594,15.852
2,729600,522750000,3199000000,381.3741302490234,16.955
2,729600,522750000,665600000,502.409912109375,14.951
2,729600,420750000,204000000,775.390869140625,13.646
2,729600,420750000,2133000000,387.9537811279297,16.855
2,729600,420750000,3199000000,404.5763244628906,17.255
2,729600,420750000,665600000,511.9669036865234,14.45
2,729600,318750000,204000000,691.5713500976562,13.745
2,729600,318750000,2133000000,367.9120788574219,16.153
2,729600,318750000,3199000000,362.6085357666016,17.558
2,729600,318750000,665600000,427.2135772705078,14.751
2,729600,216750000,204000000,750.0464477539062,13.747
2,729600,216750000,2133000000,409.0763854980469,16.3055
2,729600,216750000,3199000000,394.9657287597656,17.5215
2,729600,216750000,665600000,502.7292022705078,14.597
2,729600,114750000,204000000,801.3824768066406,13.345
2,729600,114750000,2133000000,500.2319641113281,15.755
2,729600,114750000,3199000000,491.0825347900391,16.468
2,729600,114750000,665600000,518.2510681152344,14.35
2,883200,1300500000,204000000,670.7752990722656,19.055
2,883200,1300500000,2133000000,342.42539978027344,20.759
2,883200,1300500000,3199000000,308.8058166503906,21.567
2,883200,1300500000,665600000,418.8849029541016,20.4095
2,883200,1236750000,204000000,687.3888244628906,17.751
2,883200,1236750000,2133000000,364.5948638916016,20.358
2,883200,1236750000,3199000000,291.5041961669922,22.0625
2,883200,1236750000,665600000,398.5252685546875,20.059
2,883200,1134750000,204000000,707.9682312011719,16.953
2,883200,1134750000,2133000000,356.4867248535156,19.3545
2,883200,1134750000,3199000000,305.4292907714844,20.26
2,883200,1134750000,665600000,414.7168426513672,18.36
2,883200,1032750000,204000000,689.2242431640625,16.548
2,883200,1032750000,2133000000,310.9262237548828,19.361
2,883200,1032750000,3199000000,316.0552062988281,20.059
2,883200,1032750000,665600000,404.7589263916016,18.556
2,883200,930750000,204000000,697.9551696777344,16.0975
2,883200,930750000,2133000000,319.4147186279297,18.55
2,883200,930750000,3199000000,300.1274108886719,19.658
2,883200,930750000,665600000,392.0811004638672,17.554
2,883200,828750000,204000000,685.8901977539062,15.648
2,883200,828750000,2133000000,337.4768981933594,18.005
2,883200,828750000,3199000000,297.8041229248047,19.256
2,883200,828750000,665600000,406.4757995605469,17.1485
2,883200,726750000,204000000,702.4432373046875,15.148
2,883200,726750000,2133000000,332.44334411621094,17.556
2,883200,726750000,3199000000,314.3438720703125,18.9065
2,883200,726750000,665600000,419.18922424316406,16.151
2,883200,624750000,204000000,727.9927062988281,14.949
2,883200,624750000,2133000000,321.1402130126953,17.553
2,883200,624750000,3199000000,305.11802673339844,17.356
2,883200,624750000,665600000,395.8983917236328,15.853
2,883200,522750000,204000000,694.7395629882812,14.549
2,883200,522750000,2133000000,276.09327697753906,17.654
2,883200,522750000,3199000000,275.9656982421875,18.26
2,883200,522750000,665600000,345.7937774658203,16.151
2,883200,420750000,204000000,687.858154296875,14.243
2,883200,420750000,2133000000,337.17236328125,16.854
2,883200,420750000,3199000000,295.3806610107422,17.8575
2,883200,420750000,665600000,401.749267578125,16.2055
2,883200,318750000,204000000,658.5759887695312,13.943
2,883200,318750000,2133000000,298.9308013916016,17.307
2,883200,318750000,3199000000,269.417724609375,18.967
2,883200,318750000,665600000,374.6041412353516,16.352
2,883200,216750000,204000000,712.9031372070312,14.148
2,883200,216750000,2133000000,329.46942138671875,17.4175
2,883200,216750000,3199000000,332.4830017089844,18.273
2,883200,216750000,665600000,388.3460998535156,15.55
2,883200,114750000,204000000,747.2045288085938,13.344
2,883200,114750000,2133000000,478.844482421875,15.9535
2,883200,114750000,3199000000,480.7742767333984,16.869
2,883200,114750000,665600000,493.3772735595703,14.751
2,1036800,1300500000,204000000,646.5147094726562,19.059
2,1036800,1300500000,2133000000,306.69288635253906,21.4135
2,1036800,1300500000,3199000000,251.16048431396484,23.475
2,1036800,1300500000,665600000,432.1508941650391,19.41
2,1036800,1236750000,204000000,657.5974731445312,18.3545
2,1036800,1236750000,2133000000,278.70289611816406,21.058
2,1036800,1236750000,3199000000,257.1746597290039,21.661
2,1036800,1236750000,665600000,348.99729919433594,20.558
2,1036800,1134750000,204000000,663.6440734863281,17.55
2,1036800,1134750000,2133000000,305.1755828857422,19.761
2,1036800,1134750000,3199000000,249.8917236328125,20.9145
2,1036800,1134750000,665600000,366.2951354980469,18.755
2,1036800,1032750000,204000000,667.2822265625,16.747
2,1036800,1032750000,2133000000,305.8939819335937,21.06
2,1036800,1032750000,3199000000,274.0172576904297,20.564
2,1036800,1032750000,665600000,384.0829925537109,18.554
2,1036800,930750000,204000000,672.0277099609375,16.248
2,1036800,930750000,2133000000,286.83555603027344,19.156
2,1036800,930750000,3199000000,272.70558166503906,20.765
2,1036800,930750000,665600000,346.50840759277344,17.656
2,1036800,828750000,204000000,659.4680786132812,15.95
2,1036800,828750000,2133000000,261.9098052978516,19.0085
2,1036800,828750000,3199000000,243.8360595703125,19.864
2,1036800,828750000,665600000,343.6351623535156,17.6075
2,1036800,726750000,204000000,660.6658325195312,15.1445
2,1036800,726750000,2133000000,284.1037902832031,17.155
2,1036800,726750000,3199000000,229.2118225097656,19.262
2,1036800,726750000,665600000,331.9013977050781,17.006
