cores,cpu,gpu,mem,observed_time,observed_power
2,268800,1300500000,204000000,1287.6136302947998,15.753
2,268800,1300500000,2133000000,626.7081499099731,16.92
2,268800,1300500000,3199000000,595.4524278640747,17.426
2,268800,1300500000,665600000,685.6907606124878,16.604
2,268800,1236750000,204000000,2747.1413612365723,13.387
2,268800,1236750000,2133000000,2034.0505838394165,14.294
2,268800,1236750000,3199000000,2009.7644329071045,15.003
2,268800,1236750000,665600000,2254.2457580566406,13.691
2,268800,1134750000,204000000,2816.060781478882,12.984
2,268800,1134750000,2133000000,2115.4017448425293,14.0435
2,268800,1134750000,3199000000,2016.9475078582764,14.605
2,268800,1134750000,665600000,2256.391286849976,13.086
2,268800,1032750000,204000000,2811.105847358704,12.582
2,268800,1032750000,2133000000,2012.44592666626,13.589
2,268800,1032750000,3199000000,2048.033356666565,14.304
2,268800,1032750000,665600000,2207.7975273132324,12.684
2,268800,930750000,204000000,2815.698027610779,12.18
2,268800,930750000,2133000000,2110.557794570923,13.289
2,268800,930750000,3199000000,2047.83833026886,14.2
2,268800,930750000,665600000,2172.474145889282,12.282
2,268800,828750000,204000000,2713.38415145874,12.181
2,268800,828750000,2133000000,2159.961462020874,13.288
2,268800,828750000,3199000000,2067.5679445266724,13.899
2,268800,828750000,665600000,2219.843029975891,12.282
2,268800,726750000,204000000,1299.904227256775,13.085
2,268800,726750000,2133000000,615.606427192688,14.1515
2,268800,726750000,3199000000,568.769097328186,15.107
2,268800,726750000,665600000,691.5463209152222,13.99
2,268800,624750000,204000000,2788.8671159744263,11.776
2,268800,624750000,2133000000,2026.7893075942989,12.786
2,268800,624750000,3199000000,2070.7902908325195,13.297
2,268800,624750000,665600000,2244.9698448181152,11.8795
2,268800,522750000,204000000,2751.585960388184,11.374
2,268800,522750000,2133000000,2055.850982666016,12.483
2,268800,522750000,3199000000,2100.97873210907,13.497
2,268800,522750000,665600000,2290.380477905273,11.878
2,268800,420750000,204000000,2690.516948699951,11.375
2,268800,420750000,2133000000,2063.00950050354,12.483
2,268800,420750000,3199000000,1987.2655868530276,13.497
2,268800,420750000,665600000,2221.2624549865723,11.476
2,268800,318750000,204000000,1069.6656703948977,14.304
2,268800,318750000,2133000000,368.1621551513672,16.5185
2,268800,318750000,3199000000,360.251784324646,17.7285
2,268800,318750000,665600000,463.06347846984863,15.511
2,268800,216750000,204000000,1345.0191020965576,12.383
2,268800,216750000,2133000000,719.7991609573364,13.8
2,268800,216750000,3199000000,705.7957649230957,14.9575
2,268800,216750000,665600000,759.0457201004028,12.983
2,268800,114750000,204000000,2784.0020656585693,11.374
2,268800,114750000,2133000000,2193.8732862472534,12.491
2,268800,114750000,3199000000,2128.78692150116,13.095
2,268800,114750000,665600000,2229.1804552078247,11.477
2,422400,1300500000,204000000,1207.5886726379397,16.103
2,422400,1300500000,2133000000,504.4389963150025,17.02
2,422400,1300500000,3199000000,479.0006875991821,18.026
2,422400,1300500000,665600000,577.3491859436035,16.0
2,422400,1236750000,204000000,1706.43413066864,14.591
