powermode,bs,predicted_time,predicted_power,observed_time,observed_power
4_422400_114750000_665600000,1,786.0588,15.944288,590.7732238769531,14.751
8_422400_114750000_665600000,1,659.0999,16.010212,565.5917358398438,14.849
4_422400_318750000_665600000,1,320.6364,19.06439,280.20025634765625,17.768
8_422400_318750000_2133000000,1,145.97658,20.0001,231.3048324584961,19.98
12_422400_318750000_2133000000,1,145.03172,20.23432,222.46195220947263,20.4835
4_422400_522750000_665600000,1,258.0436,19.41408,260.2808074951172,18.775
8_422400_522750000_2133000000,1,122.119156,25.119802,159.09817504882812,22.487
12_422400_522750000_2133000000,1,131.089,24.79955,157.3147201538086,22.688
4_729600_114750000_665600000,1,687.4195,15.972834,557.1514282226562,14.851
4_729600_522750000_665600000,1,227.67993,19.510223,246.58025360107425,19.176
8_729600_522750000_2133000000,1,117.5028,25.810154,149.07259368896484,23.7415
8_729600_726750000_2133000000,1,113.55999,27.169714,109.61191940307616,28.201
12_729600_726750000_2133000000,1,111.2902,28.344393,114.05279922485352,27.197
12_729600_930750000_2133000000,1,114.208305,30.379179,95.72024154663086,30.104
12_1036800_114750000_665600000,1,617.7786,16.111286,554.1062622070312,15.35
8_1036800_522750000_2133000000,1,115.48022,26.208944,130.67544555664062,25.197
12_1036800_522750000_2133000000,1,109.381584,24.267778,144.06761169433594,23.992
8_1036800_726750000_2133000000,1,114.24173,28.924067,103.02932739257812,29.706
12_1036800_726750000_2133000000,1,103.894745,29.27915,103.5906867980957,29.0035
4_1036800_930750000_3199000000,1,152.94627,34.44962,83.70140838623047,36.405
8_1036800_930750000_2133000000,1,119.64548,29.838041,90.93958282470705,33.52
12_1036800_930750000_2133000000,1,104.4763,31.67727,91.86831665039062,32.6165
12_1036800_930750000_3199000000,1,121.27815,30.96544,78.41203308105469,37.909
12_1036800_1134750000_3199000000,1,128.3349,37.16528,70.52689743041992,44.938
4_1344000_114750000_665600000,1,584.8548,16.025097,554.6227416992188,14.952
12_1344000_114750000_3199000000,1,685.73944,17.717684,547.8310546875,17.37
4_1344000_318750000_665600000,1,285.25644,19.238289,264.0182342529297,18.374
4_1344000_318750000_3199000000,1,173.90147,21.5668,201.84893035888672,22.389
12_1344000_318750000_2133000000,1,115.387314,22.017256,205.6275863647461,21.084
4_1344000_522750000_665600000,1,204.66353,19.743475,238.12332916259768,19.477
8_1344000_522750000_2133000000,1,114.51588,26.320911,134.05374145507812,24.944
12_1344000_522750000_665600000,1,177.45271,20.325562,239.2780532836914,19.376
4_1344000_930750000_3199000000,1,154.28548,35.05749,87.64368057250977,36.4045
12_1344000_1134750000_3199000000,1,128.2392,40.635574,70.60758209228516,44.826
4_1344000_1300500000_3199000000,1,168.35657,39.69349,65.67404556274414,52.345
8_1651200_318750000_2133000000,1,130.4796,22.174706,204.2384490966797,21.285
12_1651200_318750000_2133000000,1,122.809,22.255938,202.4569091796875,21.489
4_1651200_522750000_665600000,1,212.32301,19.941387,235.8092498779297,19.878
8_1651200_930750000_2133000000,1,121.83876,33.98684,89.00423812866211,34.4655
12_1651200_930750000_2133000000,1,105.464775,33.19847,88.40779113769531,35.33
4_1958400_114750000_2133000000,1,433.85455,17.57878,548.9737854003906,16.166
12_1958400_114750000_665600000,1,811.3897,16.241169,551.835693359375,15.954
12_1958400_318750000_2133000000,1,139.58128,22.435125,202.1840667724609,22.087
12_1958400_522750000_2133000000,1,113.21064,24.448442,127.94312286376952,25.994
4_1958400_930750000_3199000000,1,156.96385,39.106636,80.02644729614258,37.654
8_1958400_1134750000_3199000000,1,150.40483,45.42325,66.93260955810547,46.13
4_1958400_1300500000_3199000000,1,171.03493,48.020496,63.62516784667969,54.343
8_1958400_1300500000_3199000000,1,155.89702,48.75547,64.40662574768066,52.825
12_1958400_1300500000_3199000000,1,135.3698,48.66478,62.254831314086914,55.245
4_2201600_930750000_3199000000,1,158.02406,41.52926,76.92251205444336,40.3145
8_2201600_930750000_3199000000,1,144.99803,42.98465,76.03071975708008,41.016
8_2201600_1134750000_3199000000,1,151.43358,47.517952,69.61409759521484,45.828
4_2201600_1300500000_3199000000,1,172.09512,50.560047,66.8863525390625,49.623
