cores,cpu,gpu,mem,bs,predicted_power
4,422400,114750000,665600000,1,14.256627
4,422400,114750000,2133000000,1,14.963253
4,422400,114750000,3199000000,1,16.747103
8,422400,114750000,665600000,1,15.126716
8,422400,114750000,2133000000,1,15.0229435
8,422400,114750000,3199000000,1,16.924276
12,422400,114750000,665600000,1,18.530966
12,422400,114750000,2133000000,1,18.257734
12,422400,114750000,3199000000,1,20.068268
4,422400,318750000,665600000,1,14.546284
4,422400,318750000,2133000000,1,14.496889
4,422400,318750000,3199000000,1,16.935352
8,422400,318750000,665600000,1,16.086493
8,422400,318750000,2133000000,1,15.289242
8,422400,318750000,3199000000,1,18.145973
12,422400,318750000,665600000,1,20.655882
12,422400,318750000,2133000000,1,20.132547
12,422400,318750000,3199000000,1,22.483984
4,422400,522750000,665600000,1,16.762766
4,422400,522750000,2133000000,1,16.497149
4,422400,522750000,3199000000,1,19.966381
8,422400,522750000,665600000,1,19.206385
8,422400,522750000,2133000000,1,18.744085
8,422400,522750000,3199000000,1,21.7794
12,422400,522750000,665600000,1,24.554459
12,422400,522750000,2133000000,1,25.048338
12,422400,522750000,3199000000,1,27.455713
4,422400,726750000,665600000,1,21.055841
4,422400,726750000,2133000000,1,21.673208
4,422400,726750000,3199000000,1,25.49215
8,422400,726750000,665600000,1,24.02887
8,422400,726750000,2133000000,1,25.058002
8,422400,726750000,3199000000,1,28.119799
12,422400,726750000,665600000,1,29.751783
12,422400,726750000,2133000000,1,31.776342
12,422400,726750000,3199000000,1,34.129627
4,422400,930750000,665600000,1,26.940569
4,422400,930750000,2133000000,1,28.843557
4,422400,930750000,3199000000,1,32.944366
8,422400,930750000,665600000,1,30.328108
8,422400,930750000,2133000000,1,32.870506
8,422400,930750000,3199000000,1,35.986828
12,422400,930750000,665600000,1,36.562614
12,422400,930750000,2133000000,1,39.469284
12,422400,930750000,3199000000,1,41.822884
4,422400,1134750000,665600000,1,33.941605
4,422400,1134750000,2133000000,1,37.271255
4,422400,1134750000,3199000000,1,41.22725
8,422400,1134750000,665600000,1,38.003212
8,422400,1134750000,2133000000,1,41.023315
8,422400,1134750000,3199000000,1,44.167446
12,422400,1134750000,665600000,1,43.94678
12,422400,1134750000,2133000000,1,47.193058
12,422400,1134750000,3199000000,1,49.789104
4,422400,1300500000,665600000,1,40.33081
4,422400,1300500000,2133000000,1,44.183075
4,422400,1300500000,3199000000,1,48.117798
8,422400,1300500000,665600000,1,44.380127
8,422400,1300500000,2133000000,1,47.66443
8,422400,1300500000,3199000000,1,50.932594
12,422400,1300500000,665600000,1,50.09309
12,422400,1300500000,2133000000,1,53.42327
12,422400,1300500000,3199000000,1,56.127125
4,729600,114750000,665600000,1,14.624031
4,729600,114750000,2133000000,1,15.796767
4,729600,114750000,3199000000,1,17.604319
8,729600,114750000,665600000,1,14.789112
8,729600,114750000,2133000000,1,15.012033
8,729600,114750000,3199000000,1,16.908136
12,729600,114750000,665600000,1,17.883238
12,729600,114750000,2133000000,1,17.370056
12,729600,114750000,3199000000,1,19.370451
4,729600,318750000,665600000,1,14.68498
4,729600,318750000,2133000000,1,14.739763
4,729600,318750000,3199000000,1,17.301718
8,729600,318750000,665600000,1,15.555002
8,729600,318750000,2133000000,1,14.517373
8,729600,318750000,3199000000,1,17.632032
12,729600,318750000,665600000,1,19.825485
12,729600,318750000,2133000000,1,19.139101
12,729600,318750000,3199000000,1,21.784336
4,729600,522750000,665600000,1,16.963293
4,729600,522750000,2133000000,1,16.752558
