cores,cpu,gpu,mem,bs,predicted_time
4,422400,114750000,665600000,1,786.0588
4,422400,114750000,2133000000,1,503.5936
4,422400,114750000,3199000000,1,539.8651
8,422400,114750000,665600000,1,659.0999
8,422400,114750000,2133000000,1,429.44324
8,422400,114750000,3199000000,1,563.31354
12,422400,114750000,665600000,1,679.28094
12,422400,114750000,2133000000,1,591.58124
12,422400,114750000,3199000000,1,744.89716
4,422400,318750000,665600000,1,320.6364
4,422400,318750000,2133000000,1,159.29448
4,422400,318750000,3199000000,1,176.91089
8,422400,318750000,665600000,1,266.03098
8,422400,318750000,2133000000,1,145.97658
8,422400,318750000,3199000000,1,164.43022
12,422400,318750000,665600000,1,252.92476
12,422400,318750000,2133000000,1,145.03172
12,422400,318750000,3199000000,1,188.15604
4,422400,522750000,665600000,1,258.0436
4,422400,522750000,2133000000,1,133.83823
4,422400,522750000,3199000000,1,149.17693
8,422400,522750000,665600000,1,222.31917
8,422400,522750000,2133000000,1,122.119156
8,422400,522750000,3199000000,1,139.11574
12,422400,522750000,665600000,1,217.81476
12,422400,522750000,2133000000,1,131.089
12,422400,522750000,3199000000,1,149.62956
4,422400,726750000,665600000,1,245.15208
4,422400,726750000,2133000000,1,132.13676
4,422400,726750000,3199000000,1,144.28865
8,422400,726750000,665600000,1,199.95747
8,422400,726750000,2133000000,1,118.05791
8,422400,726750000,3199000000,1,137.4594
12,422400,726750000,665600000,1,218.75975
12,422400,726750000,2133000000,1,124.85259
12,422400,726750000,3199000000,1,143.79948
4,422400,930750000,665600000,1,256.53226
4,422400,930750000,2133000000,1,137.11421
4,422400,930750000,3199000000,1,149.6039
8,422400,930750000,665600000,1,206.30109
8,422400,930750000,2133000000,1,126.15576
8,422400,930750000,3199000000,1,143.93816
12,422400,930750000,665600000,1,220.71574
12,422400,930750000,2133000000,1,129.78828
12,422400,930750000,3199000000,1,144.81203
4,422400,1134750000,665600000,1,286.06964
4,422400,1134750000,2133000000,1,143.02206
4,422400,1134750000,3199000000,1,158.03127
8,422400,1134750000,665600000,1,235.64621
8,422400,1134750000,2133000000,1,133.02078
8,422400,1134750000,3199000000,1,153.44821
12,422400,1134750000,665600000,1,245.28804
12,422400,1134750000,2133000000,1,134.8384
12,422400,1134750000,3199000000,1,152.52113
4,422400,1300500000,665600000,1,316.8013
4,422400,1300500000,2133000000,1,148.55296
4,422400,1300500000,3199000000,1,164.64119
8,422400,1300500000,665600000,1,271.53806
8,422400,1300500000,2133000000,1,139.09451
8,422400,1300500000,3199000000,1,161.78218
12,422400,1300500000,665600000,1,279.9977
12,422400,1300500000,2133000000,1,140.32584
12,422400,1300500000,3199000000,1,158.49559
4,729600,114750000,665600000,1,687.4195
4,729600,114750000,2133000000,1,423.07565
4,729600,114750000,3199000000,1,484.5618
