powermode,predicted_time,predicted_power,observed_time,observed_power
4_422400_114750000_665600000,7755.151,16.44548,7899.345703125,15.6125
4_422400_114750000_2133000000,7638.7354,17.498028,7876.123046875,16.565
4_422400_318750000_2133000000,3280.8477,20.209496,2908.035888671875,21.992
8_422400_318750000_665600000,4423.7695,17.624582,4148.45654296875,18.679
4_422400_522750000_665600000,4205.846,18.837044,3977.7486572265625,19.274
4_422400_522750000_2133000000,2259.0352,23.13028,1892.1984252929688,26.098
8_422400_522750000_2133000000,2209.4087,23.223566,1876.166259765625,26.8
4_422400_726750000_665600000,4104.836,20.183792,3948.333129882813,20.176
4_422400_726750000_2133000000,1868.6184,26.711035,1619.3401489257812,29.906
4_422400_726750000_3199000000,1721.3171,33.392025,1431.6017456054688,33.8
8_422400_726750000_2133000000,1881.3281,27.180033,1563.0271606445312,30.508
8_422400_726750000_3199000000,1712.5576,33.94316,1409.032470703125,34.293
12_422400_726750000_3199000000,1732.6183,34.738415,1419.546142578125,34.099
4_422400_930750000_3199000000,1498.7869,38.002384,1207.51416015625,39.214
8_422400_930750000_3199000000,1542.4462,38.606316,1179.7191772460938,40.597
12_422400_930750000_3199000000,1596.8315,39.35179,1178.0463256835938,41.008
12_729600_114750000_2133000000,7598.813,18.022486,7859.49072265625,16.969
4_729600_318750000_665600000,4428.7085,17.674303,4153.0625,18.675
4_729600_318750000_2133000000,3191.4397,20.170317,2870.779663085937,22.084
8_729600_318750000_665600000,4365.1475,17.698286,4140.625,18.776
4_729600_522750000_2133000000,2172.292,23.059587,1822.931701660156,26.906
8_729600_522750000_665600000,4189.9907,18.928823,3961.261962890625,19.569
8_729600_522750000_2133000000,2116.9177,23.187054,1810.5078125,27.301
4_729600_726750000_2133000000,1803.9614,26.607344,1520.5863647460938,30.818
4_729600_726750000_3199000000,1624.4618,33.24349,1364.1172485351562,34.794
12_729600_726750000_2133000000,1846.9971,27.93296,1509.5452880859375,31.319
12_729600_930750000_3199000000,1519.8068,39.21235,1164.102783203125,41.018
8_729600_1134750000_3199000000,1389.5204,43.01969,1037.5986328125,46.815
4_1036800_114750000_2133000000,7670.3535,17.59971,7860.81201171875,16.568
4_1036800_114750000_3199000000,7689.948,20.468943,7852.606689453125,17.472
12_1036800_114750000_665600000,7738.1265,16.995512,7884.0615234375,15.968
4_1036800_318750000_665600000,4377.1074,17.784105,4144.67041015625,18.772
4_1036800_318750000_2133000000,3109.9607,20.386688,2864.617431640625,22.088
4_1036800_318750000_3199000000,3050.1978,24.229433,2847.347900390625,23.595
8_1036800_318750000_665600000,4330.5166,17.800123,4131.017822265625,19.076
4_1036800_522750000_665600000,4160.6064,18.993969,3967.6009521484375,19.278
4_1036800_522750000_2133000000,2102.1733,23.242609,1790.2153930664062,27.307
4_1036800_522750000_3199000000,2008.0326,28.610344,1757.1600341796875,29.21
8_1036800_522750000_2133000000,2044.9976,23.263714,1790.1930541992188,27.507
12_1036800_522750000_2133000000,2039.7743,23.979961,1789.5468139648438,27.607
4_1036800_726750000_665600000,4075.8967,20.318497,3935.024169921875,20.376
4_1036800_726750000_2133000000,1758.628,26.626112,1473.2852783203125,31.406
4_1036800_726750000_3199000000,1549.7753,33.147083,1321.7158203125,35.004
8_1036800_726750000_665600000,4079.0881,20.429008,3923.438354492188,20.477
8_1036800_726750000_2133000000,1746.4647,27.173851,1470.1262817382812,31.706
8_1036800_726750000_3199000000,1527.9928,33.76776,1322.6500854492188,34.996
4_1036800_930750000_3199000000,1373.8619,37.704388,1082.512451171875,42.004
8_1036800_1134750000_3199000000,1327.5037,42.881912,1002.7484436035156,47.624
12_1036800_1134750000_3199000000,1369.6978,43.778847,984.783233642578,48.21
4_1344000_114750000_665600000,7782.16,16.774351,7885.25830078125,15.664
12_1344000_114750000_665600000,7758.9873,17.151348,7882.045654296875,16.065
12_1344000_318750000_2133000000,2929.7627,21.011301,2862.606201171875,22.388
12_1344000_318750000_3199000000,2928.5999,25.620745,2845.3087158203125,23.996
4_1344000_522750000_2133000000,2049.8462,23.577253,1792.4378051757812,27.302
8_1344000_522750000_2133000000,1986.4865,23.377169,1819.9705200195312,27.206
4_1344000_726750000_3199000000,1498.4263,33.151413,1304.5758056640625,35.204
8_1344000_726750000_3199000000,1466.1453,33.837933,1304.3876953125,35.405
12_1344000_726750000_3199000000,1499.6163,34.703926,1303.1639404296875,35.605
4_1344000_930750000_3199000000,1327.2063,37.653427,1084.5501098632812,41.212
8_1344000_930750000_3199000000,1338.0225,38.39218,1077.808349609375,42.014
4_1344000_1134750000_3199000000,1274.0454,42.19615,991.7886352539062,47.91
4_1344000_1300500000_3199000000,1244.0359,45.92392,953.1663818359376,54.541
8_1344000_1300500000_3199000000,1258.7303,46.73244,942.871124267578,55.336
4_1651200_114750000_3199000000,7674.8447,21.148005,7850.118408203125,17.873
12_1651200_318750000_2133000000,2896.536,21.293625,2862.35205078125,22.89
12_1651200_318750000_3199000000,2883.8105,25.704481,2844.6593017578125,24.397
8_1651200_522750000_665600000,4146.632,19.592302,3956.7408447265625,19.682
8_1651200_522750000_2133000000,1942.4143,23.56201,1785.8363647460938,27.708
12_1651200_522750000_2133000000,1932.8135,24.065231,1783.9667358398438,28.109
8_1651200_726750000_2133000000,1682.3306,27.268385,1466.020751953125,31.821
8_1651200_726750000_3199000000,1432.0675,33.93359,1298.9701538085938,35.8595
12_1651200_726750000_2133000000,1698.2894,27.980255,1465.2824096679688,32.222
4_1651200_930750000_3199000000,1305.257,37.801727,1055.4449462890625,43.215
4_1651200_1134750000_3199000000,1249.8173,42.384693,975.7864074707032,48.9
8_1651200_1134750000_3199000000,1264.2739,43.236115,967.0049743652344,49.702
12_1651200_1134750000_3199000000,1281.0923,44.20264,962.9271850585938,49.902
8_1651200_1300500000_3199000000,1234.6454,47.06059,922.5975646972656,55.9295
4_1958400_114750000_2133000000,7715.1113,18.704203,7858.869873046875,17.07
12_1958400_318750000_2133000000,2901.933,21.680744,2860.47998046875,23.296
12_1958400_318750000_3199000000,2875.5427,25.889448,2843.552978515625,24.899
12_1958400_522750000_2133000000,1902.8588,24.20327,1783.6943359375,28.5065
12_1958400_726750000_3199000000,1411.9061,35.178505,1297.4757080078125,36.8
4_1958400_930750000_3199000000,1293.4589,38.126183,1069.2943725585938,42.221
8_1958400_930750000_3199000000,1284.6398,38.89088,1059.2462768554688,42.716
12_1958400_930750000_3199000000,1303.6183,39.871433,1061.8881225585938,42.622
4_1958400_1134750000_3199000000,1226.2709,42.761204,973.1531982421876,48.951
8_1958400_1134750000_3199000000,1240.5219,43.598217,969.5255126953124,49.12
4_1958400_1300500000_3199000000,1193.6427,46.534065,940.1156311035156,55.559
4_2201600_114750000_665600000,7916.6855,17.827143,7881.034912109375,16.469
4_2201600_114750000_2133000000,7735.585,19.177643,7854.7265625,17.471
