cores,cpu,gpu,mem,predicted_power
4.0,422400.0,114750000.0,665600000.0,18.038477
4.0,422400.0,114750000.0,2133000000.0,18.257969
4.0,422400.0,114750000.0,3199000000.0,21.784117
4.0,422400.0,318750000.0,665600000.0,18.82109
4.0,422400.0,318750000.0,2133000000.0,20.793625
4.0,422400.0,318750000.0,3199000000.0,25.781925
4.0,422400.0,522750000.0,665600000.0,19.9609
4.0,422400.0,522750000.0,2133000000.0,23.850576
4.0,422400.0,522750000.0,3199000000.0,29.806917
4.0,422400.0,726750000.0,665600000.0,21.873793
4.0,422400.0,726750000.0,2133000000.0,27.499468
4.0,422400.0,726750000.0,3199000000.0,33.836143
4.0,422400.0,930750000.0,665600000.0,24.491005
4.0,422400.0,930750000.0,2133000000.0,31.375212
4.0,422400.0,930750000.0,3199000000.0,37.86537
4.0,422400.0,1134750000.0,665600000.0,27.688055
4.0,422400.0,1134750000.0,2133000000.0,35.354385
4.0,422400.0,1134750000.0,3199000000.0,41.897152
4.0,422400.0,1300500000.0,665600000.0,30.563202
4.0,422400.0,1300500000.0,2133000000.0,38.60128
4.0,422400.0,1300500000.0,3199000000.0,45.189713
4.0,729600.0,114750000.0,665600000.0,16.997696
4.0,729600.0,114750000.0,2133000000.0,16.762121
4.0,729600.0,114750000.0,3199000000.0,20.912292
4.0,729600.0,318750000.0,665600000.0,17.779848
4.0,729600.0,318750000.0,2133000000.0,19.339628
4.0,729600.0,318750000.0,3199000000.0,24.773829
4.0,729600.0,522750000.0,665600000.0,18.916918
4.0,729600.0,522750000.0,2133000000.0,22.512743
4.0,729600.0,522750000.0,3199000000.0,28.746561
4.0,729600.0,726750000.0,665600000.0,20.501738
4.0,729600.0,726750000.0,2133000000.0,26.28923
4.0,729600.0,726750000.0,3199000000.0,32.765453
4.0,729600.0,930750000.0,665600000.0,23.013823
4.0,729600.0,930750000.0,2133000000.0,30.268742
4.0,729600.0,930750000.0,3199000000.0,36.799587
4.0,729600.0,1134750000.0,665600000.0,26.209465
4.0,729600.0,1134750000.0,2133000000.0,34.25249
4.0,729600.0,1134750000.0,3199000000.0,40.8661
4.0,729600.0,1300500000.0,665600000.0,29.096416
4.0,729600.0,1300500000.0,2133000000.0,37.497765
4.0,729600.0,1300500000.0,3199000000.0,44.312943
4.0,1036800.0,114750000.0,665600000.0,16.420965
4.0,1036800.0,114750000.0,2133000000.0,15.973658
4.0,1036800.0,114750000.0,3199000000.0,20.060755
4.0,1036800.0,318750000.0,665600000.0,17.281967
4.0,1036800.0,318750000.0,2133000000.0,18.233181
4.0,1036800.0,318750000.0,3199000000.0,23.849113
4.0,1036800.0,522750000.0,665600000.0,18.417986
4.0,1036800.0,522750000.0,2133000000.0,21.56225
4.0,1036800.0,522750000.0,3199000000.0,27.786283
4.0,1036800.0,726750000.0,665600000.0,19.837662
4.0,1036800.0,726750000.0,2133000000.0,25.31123
4.0,1036800.0,726750000.0,3199000000.0,31.780207
4.0,1036800.0,930750000.0,665600000.0,21.958622
4.0,1036800.0,930750000.0,2133000000.0,29.267302
4.0,1036800.0,930750000.0,3199000000.0,35.94262
4.0,1036800.0,1134750000.0,665600000.0,24.930613
4.0,1036800.0,1134750000.0,2133000000.0,33.275143
4.0,1036800.0,1134750000.0,3199000000.0,40.37486
4.0,1036800.0,1300500000.0,665600000.0,27.7902
4.0,1036800.0,1300500000.0,2133000000.0,36.7141
4.0,1036800.0,1300500000.0,3199000000.0,44.0515
