cores,cpu,gpu,mem,predicted_time
4.0,422400.0,114750000.0,665600000.0,7961.784
4.0,422400.0,114750000.0,2133000000.0,7396.683
4.0,422400.0,114750000.0,3199000000.0,7951.8076
4.0,422400.0,318750000.0,665600000.0,4838.694
4.0,422400.0,318750000.0,2133000000.0,3396.4734
4.0,422400.0,318750000.0,3199000000.0,3506.6765
4.0,422400.0,522750000.0,665600000.0,4288.2793
4.0,422400.0,522750000.0,2133000000.0,2400.3752
4.0,422400.0,522750000.0,3199000000.0,2264.2788
4.0,422400.0,726750000.0,665600000.0,4085.77
4.0,422400.0,726750000.0,2133000000.0,2014.7078
4.0,422400.0,726750000.0,3199000000.0,1797.4819
4.0,422400.0,930750000.0,665600000.0,3997.826
4.0,422400.0,930750000.0,2133000000.0,1874.4507
4.0,422400.0,930750000.0,3199000000.0,1628.2582
4.0,422400.0,1134750000.0,665600000.0,3997.532
4.0,422400.0,1134750000.0,2133000000.0,1850.5576
4.0,422400.0,1134750000.0,3199000000.0,1572.065
4.0,422400.0,1300500000.0,665600000.0,4040.323
4.0,422400.0,1300500000.0,2133000000.0,1893.9183
4.0,422400.0,1300500000.0,3199000000.0,1552.8204
4.0,729600.0,114750000.0,665600000.0,7934.019
4.0,729600.0,114750000.0,2133000000.0,7364.9434
4.0,729600.0,114750000.0,3199000000.0,7944.3726
4.0,729600.0,318750000.0,665600000.0,4745.3716
4.0,729600.0,318750000.0,2133000000.0,3291.8127
4.0,729600.0,318750000.0,3199000000.0,3422.8127
4.0,729600.0,522750000.0,665600000.0,4239.5396
4.0,729600.0,522750000.0,2133000000.0,2275.2805
4.0,729600.0,522750000.0,3199000000.0,2133.094
4.0,729600.0,726750000.0,665600000.0,4076.5208
4.0,729600.0,726750000.0,2133000000.0,1871.0487
4.0,729600.0,726750000.0,3199000000.0,1634.8536
4.0,729600.0,930750000.0,665600000.0,3997.6594
4.0,729600.0,930750000.0,2133000000.0,1727.6387
4.0,729600.0,930750000.0,3199000000.0,1482.2454
4.0,729600.0,1134750000.0,665600000.0,3991.997
4.0,729600.0,1134750000.0,2133000000.0,1713.2672
4.0,729600.0,1134750000.0,3199000000.0,1432.5369
4.0,729600.0,1300500000.0,665600000.0,4034.1514
4.0,729600.0,1300500000.0,2133000000.0,1787.9282
4.0,729600.0,1300500000.0,3199000000.0,1425.624
4.0,1036800.0,114750000.0,665600000.0,7914.6772
