powermode,bs,predicted_time,predicted_power,observed_time,observed_power
4_422400_318750000_665600000,1,8.207973,13.552849,8.70795202255249,13.592
12_422400_522750000_665600000,1,6.964215,17.281527,8.15771198272705,13.994
8_729600_318750000_665600000,1,7.429651,14.000434,6.139024019241333,14.103
12_1036800_114750000_665600000,1,10.032104,14.753191,9.070816040039062,13.499
12_2201600_930750000_3199000000,1,2.960665,25.38696,2.085503935813904,26.38
4_2201600_1134750000_3199000000,1,3.8475142,27.31333,1.95687997341156,27.689
4_422400_522750000_665600000,4,7.25102,14.461046,8.23967981338501,13.6
4_729600_522750000_665600000,4,6.603842,14.979662,5.90067195892334,14.808
4_1344000_318750000_665600000,4,6.4084606,15.651762,4.611199855804443,15.618
4_1651200_318750000_665600000,4,6.0219374,16.812828,4.645807981491089,15.615
12_1651200_522750000_665600000,4,5.179227,17.753752,4.109647989273071,15.815
8_1651200_726750000_2133000000,4,3.5983639,18.794582,2.727999925613404,18.027
4_1958400_726750000_665600000,4,4.4169664,20.790522,3.754448056221008,16.116
4_1958400_726750000_2133000000,4,4.006835,20.32175,2.462239980697632,21.15
8_1958400_1134750000_3199000000,4,3.405971,26.525892,2.085487961769104,26.686
8_729600_930750000_665600000,16,5.07494,19.613586,5.794272184371948,15.105
4_1344000_522750000_2133000000,16,5.202139,15.493219,3.3899519443511963,17.425
8_1958400_318750000_665600000,16,5.7580833,16.383444,4.1960320472717285,15.712
12_2201600_930750000_3199000000,16,2.8981676,25.179298,2.0692800283432007,26.884
8_2201600_1134750000_2133000000,16,3.2148528,27.034836,2.105136036872864,23.555
12_2201600_1134750000_3199000000,16,2.92279,28.289536,1.9464159607887268,28.989
12_2201600_1300500000_3199000000,16,3.008842,30.927277,1.8838880062103271,29.488
4_422400_114750000_665600000,32,10.321289,13.502535,12.084176063537598,13.089
12_422400_114750000_665600000,32,11.086416,14.898234,11.509247779846191,13.489
12_729600_522750000_665600000,32,6.0839624,16.798244,5.983407974243164,14.503
8_1344000_522750000_665600000,32,4.768751,15.85708,4.836431980133057,15.413
12_1958400_1134750000_2133000000,32,2.8956318,26.999315,2.289135932922364,21.442
4_2201600_522750000_2133000000,32,4.098131,20.054905,2.643872022628784,20.445
4_2201600_1134750000_3199000000,32,4.0285015,27.00961,1.9539360404014587,27.79
4_422400_114750000_665600000,64,10.457052,13.612982,11.919472217559814,13.2
12_1036800_726750000_2133000000,64,3.5298097,17.979221,3.587727904319763,17.222
4_2201600_522750000_2133000000,64,4.5258408,20.095848,2.6412479877471924,20.746
8_2201600_522750000_3199000000,64,3.1965299,20.855373,2.6365439891815186,20.747
4_2201600_930750000_2133000000,64,4.30459,23.642338,2.178976058959961,22.561
12_2201600_930750000_3199000000,64,2.8745024,24.84341,2.0564000606536865,26.98
12_2201600_1134750000_3199000000,64,2.9806454,27.861141,1.957744002342224,27.185
