cores,cpu,gpu,mem,bs,predicted_power
4,422400,114750000,665600000,1,14.277422
4,422400,114750000,2133000000,1,14.646561
4,422400,114750000,3199000000,1,14.811188
8,422400,114750000,665600000,1,14.225914
8,422400,114750000,2133000000,1,14.62751
8,422400,114750000,3199000000,1,14.860094
12,422400,114750000,665600000,1,14.18964
12,422400,114750000,2133000000,1,14.606548
12,422400,114750000,3199000000,1,15.080805
4,422400,318750000,665600000,1,14.417585
4,422400,318750000,2133000000,1,14.77545
4,422400,318750000,3199000000,1,14.889334
8,422400,318750000,665600000,1,14.3983345
8,422400,318750000,2133000000,1,14.808619
8,422400,318750000,3199000000,1,15.098234
12,422400,318750000,665600000,1,14.424078
12,422400,318750000,2133000000,1,14.906147
12,422400,318750000,3199000000,1,15.752708
4,422400,522750000,665600000,1,14.808077
4,422400,522750000,2133000000,1,15.3499565
4,422400,522750000,3199000000,1,15.628675
8,422400,522750000,665600000,1,14.748926
8,422400,522750000,2133000000,1,15.864136
8,422400,522750000,3199000000,1,16.757338
12,422400,522750000,665600000,1,15.024172
12,422400,522750000,2133000000,1,16.585232
12,422400,522750000,3199000000,1,16.901852
4,422400,726750000,665600000,1,15.562006
4,422400,726750000,2133000000,1,17.780043
4,422400,726750000,3199000000,1,17.511267
8,422400,726750000,665600000,1,15.800898
8,422400,726750000,2133000000,1,17.397955
8,422400,726750000,3199000000,1,17.306164
12,422400,726750000,665600000,1,16.034594
12,422400,726750000,2133000000,1,17.316599
12,422400,726750000,3199000000,1,17.051308
4,422400,930750000,665600000,1,16.23847
4,422400,930750000,2133000000,1,18.69332
4,422400,930750000,3199000000,1,17.920347
8,422400,930750000,665600000,1,16.262146
8,422400,930750000,2133000000,1,17.937119
8,422400,930750000,3199000000,1,17.466572
12,422400,930750000,665600000,1,16.388752
12,422400,930750000,2133000000,1,17.28123
12,422400,930750000,3199000000,1,17.14273
4,422400,1134750000,665600000,1,16.660444
4,422400,1134750000,2133000000,1,18.520414
4,422400,1134750000,3199000000,1,18.280062
8,422400,1134750000,665600000,1,16.679916
8,422400,1134750000,2133000000,1,17.784113
8,422400,1134750000,3199000000,1,17.783247
12,422400,1134750000,665600000,1,16.80361
12,422400,1134750000,2133000000,1,17.436842
12,422400,1134750000,3199000000,1,17.749294
4,422400,1300500000,665600000,1,17.636444
4,422400,1300500000,2133000000,1,18.67374
4,422400,1300500000,3199000000,1,18.881124
8,422400,1300500000,665600000,1,17.61443
8,422400,1300500000,2133000000,1,18.240637
8,422400,1300500000,3199000000,1,18.838945
12,422400,1300500000,665600000,1,17.623026
12,422400,1300500000,2133000000,1,18.261292
12,422400,1300500000,3199000000,1,18.824114
4,729600,114750000,665600000,1,14.3410015
4,729600,114750000,2133000000,1,14.724541
4,729600,114750000,3199000000,1,14.870451
8,729600,114750000,665600000,1,14.296038
8,729600,114750000,2133000000,1,14.723034
8,729600,114750000,3199000000,1,15.08156
12,729600,114750000,665600000,1,14.27692
12,729600,114750000,2133000000,1,14.775484
12,729600,114750000,3199000000,1,15.529215
4,729600,318750000,665600000,1,14.552681
4,729600,318750000,2133000000,1,15.030554
4,729600,318750000,3199000000,1,15.055664
8,729600,318750000,665600000,1,14.56719
8,729600,318750000,2133000000,1,15.308289
8,729600,318750000,3199000000,1,15.7875595
12,729600,318750000,665600000,1,14.604841
12,729600,318750000,2133000000,1,15.934519
12,729600,318750000,3199000000,1,16.639349
4,729600,522750000,665600000,1,15.194382
4,729600,522750000,2133000000,1,16.559402
4,729600,522750000,3199000000,1,17.09072
8,729600,522750000,665600000,1,15.258123
8,729600,522750000,2133000000,1,17.00825
8,729600,522750000,3199000000,1,17.590538
12,729600,522750000,665600000,1,15.742125
12,729600,522750000,2133000000,1,17.50638
12,729600,522750000,3199000000,1,17.589415
4,729600,726750000,665600000,1,15.956696
4,729600,726750000,2133000000,1,19.448776
4,729600,726750000,3199000000,1,18.2884
8,729600,726750000,665600000,1,16.085325
8,729600,726750000,2133000000,1,18.522165
8,729600,726750000,3199000000,1,18.173475
12,729600,726750000,665600000,1,16.229439
12,729600,726750000,2133000000,1,18.36672
12,729600,726750000,3199000000,1,17.752527
4,729600,930750000,665600000,1,16.441004
4,729600,930750000,2133000000,1,19.954863
4,729600,930750000,3199000000,1,18.896772
8,729600,930750000,665600000,1,16.477386
8,729600,930750000,2133000000,1,18.872343
8,729600,930750000,3199000000,1,18.447943
12,729600,930750000,665600000,1,16.543945
12,729600,930750000,2133000000,1,18.141994
12,729600,930750000,3199000000,1,18.05831
4,729600,1134750000,665600000,1,17.022224
4,729600,1134750000,2133000000,1,19.253181
4,729600,1134750000,3199000000,1,19.563366
8,729600,1134750000,665600000,1,17.210058
8,729600,1134750000,2133000000,1,18.763077
8,729600,1134750000,3199000000,1,19.339792
12,729600,1134750000,665600000,1,17.562336
12,729600,1134750000,2133000000,1,18.786005
12,729600,1134750000,3199000000,1,19.440409
4,729600,1300500000,665600000,1,18.26919
4,729600,1300500000,2133000000,1,19.953526
4,729600,1300500000,3199000000,1,20.669138
8,729600,1300500000,665600000,1,18.49967
8,729600,1300500000,2133000000,1,19.879326
8,729600,1300500000,3199000000,1,20.705322
12,729600,1300500000,665600000,1,18.816015
12,729600,1300500000,2133000000,1,19.904957
12,729600,1300500000,3199000000,1,20.582945
4,1036800,114750000,665600000,1,14.400572
4,1036800,114750000,2133000000,1,14.794964
4,1036800,114750000,3199000000,1,15.02043
8,1036800,114750000,665600000,1,14.367723
8,1036800,114750000,2133000000,1,14.886013
8,1036800,114750000,3199000000,1,15.549576
12,1036800,114750000,665600000,1,14.360838
12,1036800,114750000,2133000000,1,15.349422
12,1036800,114750000,3199000000,1,16.028158
4,1036800,318750000,665600000,1,14.808996
4,1036800,318750000,2133000000,1,15.733309
4,1036800,318750000,3199000000,1,15.611498
8,1036800,318750000,665600000,1,14.884188
8,1036800,318750000,2133000000,1,16.236435
8,1036800,318750000,3199000000,1,16.66926
12,1036800,318750000,665600000,1,15.057426
12,1036800,318750000,2133000000,1,16.902836
12,1036800,318750000,3199000000,1,17.620432
4,1036800,522750000,665600000,1,15.701437
4,1036800,522750000,2133000000,1,18.69317
4,1036800,522750000,3199000000,1,18.095015
8,1036800,522750000,665600000,1,15.825163
8,1036800,522750000,2133000000,1,18.887781
8,1036800,522750000,3199000000,1,18.464087
12,1036800,522750000,665600000,1,16.059004
12,1036800,522750000,2133000000,1,19.25569
12,1036800,522750000,3199000000,1,18.59194
4,1036800,726750000,665600000,1,16.27955
4,1036800,726750000,2133000000,1,20.953619
4,1036800,726750000,3199000000,1,19.12146
8,1036800,726750000,665600000,1,16.344471
8,1036800,726750000,2133000000,1,20.171188
8,1036800,726750000,3199000000,1,19.195877
12,1036800,726750000,665600000,1,16.484951
12,1036800,726750000,2133000000,1,19.911644
12,1036800,726750000,3199000000,1,18.98217
4,1036800,930750000,665600000,1,16.61636
4,1036800,930750000,2133000000,1,21.51286
4,1036800,930750000,3199000000,1,19.942678
8,1036800,930750000,665600000,1,16.90993
8,1036800,930750000,2133000000,1,19.81008
8,1036800,930750000,3199000000,1,19.878023
12,1036800,930750000,665600000,1,17.043585
12,1036800,930750000,2133000000,1,19.521862
12,1036800,930750000,3199000000,1,19.644026
4,1036800,1134750000,665600000,1,17.75516
4,1036800,1134750000,2133000000,1,20.5055
4,1036800,1134750000,3199000000,1,21.258057
8,1036800,1134750000,665600000,1,18.14799
8,1036800,1134750000,2133000000,1,20.353933
8,1036800,1134750000,3199000000,1,21.230524
12,1036800,1134750000,665600000,1,18.624468
12,1036800,1134750000,2133000000,1,20.496426
12,1036800,1134750000,3199000000,1,21.060837
4,1036800,1300500000,665600000,1,19.088324
4,1036800,1300500000,2133000000,1,21.320995
4,1036800,1300500000,3199000000,1,22.470781
8,1036800,1300500000,665600000,1,19.615782
8,1036800,1300500000,2133000000,1,21.56999
8,1036800,1300500000,3199000000,1,22.38568
12,1036800,1300500000,665600000,1,20.23231
12,1036800,1300500000,2133000000,1,21.52785
12,1036800,1300500000,3199000000,1,22.233917
4,1344000,114750000,665600000,1,14.508461
4,1344000,114750000,2133000000,1,14.9888115
4,1344000,114750000,3199000000,1,15.464294
8,1344000,114750000,665600000,1,14.471416
8,1344000,114750000,2133000000,1,15.650654
8,1344000,114750000,3199000000,1,16.005297
12,1344000,114750000,665600000,1,14.498693
12,1344000,114750000,2133000000,1,15.930201
12,1344000,114750000,3199000000,1,16.218922
4,1344000,318750000,665600000,1,15.309153
4,1344000,318750000,2133000000,1,16.466835
4,1344000,318750000,3199000000,1,16.22335
8,1344000,318750000,665600000,1,15.460798
8,1344000,318750000,2133000000,1,17.685377
8,1344000,318750000,3199000000,1,18.08819
12,1344000,318750000,665600000,1,15.748009
12,1344000,318750000,2133000000,1,19.110807
12,1344000,318750000,3199000000,1,18.750135
4,1344000,522750000,665600000,1,16.005777
4,1344000,522750000,2133000000,1,21.078466
4,1344000,522750000,3199000000,1,18.855005
8,1344000,522750000,665600000,1,16.18088
8,1344000,522750000,2133000000,1,21.456463
8,1344000,522750000,3199000000,1,19.425398
12,1344000,522750000,665600000,1,16.425884
12,1344000,522750000,2133000000,1,21.564653
12,1344000,522750000,3199000000,1,19.658777
4,1344000,726750000,665600000,1,16.565628
4,1344000,726750000,2133000000,1,22.685425
4,1344000,726750000,3199000000,1,20.020632
8,1344000,726750000,665600000,1,16.877575
8,1344000,726750000,2133000000,1,22.538279
8,1344000,726750000,3199000000,1,20.317835
12,1344000,726750000,665600000,1,17.020317
12,1344000,726750000,2133000000,1,21.565798
12,1344000,726750000,3199000000,1,20.442192
4,1344000,930750000,665600000,1,17.192955
4,1344000,930750000,2133000000,1,23.288126
4,1344000,930750000,3199000000,1,21.145891
8,1344000,930750000,665600000,1,17.561308
8,1344000,930750000,2133000000,1,21.014822
8,1344000,930750000,3199000000,1,21.413027
12,1344000,930750000,665600000,1,17.883062
12,1344000,930750000,2133000000,1,20.973665
12,1344000,930750000,3199000000,1,21.364477
4,1344000,1134750000,665600000,1,18.423128
4,1344000,1134750000,2133000000,1,21.700418
4,1344000,1134750000,3199000000,1,22.595991
8,1344000,1134750000,665600000,1,18.954891
8,1344000,1134750000,2133000000,1,21.768026
8,1344000,1134750000,3199000000,1,22.930735
12,1344000,1134750000,665600000,1,19.561438
12,1344000,1134750000,2133000000,1,22.096994
12,1344000,1134750000,3199000000,1,22.73156
4,1344000,1300500000,665600000,1,19.810093
4,1344000,1300500000,2133000000,1,22.571371
4,1344000,1300500000,3199000000,1,23.931536
8,1344000,1300500000,665600000,1,20.55393
8,1344000,1300500000,2133000000,1,22.96066
8,1344000,1300500000,3199000000,1,24.044
12,1344000,1300500000,665600000,1,21.214132
12,1344000,1300500000,2133000000,1,23.14729
12,1344000,1300500000,3199000000,1,23.888021
4,1651200,114750000,665600000,1,14.650295
4,1651200,114750000,2133000000,1,15.348248
4,1651200,114750000,3199000000,1,16.01821
8,1651200,114750000,665600000,1,14.66366
8,1651200,114750000,2133000000,1,15.960424
8,1651200,114750000,3199000000,1,16.232262
12,1651200,114750000,665600000,1,14.71833
12,1651200,114750000,2133000000,1,16.19321
12,1651200,114750000,3199000000,1,16.415865
4,1651200,318750000,665600000,1,15.760792
4,1651200,318750000,2133000000,1,18.144392
4,1651200,318750000,3199000000,1,17.251696
8,1651200,318750000,665600000,1,15.844862
8,1651200,318750000,2133000000,1,20.864956
8,1651200,318750000,3199000000,1,19.377132
12,1651200,318750000,665600000,1,16.220476
12,1651200,318750000,2133000000,1,23.120295
12,1651200,318750000,3199000000,1,19.974691
4,1651200,522750000,665600000,1,16.323217
4,1651200,522750000,2133000000,1,23.656225
4,1651200,522750000,3199000000,1,19.87678
8,1651200,522750000,665600000,1,16.718575
8,1651200,522750000,2133000000,1,24.486383
8,1651200,522750000,3199000000,1,20.553926
12,1651200,522750000,665600000,1,17.017305
12,1651200,522750000,2133000000,1,24.787884
12,1651200,522750000,3199000000,1,20.648832
4,1651200,726750000,665600000,1,16.982153
4,1651200,726750000,2133000000,1,24.66729
4,1651200,726750000,3199000000,1,21.014772
8,1651200,726750000,665600000,1,17.430296
8,1651200,726750000,2133000000,1,24.90227
8,1651200,726750000,3199000000,1,21.385069
12,1651200,726750000,665600000,1,17.630596
12,1651200,726750000,2133000000,1,23.181828
12,1651200,726750000,3199000000,1,21.565817
4,1651200,930750000,665600000,1,17.717781
4,1651200,930750000,2133000000,1,24.369375
4,1651200,930750000,3199000000,1,22.334154
8,1651200,930750000,665600000,1,18.139584
8,1651200,930750000,2133000000,1,22.180662
8,1651200,930750000,3199000000,1,22.728203
12,1651200,930750000,665600000,1,18.613914
12,1651200,930750000,2133000000,1,22.225714
12,1651200,930750000,3199000000,1,23.004818
4,1651200,1134750000,665600000,1,19.156729
4,1651200,1134750000,2133000000,1,22.8495
4,1651200,1134750000,3199000000,1,23.905622
8,1651200,1134750000,665600000,1,19.823126
8,1651200,1134750000,2133000000,1,23.14483
8,1651200,1134750000,3199000000,1,24.381067
12,1651200,1134750000,665600000,1,20.46686
12,1651200,1134750000,2133000000,1,23.450712
12,1651200,1134750000,3199000000,1,24.363028
4,1651200,1300500000,665600000,1,20.621393
4,1651200,1300500000,2133000000,1,23.926786
4,1651200,1300500000,3199000000,1,25.333796
8,1651200,1300500000,665600000,1,21.373304
8,1651200,1300500000,2133000000,1,24.381578
8,1651200,1300500000,3199000000,1,25.752544
12,1651200,1300500000,665600000,1,22.020426
12,1651200,1300500000,2133000000,1,24.658169
12,1651200,1300500000,3199000000,1,25.503141
4,1958400,114750000,665600000,1,14.782562
4,1958400,114750000,2133000000,1,15.766378
4,1958400,114750000,3199000000,1,16.399565
8,1958400,114750000,665600000,1,14.907576
8,1958400,114750000,2133000000,1,16.158655
8,1958400,114750000,3199000000,1,16.490423
12,1958400,114750000,665600000,1,15.152487
12,1958400,114750000,2133000000,1,17.07938
12,1958400,114750000,3199000000,1,17.580103
4,1958400,318750000,665600000,1,16.03726
4,1958400,318750000,2133000000,1,20.335007
4,1958400,318750000,3199000000,1,18.858437
8,1958400,318750000,665600000,1,16.388147
8,1958400,318750000,2133000000,1,24.95565
8,1958400,318750000,3199000000,1,20.544373
12,1958400,318750000,665600000,1,16.883142
12,1958400,318750000,2133000000,1,27.27201
12,1958400,318750000,3199000000,1,20.961899
4,1958400,522750000,665600000,1,16.78032
4,1958400,522750000,2133000000,1,25.890013
4,1958400,522750000,3199000000,1,20.76829
8,1958400,522750000,665600000,1,17.346619
8,1958400,522750000,2133000000,1,26.591421
8,1958400,522750000,3199000000,1,21.37396
12,1958400,522750000,665600000,1,17.63166
12,1958400,522750000,2133000000,1,27.321514
12,1958400,522750000,3199000000,1,21.636852
4,1958400,726750000,665600000,1,17.422354
4,1958400,726750000,2133000000,1,26.101412
4,1958400,726750000,3199000000,1,22.072058
8,1958400,726750000,665600000,1,17.887852
8,1958400,726750000,2133000000,1,26.243078
8,1958400,726750000,3199000000,1,22.386095
12,1958400,726750000,665600000,1,18.19224
12,1958400,726750000,2133000000,1,24.554548
12,1958400,726750000,3199000000,1,22.766382
4,1958400,930750000,665600000,1,18.313215
4,1958400,930750000,2133000000,1,25.241716
4,1958400,930750000,3199000000,1,23.543112
8,1958400,930750000,665600000,1,18.811586
8,1958400,930750000,2133000000,1,23.352076
8,1958400,930750000,3199000000,1,23.956244
12,1958400,930750000,665600000,1,19.382204
12,1958400,930750000,2133000000,1,23.510103
12,1958400,930750000,3199000000,1,24.312658
4,1958400,1134750000,665600000,1,19.886484
4,1958400,1134750000,2133000000,1,24.07011
4,1958400,1134750000,3199000000,1,25.233118
8,1958400,1134750000,665600000,1,20.589582
8,1958400,1134750000,2133000000,1,24.405382
8,1958400,1134750000,3199000000,1,25.646658
12,1958400,1134750000,665600000,1,21.285131
12,1958400,1134750000,2133000000,1,24.76837
12,1958400,1134750000,3199000000,1,25.960756
4,1958400,1300500000,665600000,1,21.455221
4,1958400,1300500000,2133000000,1,25.23582
4,1958400,1300500000,3199000000,1,26.692884
8,1958400,1300500000,665600000,1,22.257484
8,1958400,1300500000,2133000000,1,25.629309
8,1958400,1300500000,3199000000,1,27.083439
12,1958400,1300500000,665600000,1,22.935804
12,1958400,1300500000,2133000000,1,25.982279
12,1958400,1300500000,3199000000,1,27.086405
4,2201600,114750000,665600000,1,15.0021515
4,2201600,114750000,2133000000,1,16.111622
4,2201600,114750000,3199000000,1,16.679277
8,2201600,114750000,665600000,1,15.1725025
8,2201600,114750000,2133000000,1,16.668385
8,2201600,114750000,3199000000,1,16.914932
12,2201600,114750000,665600000,1,15.603518
12,2201600,114750000,2133000000,1,18.54853
12,2201600,114750000,3199000000,1,18.997532
4,2201600,318750000,665600000,1,16.321459
4,2201600,318750000,2133000000,1,21.567886
4,2201600,318750000,3199000000,1,19.904728
8,2201600,318750000,665600000,1,16.924232
8,2201600,318750000,2133000000,1,26.504202
8,2201600,318750000,3199000000,1,21.109247
12,2201600,318750000,665600000,1,17.414452
12,2201600,318750000,2133000000,1,28.67859
12,2201600,318750000,3199000000,1,21.759165
4,2201600,522750000,665600000,1,17.218435
4,2201600,522750000,2133000000,1,26.936657
4,2201600,522750000,3199000000,1,21.256468
8,2201600,522750000,665600000,1,17.680632
8,2201600,522750000,2133000000,1,27.787117
8,2201600,522750000,3199000000,1,22.049887
12,2201600,522750000,665600000,1,18.044462
12,2201600,522750000,2133000000,1,28.704298
12,2201600,522750000,3199000000,1,22.548992
4,2201600,726750000,665600000,1,17.769714
4,2201600,726750000,2133000000,1,27.050772
4,2201600,726750000,3199000000,1,22.78789
8,2201600,726750000,665600000,1,18.20635
8,2201600,726750000,2133000000,1,27.17266
8,2201600,726750000,3199000000,1,23.278429
12,2201600,726750000,665600000,1,18.58847
12,2201600,726750000,2133000000,1,25.429983
12,2201600,726750000,3199000000,1,23.816107
4,2201600,930750000,665600000,1,18.787237
4,2201600,930750000,2133000000,1,25.770033
4,2201600,930750000,3199000000,1,24.45975
8,2201600,930750000,665600000,1,19.40847
8,2201600,930750000,2133000000,1,24.294683
8,2201600,930750000,3199000000,1,24.916573
12,2201600,930750000,665600000,1,20.036879
12,2201600,930750000,2133000000,1,24.562817
12,2201600,930750000,3199000000,1,25.38486
4,2201600,1134750000,665600000,1,20.467896
4,2201600,1134750000,2133000000,1,25.035238
4,2201600,1134750000,3199000000,1,26.189714
8,2201600,1134750000,665600000,1,21.273546
8,2201600,1134750000,2133000000,1,25.436085
8,2201600,1134750000,3199000000,1,26.66012
12,2201600,1134750000,665600000,1,21.97456
12,2201600,1134750000,2133000000,1,25.840204
12,2201600,1134750000,3199000000,1,27.06386
4,2201600,1300500000,665600000,1,22.160238
4,2201600,1300500000,2133000000,1,26.203081
4,2201600,1300500000,3199000000,1,27.642193
8,2201600,1300500000,665600000,1,22.963535
8,2201600,1300500000,2133000000,1,26.621286
8,2201600,1300500000,3199000000,1,28.07724
12,2201600,1300500000,665600000,1,23.657986
12,2201600,1300500000,2133000000,1,27.003057
12,2201600,1300500000,3199000000,1,28.338305
4,422400,114750000,665600000,4,14.285385
4,422400,114750000,2133000000,4,14.644348
4,422400,114750000,3199000000,4,14.773663
8,422400,114750000,665600000,4,14.195662
8,422400,114750000,2133000000,4,14.618456
8,422400,114750000,3199000000,4,14.805738
12,422400,114750000,665600000,4,14.154539
12,422400,114750000,2133000000,4,14.57373
12,422400,114750000,3199000000,4,15.006947
4,422400,318750000,665600000,4,14.485855
4,422400,318750000,2133000000,4,14.786457
4,422400,318750000,3199000000,4,14.832432
8,422400,318750000,665600000,4,14.429237
8,422400,318750000,2133000000,4,14.799032
8,422400,318750000,3199000000,4,15.01807
12,422400,318750000,665600000,4,14.458946
12,422400,318750000,2133000000,4,14.87006
12,422400,318750000,3199000000,4,15.689676
4,422400,522750000,665600000,4,14.875145
4,422400,522750000,2133000000,4,15.172895
4,422400,522750000,3199000000,4,15.506332
8,422400,522750000,665600000,4,14.8702965
8,422400,522750000,2133000000,4,15.571541
8,422400,522750000,3199000000,4,16.665043
12,422400,522750000,665600000,4,15.101603
12,422400,522750000,2133000000,4,16.103354
12,422400,522750000,3199000000,4,16.871605
4,422400,726750000,665600000,4,15.615887
4,422400,726750000,2133000000,4,16.76395
4,422400,726750000,3199000000,4,17.323198
8,422400,726750000,665600000,4,15.84816
8,422400,726750000,2133000000,4,16.306396
8,422400,726750000,3199000000,4,17.196085
12,422400,726750000,665600000,4,16.03717
12,422400,726750000,2133000000,4,16.79323
12,422400,726750000,3199000000,4,17.000547
4,422400,930750000,665600000,4,16.231926
4,422400,930750000,2133000000,4,17.898693
4,422400,930750000,3199000000,4,17.732384
8,422400,930750000,665600000,4,16.25104
8,422400,930750000,2133000000,4,17.406853
8,422400,930750000,3199000000,4,17.369665
12,422400,930750000,665600000,4,16.41091
12,422400,930750000,2133000000,4,17.130363
12,422400,930750000,3199000000,4,17.125263
4,422400,1134750000,665600000,4,16.588888
4,422400,1134750000,2133000000,4,18.099962
4,422400,1134750000,3199000000,4,18.11858
8,422400,1134750000,665600000,4,16.642822
8,422400,1134750000,2133000000,4,17.596916
8,422400,1134750000,3199000000,4,17.720005
12,422400,1134750000,665600000,4,16.720322
12,422400,1134750000,2133000000,4,17.339327
12,422400,1134750000,3199000000,4,17.71142
4,422400,1300500000,665600000,4,17.491898
4,422400,1300500000,2133000000,4,18.483488
