cores,cpu,gpu,mem,bs,predicted_time
4,422400,114750000,665600000,1,9.636883
4,422400,114750000,2133000000,1,10.168931
4,422400,114750000,3199000000,1,10.642159
8,422400,114750000,665600000,1,10.180437
8,422400,114750000,2133000000,1,10.112903
8,422400,114750000,3199000000,1,10.1661
12,422400,114750000,665600000,1,10.603813
12,422400,114750000,2133000000,1,9.983606
12,422400,114750000,3199000000,1,9.653351
4,422400,318750000,665600000,1,7.0144672
4,422400,318750000,2133000000,1,6.908139
4,422400,318750000,3199000000,1,7.453525
8,422400,318750000,665600000,1,7.722248
8,422400,318750000,2133000000,1,7.0420694
8,422400,318750000,3199000000,1,6.9151077
12,422400,318750000,665600000,1,8.575372
12,422400,318750000,2133000000,1,7.817847
12,422400,318750000,3199000000,1,7.352899
4,422400,522750000,665600000,1,6.1635647
4,422400,522750000,2133000000,1,5.553858
4,422400,522750000,3199000000,1,5.5958767
8,422400,522750000,665600000,1,7.078519
8,422400,522750000,2133000000,1,6.659032
8,422400,522750000,3199000000,1,6.318385
12,422400,522750000,665600000,1,7.3179693
12,422400,522750000,2133000000,1,7.7128477
12,422400,522750000,3199000000,1,7.6551375
4,422400,726750000,665600000,1,6.3167143
4,422400,726750000,2133000000,1,5.53055
4,422400,726750000,3199000000,1,5.255234
8,422400,726750000,665600000,1,6.472047
8,422400,726750000,2133000000,1,6.9950137
8,422400,726750000,3199000000,1,7.267137
12,422400,726750000,665600000,1,6.658556
12,422400,726750000,2133000000,1,7.9538097
12,422400,726750000,3199000000,1,8.037027
4,422400,930750000,665600000,1,6.2010818
4,422400,930750000,2133000000,1,6.1951046
4,422400,930750000,3199000000,1,5.9012346
8,422400,930750000,665600000,1,6.274883
8,422400,930750000,2133000000,1,6.870567
8,422400,930750000,3199000000,1,7.3735695
12,422400,930750000,665600000,1,6.409026
12,422400,930750000,2133000000,1,7.8585215
12,422400,930750000,3199000000,1,8.269593
4,422400,1134750000,665600000,1,6.1147594
4,422400,1134750000,2133000000,1,6.2855015
4,422400,1134750000,3199000000,1,6.249681
8,422400,1134750000,665600000,1,6.1192293
8,422400,1134750000,2133000000,1,6.7350235
8,422400,1134750000,3199000000,1,6.8584094
12,422400,1134750000,665600000,1,6.080064
12,422400,1134750000,2133000000,1,6.859114
12,422400,1134750000,3199000000,1,6.9357862
4,422400,1300500000,665600000,1,5.9533663
4,422400,1300500000,2133000000,1,6.258004
4,422400,1300500000,3199000000,1,6.224821
8,422400,1300500000,665600000,1,5.911478
8,422400,1300500000,2133000000,1,6.521782
8,422400,1300500000,3199000000,1,6.536995
12,422400,1300500000,665600000,1,5.834387
12,422400,1300500000,2133000000,1,6.1679015
12,422400,1300500000,3199000000,1,6.0873213
4,729600,114750000,665600000,1,8.74105
4,729600,114750000,2133000000,1,9.273565
4,729600,114750000,3199000000,1,9.678524
8,729600,114750000,665600000,1,9.253683
8,729600,114750000,2133000000,1,9.065065
8,729600,114750000,3199000000,1,9.17461
12,729600,114750000,665600000,1,9.5260935
