powermode,predicted_time,predicted_power,observed_time,observed_power
8_422400_114750000_665600000,79.6768,12.873614,81.09934616088867,14.509
4_422400_318750000_665600000,49.97257,14.169974,50.69670295715332,15.92
4_422400_318750000_2133000000,36.155605,15.131224,36.95153617858887,17.633
4_422400_522750000_665600000,46.78299,14.676057,48.62289619445801,16.325
4_422400_522750000_2133000000,36.332233,15.507079,35.85782432556152,17.934
8_422400_522750000_665600000,46.10344,15.077963,47.51835060119629,16.724
12_422400_522750000_2133000000,32.17725,16.411428,30.42463970184326,18.442
4_422400_726750000_2133000000,36.511135,15.895622,33.375328063964844,18.131
4_729600_522750000_2133000000,21.170717,17.226725,21.95225524902344,21.454
12_729600_522750000_2133000000,19.939222,18.210842,20.780896186828613,22.055
4_1036800_114750000_2133000000,76.77971,13.942443,77.18828964233398,15.616
12_1036800_114750000_665600000,76.6248,13.195147,77.57209777832031,14.909
4_1036800_318750000_665600000,46.171074,14.655282,46.13492774963379,16.923
8_1036800_318750000_2133000000,29.128159,17.489302,29.7969913482666,19.946
12_1036800_318750000_2133000000,29.441484,17.354343,29.85372829437256,18.636
4_1036800_522750000_2133000000,20.004059,18.834843,20.18252754211425,22.86
8_1036800_522750000_2133000000,19.981033,19.24547,19.885807991027832,22.864
12_1036800_522750000_665600000,44.03358,15.241147,43.607343673706055,17.527
12_1036800_522750000_2133000000,19.918623,19.490885,20.22339153289795,22.458
4_1036800_726750000_2133000000,19.999699,21.038483,17.771408081054688,24.369
12_1036800_726750000_2133000000,18.06802,21.622341,17.341744422912598,24.771
12_1036800_726750000_3199000000,16.235037,21.629486,15.2118558883667,27.797
12_1036800_930750000_3199000000,15.832378,22.84679,13.585344314575195,30.407
4_1344000_114750000_665600000,76.73825,13.138335,78.00444793701172,14.613
4_1344000_114750000_2133000000,76.326965,13.950912,76.94836807250977,15.618
12_1344000_114750000_665600000,76.01437,13.357424,77.52953720092773,15.013
4_1344000_318750000_665600000,45.733227,14.711414,45.3212947845459,17.024
12_1344000_318750000_665600000,45.182888,14.834795,45.26123237609863,17.027
4_1344000_522750000_665600000,44.240574,15.163313,43.74604797363281,17.128
12_1344000_522750000_665600000,43.823063,15.293336,43.06136131286621,17.53
4_1344000_726750000_3199000000,15.995373,23.398302,15.02339220046997,27.9
8_1344000_726750000_2133000000,19.048647,21.580154,17.03391933441162,24.978
8_1344000_726750000_3199000000,15.822332,22.584572,14.564064025878906,28.095
12_1344000_726750000_2133000000,17.419706,22.102917,16.880239486694336,25.38
4_1344000_930750000_3199000000,15.639288,24.591076,12.84281587600708,30.716
12_1344000_930750000_3199000000,14.08877,23.191154,12.30289602279663,31.722
8_1344000_1134750000_3199000000,13.497591,24.303854,11.774832248687744,33.433
8_1651200_114750000_665600000,75.63867,13.410333,77.24616241455078,15.016
12_1651200_114750000_665600000,75.34393,13.535863,77.19358444213867,15.414
4_1651200_318750000_2133000000,28.693378,17.164143,29.109695434570312,20.352
8_1651200_318750000_665600000,45.198162,14.840531,44.78108787536621,17.028
4_1651200_522750000_2133000000,20.072006,20.09049,19.39838409423828,23.066
12_1651200_522750000_3199000000,18.851799,20.832052,18.663439750671387,24.279
4_1651200_726750000_2133000000,17.225338,21.785181,16.494144439697266,25.588
8_1651200_726750000_3199000000,15.460097,24.409885,14.35593605041504,28.408
12_1651200_726750000_3199000000,15.562673,23.976917,14.105087757110596,29.108
4_1651200_930750000_3199000000,14.3998,26.472713,11.890624046325684,32.429
12_1651200_930750000_3199000000,13.583754,27.314287,11.836656093597412,33.033
8_1651200_1134750000_3199000000,13.194322,27.08557,11.368031978607178,33.54
12_1651200_1134750000_3199000000,13.079456,26.52279,11.306911945343018,36.058
4_1958400_114750000_2133000000,75.88876,14.009591,76.40414428710938,15.919
8_1958400_114750000_665600000,75.04843,13.553825,77.21502304077148,15.412
12_1958400_114750000_665600000,74.80733,13.704288,76.93103790283203,15.815
8_1958400_318750000_2133000000,28.56432,18.120747,28.61513614654541,20.854
4_1958400_522750000_2133000000,19.275791,20.60325,19.00044822692871,23.569
4_1958400_726750000_3199000000,15.1708145,25.112307,13.99233627319336,29.208
8_1958400_726750000_2133000000,16.824585,22.489695,15.932944297790527,25.884
12_1958400_726750000_3199000000,13.811005,25.970549,13.85363245010376,29.813
8_1958400_1134750000_3199000000,12.89105,29.56335,11.037951946258543,36.755
4_2201600_318750000_2133000000,28.340775,18.212643,28.83222389221192,20.754
4_2201600_522750000_2133000000,19.114182,20.759487,18.922127723693848,23.968
4_2201600_726750000_2133000000,16.654285,22.931879,15.831376075744627,26.583
4_2201600_726750000_3199000000,14.692066,25.589514,13.788496017456056,30.208
4_2201600_930750000_2133000000,15.750486,24.555588,15.215472221374512,26.882
4_2201600_1134750000_3199000000,12.804169,30.621845,10.920944213867188,37.156
8_2201600_1300500000_3199000000,12.338986,33.138172,10.51475191116333,39.87
