cores,cpu,gpu,mem,predicted_power
4.0,422400.0,114750000.0,665600000.0,14.509227
4.0,422400.0,114750000.0,2133000000.0,16.29477
4.0,422400.0,114750000.0,3199000000.0,16.578276
4.0,422400.0,318750000.0,665600000.0,16.117962
4.0,422400.0,318750000.0,2133000000.0,17.95678
4.0,422400.0,318750000.0,3199000000.0,18.776428
4.0,422400.0,522750000.0,665600000.0,16.78692
4.0,422400.0,522750000.0,2133000000.0,19.289751
4.0,422400.0,522750000.0,3199000000.0,20.504436
4.0,422400.0,726750000.0,665600000.0,17.338512
4.0,422400.0,726750000.0,2133000000.0,20.179398
4.0,422400.0,726750000.0,3199000000.0,21.543806
4.0,422400.0,930750000.0,665600000.0,18.079502
4.0,422400.0,930750000.0,2133000000.0,21.045982
4.0,422400.0,930750000.0,3199000000.0,22.421457
4.0,422400.0,1134750000.0,665600000.0,18.878439
4.0,422400.0,1134750000.0,2133000000.0,21.88417
4.0,422400.0,1134750000.0,3199000000.0,23.191505
4.0,422400.0,1300500000.0,665600000.0,19.528763
4.0,422400.0,1300500000.0,2133000000.0,22.63512
4.0,422400.0,1300500000.0,3199000000.0,22.982628
4.0,729600.0,114750000.0,665600000.0,14.686193
4.0,729600.0,114750000.0,2133000000.0,16.404356
4.0,729600.0,114750000.0,3199000000.0,16.73251
4.0,729600.0,318750000.0,665600000.0,16.269001
4.0,729600.0,318750000.0,2133000000.0,18.362381
4.0,729600.0,318750000.0,3199000000.0,19.494518
4.0,729600.0,522750000.0,665600000.0,16.870909
4.0,729600.0,522750000.0,2133000000.0,19.961443
4.0,729600.0,522750000.0,3199000000.0,21.709322
4.0,729600.0,726750000.0,665600000.0,17.428455
4.0,729600.0,726750000.0,2133000000.0,21.341774
4.0,729600.0,726750000.0,3199000000.0,22.808327
4.0,729600.0,930750000.0,665600000.0,18.277287
4.0,729600.0,930750000.0,2133000000.0,22.185894
4.0,729600.0,930750000.0,3199000000.0,23.75299
4.0,729600.0,1134750000.0,665600000.0,19.37874
4.0,729600.0,1134750000.0,2133000000.0,22.990114
4.0,729600.0,1134750000.0,3199000000.0,24.11624
4.0,729600.0,1300500000.0,665600000.0,20.24468
4.0,729600.0,1300500000.0,2133000000.0,23.81151
4.0,729600.0,1300500000.0,3199000000.0,26.99756
4.0,1036800.0,114750000.0,665600000.0,14.823998
4.0,1036800.0,114750000.0,2133000000.0,16.483486
4.0,1036800.0,114750000.0,3199000000.0,16.777237
4.0,1036800.0,318750000.0,665600000.0,16.427216
4.0,1036800.0,318750000.0,2133000000.0,18.79106
4.0,1036800.0,318750000.0,3199000000.0,19.882181
4.0,1036800.0,522750000.0,665600000.0,16.963493
4.0,1036800.0,522750000.0,2133000000.0,20.531822
