powermode,bs,observed_time,predicted_time,observed_power,predicted_power
4_422400_114750000_665600000,1,590.7732238769531,3113.7295,14.751,14.256627
4_422400_114750000_2133000000,1,588.5832214355469,1719.7216,15.765,14.963253
4_422400_114750000_3199000000,1,578.6094970703125,1516.0262,16.869,16.747103
8_422400_114750000_665600000,1,565.5917358398438,3240.7134,14.849,15.126716
8_422400_114750000_2133000000,1,559.8482360839844,2282.6218,15.765,15.0229435
8_422400_114750000_3199000000,1,558.9962768554688,2136.7908,16.972,16.924276
12_422400_114750000_665600000,1,560.9476623535156,4548.656,15.152,18.530966
12_422400_114750000_2133000000,1,554.6587829589844,3729.0085,16.163,18.257734
12_422400_114750000_3199000000,1,553.5986328125,3808.826,17.37,20.068268
4_422400_318750000_665600000,1,280.20025634765625,1881.0345,17.768,14.546284
4_422400_318750000_2133000000,1,189.4239196777344,723.1594,26.8885,14.496889
4_422400_318750000_3199000000,1,211.8689956665039,636.07715,21.591,16.935352
8_422400_318750000_665600000,1,270.4360809326172,1733.9113,18.374,16.086493
8_422400_318750000_2133000000,1,231.3048324584961,389.67834,19.98,15.289242
8_422400_318750000_3199000000,1,210.6197738647461,283.61932,21.739,18.145973
12_422400_318750000_665600000,1,272.45274353027344,2028.8021,18.4735,20.655882
12_422400_318750000_2133000000,1,222.46195220947263,709.5375,20.4835,20.132547
12_422400_318750000_3199000000,1,209.9142303466797,721.1092,22.087,22.483984
4_422400_522750000_665600000,1,260.2808074951172,968.3662,18.775,16.762766
4_422400_522750000_2133000000,1,165.51380920410156,450.62234,28.485,16.497149
4_422400_522750000_3199000000,1,179.62478637695312,466.01965,22.885,19.966381
8_422400_522750000_665600000,1,259.00221252441406,1120.7227,19.176,19.206385
8_422400_522750000_2133000000,1,159.09817504882812,164.48311,22.487,18.744085
8_422400_522750000_3199000000,1,164.07552337646484,145.08289,23.8455,21.7794
12_422400_522750000_665600000,1,256.4721374511719,1479.0428,19.176,24.554459
12_422400_522750000_2133000000,1,157.3147201538086,445.62045,22.688,25.048338
12_422400_522750000_3199000000,1,164.5454864501953,274.22424,23.994,27.455713
4_422400_726750000_665600000,1,237.8368911743164,851.8288,20.177,21.055841
4_422400_726750000_2133000000,1,184.5412826538086,323.24442,28.385,21.673208
4_422400_726750000_3199000000,1,173.1419677734375,317.89316,23.374,25.49215
8_422400_726750000_665600000,1,244.93526458740237,988.6721,20.177,24.02887
8_422400_726750000_2133000000,1,157.4422149658203,198.14198,23.589,25.058002
8_422400_726750000_3199000000,1,156.08985900878906,102.758125,25.58,28.119799
12_422400_726750000_665600000,1,238.84217834472656,1358.7655,20.578,29.751783
12_422400_726750000_2133000000,1,160.47647094726562,472.5584,23.585,31.776342
12_422400_726750000_3199000000,1,156.40738677978516,258.67676,25.078,34.129627
4_422400_930750000_665600000,1,237.35919952392575,1005.4231,21.882,26.940569
4_422400_930750000_2133000000,1,180.09569549560547,336.90585,26.641,28.843557
4_422400_930750000_3199000000,1,164.78841400146484,209.55309,24.5795,32.944366
8_422400_930750000_665600000,1,243.5387725830078,1135.5092,21.586,30.328108
8_422400_930750000_2133000000,1,174.924560546875,355.82544,23.878,32.870506
8_422400_930750000_3199000000,1,155.72588348388672,136.76186,26.782,35.986828
12_422400_930750000_665600000,1,231.6578750610352,1509.3613,22.283,36.562614
12_422400_930750000_2133000000,1,156.6753921508789,664.3397,25.679,39.469284
12_422400_930750000_3199000000,1,164.04390716552734,296.69345,25.684,41.822884
4_422400_1134750000_665600000,1,239.80841827392575,1209.7968,23.385,33.941605
4_422400_1134750000_2133000000,1,194.4707717895508,524.5649,27.393,37.271255
4_422400_1134750000_3199000000,1,174.75031280517578,241.04182,26.782,41.22725
8_422400_1134750000_665600000,1,235.4513320922852,1349.7715,24.0345,38.003212
8_422400_1134750000_2133000000,1,199.8641891479492,568.50684,24.779,41.023315
8_422400_1134750000_3199000000,1,161.78604888916016,249.94962,26.935,44.167446
12_422400_1134750000_665600000,1,234.51373291015625,1701.3517,23.786,43.94678
12_422400_1134750000_2133000000,1,158.64596557617188,873.1356,27.488,47.193058
12_422400_1134750000_3199000000,1,177.12511444091797,463.4176,27.183,49.789104
4_422400_1300500000_665600000,1,240.9736175537109,1385.0271,25.791,40.33081
4_422400_1300500000_2133000000,1,175.92838287353516,702.1824,26.389,44.183075
4_422400_1300500000_3199000000,1,176.30681610107422,379.6303,27.989,48.117798
8_422400_1300500000_665600000,1,239.5606689453125,1525.318,25.895,44.380127
8_422400_1300500000_2133000000,1,160.59359741210938,753.2412,29.8475,47.66443
8_422400_1300500000_3199000000,1,157.56334686279297,407.33752,30.993,50.932594
12_422400_1300500000_665600000,1,240.13009643554688,1858.6892,26.6435,50.09309
12_422400_1300500000_2133000000,1,165.75101470947266,1056.9668,29.643,53.42327
12_422400_1300500000_3199000000,1,163.3937225341797,635.20776,30.5415,56.127125
4_729600_114750000_665600000,1,557.1514282226562,2779.4094,14.851,14.624031
4_729600_114750000_2133000000,1,563.3983764648438,1469.5194,15.765,15.796767
4_729600_114750000_3199000000,1,568.6935119628906,1525.3892,16.869,17.604319
8_729600_114750000_665600000,1,568.4049377441406,2568.6082,14.952,14.789112
8_729600_114750000_2133000000,1,555.2948913574219,1507.426,15.765,15.012033
8_729600_114750000_3199000000,1,554.9442749023438,1498.3812,16.969,16.908136
12_729600_114750000_665600000,1,568.565673828125,3883.8848,15.152,17.883238
12_729600_114750000_2133000000,1,555.9676208496094,3006.8171,16.166,17.370056
12_729600_114750000_3199000000,1,550.6307678222656,3166.1536,17.37,19.370451
4_729600_318750000_665600000,1,268.9707946777344,1572.4005,18.374,14.68498
4_729600_318750000_2133000000,1,113.07263946533205,580.0331,32.399,14.739763
4_729600_318750000_3199000000,1,205.19662475585935,552.0915,21.787,17.301718
8_729600_318750000_665600000,1,265.6503143310547,1412.5997,18.775,15.555002
8_729600_318750000_2133000000,1,207.5381622314453,58.97261,21.134,14.517373
8_729600_318750000_3199000000,1,212.87208557128903,133.00479,21.987,17.632032
12_729600_318750000_665600000,1,263.731201171875,1737.275,18.775,19.825485
12_729600_318750000_2133000000,1,222.5937957763672,464.74866,20.5325,19.139101
12_729600_318750000_3199000000,1,216.46868896484372,446.47482,22.087,21.784336
4_729600_522750000_665600000,1,246.58025360107425,817.1736,19.176,16.963293
4_729600_522750000_2133000000,1,103.74518585205078,359.8811,38.111,16.752558
4_729600_522750000_3199000000,1,131.7179718017578,402.82245,26.398,20.371424
8_729600_522750000_665600000,1,237.7511367797852,896.91266,19.878,18.736101
8_729600_522750000_2133000000,1,149.07259368896484,24.39715,23.7415,18.03118
8_729600_522750000_3199000000,1,129.2396469116211,59.35502,26.799,21.517729
12_729600_522750000_665600000,1,236.2174072265625,1320.2072,19.878,23.76303
12_729600_522750000_2133000000,1,137.46846771240234,320.8284,25.097,24.467628
12_729600_522750000_3199000000,1,128.93621063232422,145.39319,26.197,26.967463
4_729600_726750000_665600000,1,232.8477096557617,811.778,20.278,21.465313
4_729600_726750000_2133000000,1,101.64358520507812,277.582,33.591,21.917744
4_729600_726750000_3199000000,1,102.8725929260254,283.1385,30.696,26.192995
8_729600_726750000_665600000,1,236.5908050537109,882.6435,20.679,23.796705
8_729600_726750000_2133000000,1,109.61191940307616,158.93901,28.201,24.920547
8_729600_726750000_3199000000,1,112.54659271240234,60.28086,29.793,28.107037
12_729600_726750000_665600000,1,244.12310791015625,1316.8696,20.578,29.220243
12_729600_726750000_2133000000,1,114.05279922485352,444.08374,27.197,31.467138
12_729600_726750000_3199000000,1,97.3949737548828,188.59825,31.398,33.858154
4_729600_930750000_665600000,1,233.9841537475586,1020.51654,21.882,27.366362
4_729600_930750000_2133000000,1,116.62705612182616,371.98767,34.9065,29.54776
4_729600_930750000_3199000000,1,107.98933029174805,230.18092,32.199,33.676964
8_729600_930750000_665600000,1,229.51367950439453,1090.9988,22.5845,30.26413
8_729600_930750000_2133000000,1,111.62982559204102,370.6562,30.306,32.964752
8_729600_930750000_3199000000,1,97.37503814697266,136.06343,32.199,36.23244
12_729600_930750000_665600000,1,229.1531524658203,1477.0804,22.384,36.194748
12_729600_930750000_2133000000,1,95.72024154663086,671.98444,30.104,39.32889
12_729600_930750000_3199000000,1,104.26548767089844,293.82547,33.403,41.74044
4_729600_1134750000_665600000,1,230.8854522705078,1228.1506,23.887,34.415558
4_729600_1134750000_2133000000,1,106.86423873901369,565.7763,34.497,37.944595
4_729600_1134750000_3199000000,1,98.91795349121094,310.56787,35.807,42.032696
8_729600_1134750000_665600000,1,228.0786895751953,1337.0613,24.389,37.936966
8_729600_1134750000_2133000000,1,110.03524780273438,602.25684,32.803,41.22775
8_729600_1134750000_3199000000,1,96.42403030395508,294.133,34.891,44.623787
12_729600_1134750000_665600000,1,229.98900604248047,1692.3575,24.283,43.655807
12_729600_1134750000_2133000000,1,96.78772735595705,899.5417,35.4555,46.9338
12_729600_1134750000_3199000000,1,104.50223922729492,496.02618,34.257,49.694485
4_729600_1300500000_665600000,1,244.97694396972656,1422.049,25.791,40.77477
4_729600_1300500000_2133000000,1,116.59954833984376,753.65155,35.002,44.8519
4_729600_1300500000_3199000000,1,99.2808609008789,455.78363,39.411,48.847023
8_729600_1300500000_665600000,1,233.84798431396484,1533.2826,26.691,44.39258
8_729600_1300500000_2133000000,1,96.76480102539062,806.9718,33.918,47.8463
8_729600_1300500000_3199000000,1,95.98163223266602,453.95807,39.1655,51.3899
12_729600_1300500000_665600000,1,228.6417236328125,1860.0668,26.795,49.870773
12_729600_1300500000_2133000000,1,98.11703872680664,1101.517,39.015,53.182682
12_729600_1300500000_3199000000,1,97.35760116577148,675.72974,39.0,55.97958
4_1036800_114750000_665600000,1,555.7756652832031,2571.384,15.464,15.394154
