observed_time,observed_power,powermode,predicted_time,predicted_power
7899.345703125,15.6125,4_422400_114750000_665600000,7755.151,16.44548
7876.123046875,16.565,4_422400_114750000_2133000000,7638.7354,17.498028
7866.251953125,17.466,4_422400_114750000_3199000000,7701.837,20.444387
7920.068603515625,15.664,8_422400_114750000_665600000,7728.977,16.424007
7898.580322265625,16.565,8_422400_114750000_2133000000,7609.8076,17.489038
7888.881591796875,17.469,8_422400_114750000_3199000000,7669.539,20.3868
7893.501708984375,15.965,12_422400_114750000_665600000,7726.1543,16.813461
7870.2587890625,16.869,12_422400_114750000_2133000000,7588.386,18.057652
7859.085693359375,17.77,12_422400_114750000_3199000000,7662.1084,21.076986
4164.21826171875,18.679,4_422400_318750000_665600000,4484.925,17.609507
2908.035888671875,21.992,4_422400_318750000_2133000000,3280.8477,20.209496
2880.5234375,23.595,4_422400_318750000_3199000000,3275.8503,24.31358
4148.45654296875,18.679,8_422400_318750000_665600000,4423.7695,17.624582
2913.395874023437,22.088,8_422400_318750000_2133000000,3140.4927,20.100933
2882.0924072265625,23.6,8_422400_318750000_3199000000,3197.8452,24.728254
4154.520263671875,19.076,12_422400_318750000_665600000,4413.018,18.055244
2894.8455810546875,22.393,12_422400_318750000_2133000000,3132.8257,20.990814
2887.2808837890625,23.996,12_422400_318750000_3199000000,3208.1743,25.569098
3977.7486572265625,19.274,4_422400_522750000_665600000,4205.846,18.837044
1892.1984252929688,26.098,4_422400_522750000_2133000000,2259.0352,23.13028
1867.2723388671875,28.506,4_422400_522750000_3199000000,2199.311,28.798656
3973.3756103515625,19.278,8_422400_522750000_665600000,4212.8945,18.91657
1876.166259765625,26.8,8_422400_522750000_2133000000,2209.4087,23.223566
1856.5880737304688,28.601,8_422400_522750000_3199000000,2129.8867,29.322355
3982.078002929688,19.678,12_422400_522750000_665600000,4240.3423,19.446308
1908.9161987304688,27.0,12_422400_522750000_2133000000,2205.604,24.027843
1848.0685424804688,28.907,12_422400_522750000_3199000000,2101.8745,30.145962
3948.333129882813,20.176,4_422400_726750000_665600000,4104.836,20.183792
1619.3401489257812,29.906,4_422400_726750000_2133000000,1868.6184,26.711035
1431.6017456054688,33.8,4_422400_726750000_3199000000,1721.3171,33.392025
3945.026489257813,20.476,8_422400_726750000_665600000,4122.163,20.319992
1563.0271606445312,30.508,8_422400_726750000_2133000000,1881.3281,27.180033
1409.032470703125,34.293,8_422400_726750000_3199000000,1712.5576,33.94316
3941.3193359375,20.876,12_422400_726750000_665600000,4150.084,20.977993
1614.41943359375,30.509,12_422400_726750000_2133000000,1937.3263,27.991953
1419.546142578125,34.099,12_422400_726750000_3199000000,1732.6183,34.738415
3935.916748046875,21.779,4_422400_930750000_665600000,4042.1104,21.972933
1592.9898071289062,33.516,4_422400_930750000_2133000000,1698.4515,30.87489
1207.51416015625,39.214,4_422400_930750000_3199000000,1498.7869,38.002384
3932.318603515625,22.074,8_422400_930750000_665600000,4050.002,22.063087
1545.2716674804688,33.826,8_422400_930750000_2133000000,1731.2482,31.391766
1179.7191772460938,40.597,8_422400_930750000_3199000000,1542.4462,38.606316
3929.94580078125,22.179,12_422400_930750000_665600000,4086.5198,23.027918
1477.7293701171875,34.613,12_422400_930750000_2133000000,1828.0382,32.218754
1178.0463256835938,41.008,12_422400_930750000_3199000000,1596.8315,39.35179
3931.60205078125,23.683,4_422400_1134750000_665600000,4043.0796,24.51163
1460.0118408203125,37.528,4_422400_1134750000_2133000000,1610.2115,35.119137
1126.956298828125,44.898,4_422400_1134750000_3199000000,1424.9628,42.630386
3921.5972900390634,23.783,8_422400_1134750000_665600000,4054.0872,24.851671
