powermode,bs,observed_time,predicted_time,observed_power,predicted_power
4_422400_114750000_665600000,1,12.71724796295166,10.318207,13.19,13.841434
4_422400_114750000_2133000000,1,15.813504219055176,10.054823,14.105,14.32716
4_422400_114750000_3199000000,1,12.006415843963625,9.939429,14.81,15.806559
8_422400_114750000_665600000,1,11.575360298156738,10.547916,13.598,13.824995
8_422400_114750000_2133000000,1,11.393919944763184,10.183405,14.606,14.040543
8_422400_114750000_3199000000,1,11.3645920753479,10.051738,14.911,15.390735
12_422400_114750000_665600000,1,11.383920192718506,11.188372,13.59,15.200043
12_422400_114750000_2133000000,1,11.35430383682251,10.70683,14.608,15.0110855
12_422400_114750000_3199000000,1,11.280352115631104,10.510025,15.311,16.143858
4_422400_318750000_665600000,1,8.70795202255249,8.207973,13.592,13.552849
4_422400_318750000_2133000000,1,7.8600640296936035,8.088198,17.613,12.818611
4_422400_318750000_3199000000,1,8.174015998840332,8.157838,15.312,14.213536
8_422400_318750000_665600000,1,8.47716760635376,8.183541,13.994,14.092785
8_422400_318750000_2133000000,1,7.562623977661133,7.921134,18.616,13.002062
8_422400_318750000_3199000000,1,7.8886559009552,7.92937,15.713,14.056927
12_422400_318750000_665600000,1,9.440256118774414,8.833839,14.103,15.890186
12_422400_318750000_2133000000,1,6.598527908325195,8.5226145,18.62,14.707867
12_422400_318750000_3199000000,1,7.891936063766479,8.419995,16.118,15.614021
4_422400_522750000_665600000,1,8.494527816772461,7.2569675,13.693,14.519838
4_422400_522750000_2133000000,1,6.6285600662231445,7.3741016,17.613,12.54174
4_422400_522750000_3199000000,1,7.17960000038147,7.565186,15.719,13.275208
8_422400_522750000_665600000,1,8.33729600906372,6.4059916,13.893,15.308913
8_422400_522750000_2133000000,1,7.519935846328735,6.5147514,18.013,13.391583
8_422400_522750000_3199000000,1,7.024991989135742,6.6360455,16.115,13.921255
12_422400_522750000_665600000,1,8.15771198272705,6.964215,13.994,17.281527
12_422400_522750000_2133000000,1,6.5885279178619385,6.99962,18.62,15.90416
12_422400_522750000_3199000000,1,7.061455965042114,6.775193,16.118,16.488838
4_422400_726750000_665600000,1,8.227807998657227,6.8930655,13.994,16.294746
4_422400_726750000_2133000000,1,6.621871948242188,7.1475677,18.229,14.108548
4_422400_726750000_3199000000,1,6.8523359298706055,7.297608,16.017,14.438124
8_422400_726750000_665600000,1,8.301392078399658,5.7926188,14.799,17.193657
8_422400_726750000_2133000000,1,7.616560220718384,6.0610056,18.015,15.607096
8_422400_726750000_3199000000,1,6.941920042037964,6.0938077,16.52,15.850447
12_422400_726750000_665600000,1,8.234399795532227,5.6143045,14.194,19.194466
12_422400_726750000_2133000000,1,6.663136005401611,5.518728,18.418,18.513855
12_422400_726750000_3199000000,1,6.844528198242188,5.415962,15.402,18.692081
4_422400_930750000_665600000,1,9.170159816741943,6.727809,15.11,18.47007
4_422400_930750000_2133000000,1,8.94655990600586,7.002303,17.613,16.897125
4_422400_930750000_3199000000,1,7.835135936737059,7.1934423,16.62,17.08654
8_422400_930750000_665600000,1,8.206480026245117,5.657354,15.611,19.501493
8_422400_930750000_2133000000,1,7.598016023635864,5.7927494,17.816,18.62633
8_422400_930750000_3199000000,1,7.537535905838013,5.816824,17.123,18.77227
12_422400_930750000_665600000,1,8.108528137207031,4.8945456,15.611,21.77341
12_422400_930750000_2133000000,1,6.550591945648193,4.6444273,18.519,21.471607
12_422400_930750000_3199000000,1,8.803391933441162,4.7303243,17.119,21.557268
4_422400_1134750000_665600000,1,8.982160091400146,6.712015,16.01,21.054316
4_422400_1134750000_2133000000,1,7.818287849426269,6.959857,18.218,20.053276
4_422400_1134750000_3199000000,1,7.617712020874023,7.1241713,18.024,20.209747
8_422400_1134750000_665600000,1,8.388128280639648,5.6354423,15.901,22.430939
8_422400_1134750000_2133000000,1,8.7882080078125,5.5934224,18.622,21.83194
