observed_time,observed_power,powermode,predicted_time,predicted_power
82.12113571166992,14.509,4_422400_114750000_665600000,81.23872,12.51395
80.18055725097656,15.416,4_422400_114750000_2133000000,80.86072,13.430024
80.50540542602539,16.726,4_422400_114750000_3199000000,77.693665,14.144543
81.09934616088867,14.509,8_422400_114750000_665600000,79.6768,12.873614
79.58476638793945,15.52,8_422400_114750000_2133000000,79.81415,13.911645
79.98222732543945,16.726,8_422400_114750000_3199000000,79.810425,14.548741
80.71963119506836,14.911,12_422400_114750000_665600000,79.19719,12.99188
79.79431915283203,15.819,12_422400_114750000_2133000000,78.80815,14.014551
79.70414352416992,17.132,12_422400_114750000_3199000000,76.82907,14.708188
50.69670295715332,15.92,4_422400_318750000_665600000,49.97257,14.169974
36.95153617858887,17.633,4_422400_318750000_2133000000,36.155605,15.131224
37.06902313232422,19.242,4_422400_318750000_3199000000,37.05045,15.778261
49.971391677856445,16.724,8_422400_318750000_665600000,49.18146,14.569912
36.19022560119629,18.74,8_422400_318750000_2133000000,32.998108,15.768352
36.36276817321777,19.648,8_422400_318750000_3199000000,33.16294,16.82447
49.07171058654785,16.724,12_422400_318750000_665600000,48.569202,14.702817
36.18655967712402,18.841,12_422400_318750000_2133000000,33.225376,15.965534
33.634334564208984,20.051,12_422400_318750000_3199000000,33.147415,17.197262
48.62289619445801,16.325,4_422400_522750000_665600000,46.78299,14.676057
35.85782432556152,17.934,4_422400_522750000_2133000000,36.332233,15.507079
33.55617713928223,19.247,4_422400_522750000_3199000000,36.813374,16.420202
47.51835060119629,16.724,8_422400_522750000_665600000,46.10344,15.077963
31.453744888305664,19.042,8_422400_522750000_2133000000,31.334892,16.29379
31.26432037353516,20.348,8_422400_522750000_3199000000,32.544754,17.378147
46.99107360839844,17.329,12_422400_522750000_665600000,46.106205,15.182641
30.42463970184326,18.442,12_422400_522750000_2133000000,32.17725,16.411428
30.77752017974853,20.448,12_422400_522750000_3199000000,32.389317,17.7695
49.27571296691895,17.126,4_422400_726750000_665600000,47.306103,15.117548
33.375328063964844,18.131,4_422400_726750000_2133000000,36.511135,15.895622
35.93380928039551,19.238,4_422400_726750000_3199000000,36.51905,17.013222
46.68403244018555,17.735,8_422400_726750000_665600000,46.079777,15.548002
31.804991722106934,19.746,8_422400_726750000_2133000000,32.075077,16.738207
29.974143981933597,20.657,8_422400_726750000_3199000000,32.51535,17.559639
46.397409439086914,17.735,12_422400_726750000_665600000,46.329887,15.667801
37.01092720031738,19.343,12_422400_726750000_2133000000,32.83368,16.876965
30.52142333984375,20.552,12_422400_726750000_3199000000,32.6682,18.358986
48.01950454711914,17.931,4_422400_930750000_665600000,69.721405,15.586157
35.15248107910156,19.535,4_422400_930750000_2133000000,36.210644,16.700314
35.147342681884766,20.445,4_422400_930750000_3199000000,36.52204,17.734175
46.270416259765625,18.933,8_422400_930750000_665600000,45.765743,16.108517
30.491215705871586,20.546,8_422400_930750000_2133000000,31.661865,17.60776
33.412031173706055,21.045,8_422400_930750000_3199000000,35.424004,17.96179
46.06900787353516,18.937,12_422400_930750000_665600000,46.6924,16.181322
31.49623966217041,20.546,12_422400_930750000_2133000000,31.207962,17.590338
30.6254243850708,21.049,12_422400_930750000_3199000000,33.98797,19.142036
53.83494377136231,19.032,4_422400_1134750000_665600000,76.23648,15.994312
35.50491142272949,20.146,4_422400_1134750000_2133000000,36.874733,17.607414
34.61308670043945,21.655,4_422400_1134750000_3199000000,37.12708,18.595137
45.93588829040527,20.347,8_422400_1134750000_665600000,45.947483,16.821136
31.048559188842773,21.958,8_422400_1134750000_2133000000,35.26152,18.166145
31.109472274780277,22.462,8_422400_1134750000_3199000000,34.12245,19.08751
45.35793685913086,20.14,12_422400_1134750000_665600000,45.83875,16.96423
31.44007968902588,21.152,12_422400_1134750000_2133000000,31.185051,18.495417
30.925456047058105,22.255,12_422400_1134750000_3199000000,31.030357,20.626455
46.61638450622559,21.25,4_422400_1300500000_665600000,47.543575,17.066069
36.58444786071777,22.359,4_422400_1300500000_2133000000,37.78188,18.486042
35.83116912841797,22.354,4_422400_1300500000_3199000000,37.73194,19.751482
45.54606246948242,21.753,8_422400_1300500000_665600000,46.16801,17.64882
30.84321594238281,23.365,8_422400_1300500000_2133000000,31.920631,19.403252
30.493488311767575,23.859,8_422400_1300500000_3199000000,32.161713,20.270487
45.42545509338379,21.748,12_422400_1300500000_665600000,45.889633,17.722689
29.89788818359375,23.457,12_422400_1300500000_2133000000,31.037289,19.93772
36.61974334716797,23.154,12_422400_1300500000_3199000000,31.027084,21.654583
82.6469612121582,14.909,4_729600_114750000_665600000,78.70259,12.8939295
78.66474914550781,15.917,4_729600_114750000_2133000000,78.62854,13.9207945
77.98691177368164,17.439,4_729600_114750000_3199000000,78.11693,14.598674
79.00886154174805,15.01,8_729600_114750000_665600000,77.6452,12.970002
78.37820816040039,16.42,8_729600_114750000_2133000000,77.408066,13.976957
77.62206268310547,17.128,8_729600_114750000_3199000000,76.94861,14.703022
78.52613067626953,15.012,12_729600_114750000_665600000,77.15575,13.079468
77.97684860229492,14.911,12_729600_114750000_2133000000,76.89757,14.05424
77.29873657226562,17.229,12_729600_114750000_3199000000,76.61043,14.740158
47.61131095886231,16.923,4_729600_318750000_665600000,47.20823,14.595892
31.384639739990234,19.744,4_729600_318750000_2133000000,30.537426,16.258554
30.82113647460937,20.65,4_729600_318750000_3199000000,30.012348,17.219404
47.16836738586426,16.923,8_729600_318750000_665600000,46.629032,14.651965
30.619248390197757,19.744,8_729600_318750000_2133000000,29.537119,16.296839
30.380687713623047,21.258,8_729600_318750000_3199000000,29.185436,17.670605
