powermode,bs,observed_time,predicted_time,observed_power,predicted_power
4_422400_114750000_665600000,1,96.06263732910156,81.249565,11.742,13.424842
4_422400_114750000_2133000000,1,77.34899520874023,74.38647,12.743,13.941007
4_422400_114750000_3199000000,1,88.51374435424805,86.870476,13.348,13.778956
8_422400_114750000_665600000,1,77.94134140014648,72.797966,12.141,13.136706
8_422400_114750000_2133000000,1,75.15447998046875,68.16473,13.0965,13.912496
8_422400_114750000_3199000000,1,74.28108978271484,78.95787,13.648,13.950398
12_422400_114750000_665600000,1,77.83489608764648,74.60552,12.143,13.030076
12_422400_114750000_2133000000,1,75.81702423095703,68.32139,13.046,13.739112
12_422400_114750000_3199000000,1,73.92974472045898,77.318954,13.648,14.1372175
4_422400_318750000_665600000,1,82.1129150390625,72.598045,12.093,13.479783
4_422400_318750000_2133000000,1,76.69097900390625,67.94398,15.052,13.979184
4_422400_318750000_3199000000,1,75.94931411743164,72.68038,13.648,13.831589
8_422400_318750000_665600000,1,78.58438491821289,63.52297,12.444,13.186931
8_422400_318750000_2133000000,1,74.10641479492188,62.075306,12.996,13.943304
8_422400_318750000_3199000000,1,75.93458938598633,68.33101,14.049,14.014207
12_422400_318750000_665600000,1,76.8740005493164,63.00637,12.444,13.093167
12_422400_318750000_2133000000,1,88.77193832397461,58.116505,12.946,13.761016
12_422400_318750000_3199000000,1,73.17814254760742,66.135345,14.049,14.138678
4_422400_522750000_665600000,1,81.39763259887695,73.19033,12.043,13.587537
4_422400_522750000_2133000000,1,85.73428726196289,69.89542,15.052,14.222959
4_422400_522750000_3199000000,1,76.83048248291016,69.108315,13.648,14.068725
8_422400_522750000_665600000,1,77.86061096191406,66.005585,12.444,13.28641
8_422400_522750000_2133000000,1,75.32596969604492,62.752373,13.347,14.004984
8_422400_522750000_3199000000,1,74.82104110717773,68.10414,14.0495,14.15015
12_422400_522750000_665600000,1,77.00621032714844,63.591045,12.444,13.198662
12_422400_522750000_2133000000,1,74.25305557250977,58.706005,13.396,13.81976
12_422400_522750000_3199000000,1,74.36775970458984,66.093056,13.949,14.239035
4_422400_726750000_665600000,1,92.15825653076172,76.44538,12.444,13.755102
4_422400_726750000_2133000000,1,77.94225311279297,73.51961,15.453,15.130498
4_422400_726750000_3199000000,1,89.88648223876953,69.876884,14.049,14.657095
8_422400_726750000_665600000,1,77.41061019897461,68.31791,12.895,13.433942
8_422400_726750000_2133000000,1,75.31649780273438,64.190056,13.397,14.054003
8_422400_726750000_3199000000,1,75.06505584716797,70.02296,14.4,14.433677
12_422400_726750000_665600000,1,75.9216194152832,64.348114,12.845,13.39091
12_422400_726750000_2133000000,1,73.6836166381836,60.369915,13.397,13.951775
12_422400_726750000_3199000000,1,73.03883361816406,67.266716,14.45,14.3880825
4_422400_930750000_665600000,1,79.68915176391602,76.0447,12.845,14.108824
4_422400_930750000_2133000000,1,76.11337661743164,78.01125,15.003,15.326371
4_422400_930750000_3199000000,1,75.5682373046875,72.755974,14.852,15.299899
8_422400_930750000_665600000,1,76.85591888427734,70.46232,13.246,13.730694
8_422400_930750000_2133000000,1,74.34774398803711,66.62533,14.199,14.437383
8_422400_930750000_3199000000,1,73.19867324829102,71.36323,14.802,14.985604
12_422400_930750000_665600000,1,75.4709587097168,65.634026,13.246,13.6938305
12_422400_930750000_2133000000,1,75.8255844116211,62.261723,14.249,14.240628
12_422400_930750000_3199000000,1,72.2010726928711,68.202644,14.752,14.556151
4_422400_1134750000_665600000,1,80.54753494262695,73.83768,13.648,14.779494
4_422400_1134750000_2133000000,1,80.15729522705078,82.42839,15.2525,15.591302
4_422400_1134750000_3199000000,1,78.43262481689453,75.76985,15.253,15.620635
8_422400_1134750000_665600000,1,77.94019317626953,71.49772,14.046,14.069686
8_422400_1134750000_2133000000,1,75.58480072021484,70.09908,14.551,15.285101
8_422400_1134750000_3199000000,1,75.63764953613281,73.1549,15.654,15.475802
12_422400_1134750000_665600000,1,76.47857666015625,67.837364,14.099,14.028222
12_422400_1134750000_2133000000,1,74.73087692260742,62.38742,14.502,14.567669
12_422400_1134750000_3199000000,1,72.43065643310547,67.57189,15.554,14.940312
4_422400_1300500000_665600000,1,79.96432113647461,70.55204,14.45,15.395024
4_422400_1300500000_2133000000,1,77.86743927001953,85.49863,15.453,15.859321
