observed_time,observed_power,powermode,predicted_time,predicted_power
383.2518768310547,20.964,4_422400_1300500000_2133000000,408.21738,21.529297
401.06971740722656,21.571,4_422400_1300500000_3199000000,389.3266,23.60756
440.7212371826172,20.671,4_422400_1300500000_665600000,460.25458,20.243526
414.636947631836,19.26,4_422400_1134750000_2133000000,413.39996,20.379047
395.4983520507813,20.313,4_422400_1134750000_3199000000,383.99927,21.786812
439.1644287109375,19.066,4_422400_1134750000_665600000,453.69684,19.368917
445.9693603515625,18.06,4_422400_930750000_2133000000,446.32312,19.254211
395.324447631836,19.662,4_422400_930750000_3199000000,379.3341,20.450186
448.5573120117188,17.86,4_422400_930750000_665600000,449.24048,18.596296
413.2600860595703,17.155,4_422400_726750000_2133000000,416.13876,18.389063
403.51719665527344,18.661,4_422400_726750000_3199000000,377.3288,19.463093
448.3243408203125,17.058,4_422400_726750000_665600000,446.19037,17.864063
382.4408416748047,17.106,4_422400_522750000_2133000000,393.11053,17.866028
398.5398712158203,18.059,4_422400_522750000_3199000000,375.91144,18.64227
461.04286193847656,16.256,4_422400_522750000_665600000,441.5271,17.120672
419.4983215332031,17.26,4_422400_318750000_2133000000,420.82935,17.151575
403.4889831542969,18.177,4_422400_318750000_3199000000,404.63718,17.721624
465.1280364990234,15.956,4_422400_318750000_665600000,475.43686,16.320402
804.1912536621094,14.952,4_422400_114750000_2133000000,819.07513,15.812472
840.2643432617188,16.055,4_422400_114750000_3199000000,830.3397,16.003494
806.7547912597656,14.149,4_422400_114750000_665600000,829.95447,14.851027
241.4903717041016,24.7255,4_729600_1300500000_2133000000,259.20477,24.362743
229.4740447998047,25.6815,4_729600_1300500000_3199000000,249.64534,26.916801
298.7296600341797,23.374,4_729600_1300500000_665600000,318.85175,22.185057
233.2863998413086,23.166,4_729600_1134750000_2133000000,257.73456,22.960934
229.023551940918,24.476,4_729600_1134750000_3199000000,243.58707,24.76067
308.7119903564453,21.6805,4_729600_1134750000_665600000,312.70636,21.041634
241.3692092895508,21.163,4_729600_930750000_2133000000,257.6729,21.609953
