powermode,bs,observed_time,predicted_time,observed_power,predicted_power
4_422400_114750000_665600000,1,77.86630249023438,124.58528,13.046,14.805676
4_422400_114750000_2133000000,1,80.80165100097656,72.271996,13.7975,15.355825
4_422400_114750000_3199000000,1,71.43936157226562,78.20183,14.8525,15.625641
8_422400_114750000_665600000,1,71.63491439819336,87.3405,13.447,14.771181
8_422400_114750000_2133000000,1,68.68483352661133,51.589943,14.449,15.385754
8_422400_114750000_3199000000,1,67.52103805541992,61.826035,15.1035,15.677244
12_422400_114750000_665600000,1,70.77151870727539,77.65602,13.445,14.831558
12_422400_114750000_2133000000,1,69.28627395629883,51.183533,14.401,15.372563
12_422400_114750000_3199000000,1,67.63520050048828,59.716446,15.053,15.666349
4_422400_318750000_665600000,1,72.16232299804688,69.36018,13.1445,15.163253
4_422400_318750000_2133000000,1,91.90259170532228,51.041397,13.8505,15.638349
4_422400_318750000_3199000000,1,65.9783706665039,52.669655,14.45,15.866842
8_422400_318750000_665600000,1,67.61603164672852,58.113007,13.345,15.112082
8_422400_318750000_2133000000,1,66.1334228515625,45.69432,14.349,15.615755
8_422400_318750000_3199000000,1,64.74881744384766,51.529808,15.203,15.958
12_422400_318750000_665600000,1,67.49086380004883,54.427647,13.347,15.139657
12_422400_318750000_2133000000,1,65.67787170410156,44.48459,14.299,15.585207
12_422400_318750000_3199000000,1,65.42616271972656,49.86664,15.1515,16.037062
4_422400_522750000_665600000,1,79.32681655883789,61.31684,12.7935,15.129247
4_422400_522750000_2133000000,1,80.21380996704102,53.894524,14.0,15.552658
4_422400_522750000_3199000000,1,66.52425765991211,56.854874,14.901,15.990753
8_422400_522750000_665600000,1,67.89588928222656,53.943222,13.446,15.176571
8_422400_522750000_2133000000,1,66.29423904418945,48.231915,14.15,15.593369
8_422400_522750000_3199000000,1,64.69958114624023,52.50374,15.255,16.055878
12_422400_522750000_665600000,1,68.30696105957031,51.494896,13.696,15.3027115
12_422400_522750000_2133000000,1,65.43355178833008,46.858562,14.3485,15.604059
12_422400_522750000_3199000000,1,64.3746223449707,49.810516,15.252,16.160114
4_422400_726750000_665600000,1,71.0212631225586,58.030434,13.746,15.165617
4_422400_726750000_2133000000,1,74.93647766113281,54.80992,14.65,15.344127
4_422400_726750000_3199000000,1,70.634033203125,56.962067,14.9505,16.05573
8_422400_726750000_665600000,1,69.20347213745117,52.587723,13.646,15.192314
8_422400_726750000_2133000000,1,65.54708862304688,49.184303,14.549,15.158052
8_422400_726750000_3199000000,1,64.99443435668945,52.032368,15.5535,16.149231
12_422400_726750000_665600000,1,67.4561767578125,50.580627,14.097,15.402498
12_422400_726750000_2133000000,1,75.9812126159668,47.5562,14.549,15.210871
12_422400_726750000_3199000000,1,64.04131317138672,49.306946,15.6545,16.122196
4_422400_930750000_665600000,1,79.72873306274414,56.95003,14.097,15.382069
4_422400_930750000_2133000000,1,80.0790901184082,56.310585,15.1525,15.417996
4_422400_930750000_3199000000,1,75.89347076416016,58.09018,15.7525,16.24754
8_422400_930750000_665600000,1,69.67025375366211,52.817574,14.498,15.441273
8_422400_930750000_2133000000,1,65.18878173828125,50.627724,15.351,15.4788
8_422400_930750000_3199000000,1,65.48339080810547,52.728622,15.953,16.419912
12_422400_930750000_665600000,1,68.83977890014648,51.556843,14.448,15.653884
12_422400_930750000_2133000000,1,66.22331237792969,48.711586,15.351,15.773706
12_422400_930750000_3199000000,1,64.3443374633789,50.13402,16.2055,16.459385
4_422400_1134750000_665600000,1,79.61841583251953,56.539288,14.8015,15.831665
4_422400_1134750000_2133000000,1,78.26700973510742,58.162125,15.752,16.205622
4_422400_1134750000_3199000000,1,66.63827133178711,59.73124,16.5575,16.771328
8_422400_1134750000_665600000,1,77.9181137084961,52.844917,15.3,16.252321
8_422400_1134750000_2133000000,1,65.96985626220703,52.73464,16.153,16.416946
8_422400_1134750000_3199000000,1,65.5716323852539,53.421158,16.7565,17.111084
12_422400_1134750000_665600000,1,66.8955192565918,52.410995,15.3,16.76017
12_422400_1134750000_2133000000,1,66.09099197387695,50.498024,16.153,16.952686
12_422400_1134750000_3199000000,1,64.03977584838867,51.011646,16.9585,17.443966
4_422400_1300500000_665600000,1,70.5689926147461,56.976585,15.851,16.652884
4_422400_1300500000_2133000000,1,78.88897705078125,59.889977,16.7545,16.898748
4_422400_1300500000_3199000000,1,75.66934204101562,61.282608,17.3565,17.42714
8_422400_1300500000_665600000,1,70.49718475341797,53.19801,16.453,17.191496
8_422400_1300500000_2133000000,1,65.35739135742188,54.49959,17.356,17.232868
8_422400_1300500000_3199000000,1,65.38409423828125,54.487885,17.958,17.706821
12_422400_1300500000_665600000,1,67.82563400268555,53.05829,16.503,17.6927
12_422400_1300500000_2133000000,1,64.88875198364258,51.920692,17.356,18.026245
12_422400_1300500000_3199000000,1,64.99905395507812,51.876156,17.958,18.108652
4_729600_114750000_665600000,1,54.2569751739502,103.33879,13.742,14.963385
4_729600_114750000_2133000000,1,52.0852165222168,57.195587,14.648,15.446911
4_729600_114750000_3199000000,1,50.93433570861816,66.179474,15.8605,15.683415
8_729600_114750000_665600000,1,52.644527435302734,69.85736,13.644,14.943817
8_729600_114750000_2133000000,1,51.277809143066406,43.482826,14.648,15.44272
8_729600_114750000_3199000000,1,50.66843223571777,51.58776,15.761,15.8173065
12_729600_114750000_665600000,1,52.39715194702149,65.44694,14.245,15.020107
12_729600_114750000_2133000000,1,51.90353584289551,45.10532,14.648,15.433088
12_729600_114750000_3199000000,1,50.61441612243652,51.418983,15.761,16.118109
4_729600_318750000_665600000,1,46.49732780456543,59.49646,14.045,15.297118
4_729600_318750000_2133000000,1,42.495920181274414,38.45849,15.055,15.689415
4_729600_318750000_3199000000,1,45.4605770111084,41.23059,16.251,16.10227
8_729600_318750000_665600000,1,43.19607925415039,46.910027,14.046,15.250246
8_729600_318750000_2133000000,1,41.67803192138672,35.22077,15.048,15.67099
8_729600_318750000_3199000000,1,40.3551197052002,39.37513,16.152,16.632196
12_729600_318750000_665600000,1,43.24937629699707,46.535618,14.296,15.308166
12_729600_318750000_2133000000,1,40.965681076049805,34.93455,15.052,15.746339
12_729600_318750000_3199000000,1,39.86495971679688,38.639645,16.653,16.850285
4_729600_522750000_665600000,1,47.94260787963867,52.500763,14.046,15.401199
4_729600_522750000_2133000000,1,42.66310501098633,41.66208,15.456,15.689993
4_729600_522750000_3199000000,1,41.42940902709961,46.525124,16.052,16.418547
8_729600_522750000_665600000,1,43.34662437438965,44.52365,14.446,15.360139
8_729600_522750000_2133000000,1,41.01499176025391,38.528778,15.449,15.732559
8_729600_522750000_3199000000,1,39.78900909423828,44.286606,16.152,16.889912
12_729600_522750000_665600000,1,43.36259269714356,43.926678,14.446,15.476562
12_729600_522750000_2133000000,1,40.28148651123047,38.418587,15.453,15.821255
12_729600_522750000_3199000000,1,40.68886566162109,42.949467,16.052,16.887976
4_729600_726750000_665600000,1,49.55961608886719,49.23431,14.85,15.423215
4_729600_726750000_2133000000,1,42.69966506958008,44.13715,15.355,15.546836
4_729600_726750000_3199000000,1,41.5756950378418,48.46203,16.456,16.568567
8_729600_726750000_665600000,1,44.32651329040527,43.9318,14.85,15.491785
8_729600_726750000_2133000000,1,40.96198272705078,40.993954,15.652,15.454687
8_729600_726750000_3199000000,1,39.95283126831055,45.20609,16.456,16.843706
12_729600_726750000_665600000,1,43.29401588439941,43.399353,15.0505,15.639662
12_729600_726750000_2133000000,1,40.23465538024902,41.00351,16.154,15.607906
12_729600_726750000_3199000000,1,39.65073585510254,43.04821,16.854,16.732986
4_729600_930750000_665600000,1,48.03182411193848,46.45793,15.652,15.622266
4_729600_930750000_2133000000,1,42.50892639160156,47.21312,16.057,15.963126
4_729600_930750000_3199000000,1,42.71459197998047,49.10912,17.056,16.902903
8_729600_930750000_665600000,1,43.25564765930176,43.18518,15.652,15.841293
8_729600_930750000_2133000000,1,44.58662414550781,43.856186,16.555,16.179585
8_729600_930750000_3199000000,1,43.980224609375,45.898342,17.258,17.044611
12_729600_930750000_665600000,1,43.46171188354492,43.733536,16.053,16.134665
12_729600_930750000_2133000000,1,40.67259216308594,42.54925,16.956,16.514482
12_729600_930750000_3199000000,1,39.99969482421875,43.931004,17.659,17.169767
4_729600_1134750000_665600000,1,46.39971351623535,46.269115,16.45,16.332203
4_729600_1134750000_2133000000,1,43.75660705566406,49.37426,17.254,16.792597
4_729600_1134750000_3199000000,1,41.83060836791992,50.103256,17.856,17.48125
8_729600_1134750000_665600000,1,44.19990348815918,43.977356,16.454,16.933048
8_729600_1134750000_2133000000,1,41.636735916137695,45.83228,17.254,17.100573
8_729600_1134750000_3199000000,1,40.61473655700684,46.646946,18.458,17.517399
12_729600_1134750000_665600000,1,43.26569557189941,44.215153,16.454,17.51438
12_729600_1134750000_2133000000,1,40.56271934509277,43.940594,17.755,17.836052
12_729600_1134750000_3199000000,1,39.94022560119629,44.80863,18.458,18.145645
4_729600_1300500000_665600000,1,48.8147029876709,47.66979,17.655,17.226357
4_729600_1300500000_2133000000,1,45.36590385437012,50.92079,18.457,17.440384
4_729600_1300500000_3199000000,1,42.094017028808594,50.884758,19.4595,17.87979
8_729600_1300500000_665600000,1,44.05727958679199,45.257088,18.056,17.776678
8_729600_1300500000_2133000000,1,41.35016059875488,47.180664,18.056,17.968948
8_729600_1300500000_3199000000,1,39.79288101196289,47.544178,19.66,18.260525
12_729600_1300500000_665600000,1,43.6744327545166,45.46678,18.453,18.386747
12_729600_1300500000_2133000000,1,41.43854522705078,45.154465,18.7575,18.806015
12_729600_1300500000_3199000000,1,39.93302345275879,45.65769,19.559,18.910778
4_1036800_114750000_665600000,1,52.70283317565918,84.31177,14.448,15.114859
4_1036800_114750000_2133000000,1,50.85441589355469,50.663723,15.154,15.509403
4_1036800_114750000_3199000000,1,49.64243316650391,60.552677,15.968,15.786068
8_1036800_114750000_665600000,1,51.93876838684082,56.395676,14.25,15.106976
8_1036800_114750000_2133000000,1,50.46094512939453,40.51507,15.054,15.491832
8_1036800_114750000_3199000000,1,49.91862487792969,47.311012,15.968,16.360567
12_1036800_114750000_665600000,1,51.828081130981445,57.63353,14.4495,15.1889
12_1036800_114750000_2133000000,1,50.40838432312012,42.082016,15.104,15.57921
12_1036800_114750000_3199000000,1,49.88279914855957,47.981777,15.9125,16.52744
4_1036800_318750000_665600000,1,36.33598327636719,49.730392,14.65,15.417517
4_1036800_318750000_2133000000,1,34.064735412597656,34.609947,15.754,15.733141
4_1036800_318750000_3199000000,1,31.92571258544922,35.233776,16.961,16.676577
8_1036800_318750000_665600000,1,34.39135932922363,38.49726,15.252,15.397349
8_1036800_318750000_2133000000,1,31.487903594970703,32.03671,16.259,15.904085
8_1036800_318750000_3199000000,1,30.466511726379395,32.065647,17.219,17.234169
12_1036800_318750000_665600000,1,34.854400634765625,40.722355,15.151,15.464782
12_1036800_318750000_2133000000,1,33.3931999206543,31.398193,16.657,16.203762
12_1036800_318750000_3199000000,1,30.11036777496338,31.62574,17.359,17.43435
4_1036800_522750000_665600000,1,37.449663162231445,44.67322,14.651,15.568741
4_1036800_522750000_2133000000,1,34.5918083190918,35.904564,16.054,15.798827
4_1036800_522750000_3199000000,1,31.478687286376957,35.436584,16.656,17.294777
8_1036800_522750000_665600000,1,33.7807674407959,37.88798,15.552,15.569082
8_1036800_522750000_2133000000,1,31.594207763671875,33.562195,16.057,16.191593
8_1036800_522750000_3199000000,1,30.557007789611816,33.80158,17.258,17.554504
12_1036800_522750000_665600000,1,33.789472579956055,38.835804,15.552,15.668299
12_1036800_522750000_2133000000,1,31.561264038085938,33.34667,15.854,16.40603
12_1036800_522750000_3199000000,1,30.05225658416748,33.440083,17.158,17.654667
4_1036800_726750000_665600000,1,35.8922233581543,42.34932,15.451,15.7110405
4_1036800_726750000_2133000000,1,34.50323295593262,34.408394,16.455,15.775834
4_1036800_726750000_3199000000,1,31.370960235595703,37.72502,17.161,17.50198
8_1036800_726750000_665600000,1,34.74721717834473,37.80072,15.953,15.790725
8_1036800_726750000_2133000000,1,31.50737571716309,32.619766,16.856,16.258074
8_1036800_726750000_3199000000,1,30.194047927856445,36.110764,17.963,17.6338
12_1036800_726750000_665600000,1,33.42884826660156,39.198822,15.904,16.103653
12_1036800_726750000_2133000000,1,31.342304229736328,33.385387,16.255,16.460218
12_1036800_726750000_3199000000,1,30.031408309936523,35.15407,17.963,17.760075
4_1036800_930750000_665600000,1,38.604095458984375,41.36858,16.256,16.044603
4_1036800_930750000_2133000000,1,32.7053279876709,35.316185,17.257,16.752384
4_1036800_930750000_3199000000,1,33.40211296081543,38.710754,18.261,17.833664
8_1036800_930750000_665600000,1,34.71612739562988,38.68841,16.455,16.48646
8_1036800_930750000_2133000000,1,31.81723117828369,34.718678,17.558,17.17936
8_1036800_930750000_3199000000,1,30.005743980407715,37.929478,18.76,17.963663
12_1036800_930750000_665600000,1,34.01327896118164,39.419613,16.755,16.899094
12_1036800_930750000_2133000000,1,31.03878402709961,33.741943,17.61,17.669426
12_1036800_930750000_3199000000,1,29.6682243347168,37.044033,18.263,18.343353
4_1036800_1134750000_665600000,1,37.78647994995117,39.590378,16.955,16.897213
4_1036800_1134750000_2133000000,1,33.60503959655762,38.211555,18.46,17.608978
4_1036800_1134750000_3199000000,1,32.55105781555176,39.64865,18.959,18.172745
8_1036800_1134750000_665600000,1,34.46944046020508,37.872448,17.9105,17.757309
8_1036800_1134750000_2133000000,1,31.763839721679688,37.42369,18.36,17.965727
8_1036800_1134750000_3199000000,1,30.60552024841309,39.776417,19.466,18.624676
12_1036800_1134750000_665600000,1,34.42313575744629,39.233162,17.857,18.20716
12_1036800_1134750000_2133000000,1,30.970223426818848,36.129246,18.862,18.912695
12_1036800_1134750000_3199000000,1,30.000720024108887,38.15328,19.413,19.253845
4_1036800_1300500000_665600000,1,37.189727783203125,40.79422,18.658,18.3246
4_1036800_1300500000_2133000000,1,35.494815826416016,39.84828,19.665,18.443008
4_1036800_1300500000_3199000000,1,31.38796806335449,40.512314,19.9105,18.809727
8_1036800_1300500000_665600000,1,34.31793594360352,39.156002,18.909,18.799076
8_1036800_1300500000_2133000000,1,31.122767448425293,39.59124,19.459,19.060156
8_1036800_1300500000_3199000000,1,30.54576015472412,40.242523,20.412,19.429142
