observed_time,observed_power,powermode,predicted_time,predicted_power
216.4098892211914,22.8145,4_422400_1300500000_2133000000,225.79025,24.943232
257.0151062011719,22.572,4_422400_1300500000_3199000000,274.76956,26.52169
299.54026794433594,22.17,4_422400_1300500000_665600000,248.75473,23.808023
254.65528106689453,20.8105,4_422400_1134750000_2133000000,208.69702,23.594275
233.5823974609375,20.463,4_422400_1134750000_3199000000,246.92477,25.15028
321.8199157714844,19.9095,4_422400_1134750000_665600000,248.6578,22.604576
223.89307403564453,19.658,4_422400_930750000_2133000000,198.16719,22.154182
246.2022399902344,20.26,4_422400_930750000_3199000000,209.3341,23.740316
307.8478393554687,18.16,4_422400_930750000_665600000,247.62738,21.21085
269.4684600830078,18.354,4_422400_726750000_2133000000,190.63602,20.824703
234.70497131347656,18.861,4_422400_726750000_3199000000,170.45175,22.373959
297.3668975830078,17.655,4_422400_726750000_665600000,250.49826,20.001627
272.3877716064453,18.46,4_422400_522750000_2133000000,186.37265,19.599827
249.1538848876953,18.46,4_422400_522750000_3199000000,156.78853,21.015717
327.63243103027344,16.757,4_422400_522750000_665600000,257.43942,18.981163
265.78790283203125,17.7705,4_422400_318750000_2133000000,219.92987,18.457848
259.8197479248047,19.479,4_422400_318750000_3199000000,221.19882,19.604841
316.5086364746094,16.356,4_422400_318750000_665600000,285.6498,18.09934
486.1803588867188,15.755,4_422400_114750000_2133000000,465.18863,16.374372
481.3995361328125,16.568,4_422400_114750000_3199000000,483.5446,17.235134
492.6370391845703,14.751,4_422400_114750000_665600000,506.00095,16.366982
160.97466278076172,26.981,4_729600_1300500000_2133000000,180.50098,25.75824
140.19872283935547,27.884,4_729600_1300500000_3199000000,215.79544,29.649061
207.38766479492188,24.783,4_729600_1300500000_665600000,229.11484,23.896666
145.0573272705078,24.3245,4_729600_1134750000_2133000000,169.92944,24.024174
135.07150268554688,27.5705,4_729600_1134750000_3199000000,189.45499,26.651453
210.9974594116211,22.383,4_729600_1134750000_665600000,227.7089,22.457584
149.959716796875,24.271,4_729600_930750000_2133000000,164.76315,22.257542
140.90462493896484,24.07,4_729600_930750000_3199000000,148.88412,24.165854
209.170654296875,21.176,4_729600_930750000_665600000,227.06503,20.846294
168.8600616455078,21.062,4_729600_726750000_2133000000,159.47955,20.6779
148.42523193359375,22.7675,4_729600_726750000_3199000000,131.47559,22.430157
212.9913101196289,19.0205,4_729600_726750000_665600000,230.75285,19.410944
158.8623504638672,20.863,4_729600_522750000_2133000000,153.99948,19.20448
155.81902313232422,23.274,4_729600_522750000_3199000000,132.6473,20.880491
220.56670379638672,18.77,4_729600_522750000_665600000,236.95645,18.284761
189.643669128418,19.378,4_729600_318750000_2133000000,195.12979,17.832396
186.0316162109375,21.587,4_729600_318750000_3199000000,203.74522,19.421385
248.16146087646484,17.763,4_729600_318750000_665600000,265.50015,17.381365
472.6338653564453,16.156,4_729600_114750000_2133000000,450.4611,15.860445
470.8198394775391,16.919,4_729600_114750000_3199000000,472.7855,16.996136
477.5552520751953,15.152,4_729600_114750000_665600000,492.18857,15.887519
120.99827194213869,31.902,4_1036800_1300500000_2133000000,136.21721,28.799654
109.37750244140624,32.689,4_1036800_1300500000_3199000000,156.60303,32.863876
212.487533569336,24.9855,4_1036800_1300500000_665600000,212.04105,24.515982
108.16624069213869,29.9895,4_1036800_1134750000_2133000000,136.79315,25.642702
98.16407775878906,30.785,4_1036800_1134750000_3199000000,132.39827,29.728357
200.45238494873047,23.382,4_1036800_1134750000_665600000,211.03883,22.866726
112.71524810791016,26.08,4_1036800_930750000_2133000000,132.28667,22.915346
108.60142517089844,26.181,4_1036800_930750000_3199000000,113.26113,26.141619
202.09288024902344,21.377,4_1036800_930750000_665600000,211.39047,21.063755
113.7094383239746,25.174,4_1036800_726750000_2133000000,128.90715,21.15985
108.50935745239258,26.779,4_1036800_726750000_3199000000,111.00805,23.654772
206.58995056152344,19.774,4_1036800_726750000_665600000,214.17505,19.41315
123.79913711547852,23.988,4_1036800_522750000_2133000000,131.96205,19.555475
120.35479736328126,25.08,4_1036800_522750000_3199000000,122.48225,21.475517
215.26022338867188,18.875,4_1036800_522750000_665600000,221.02032,18.068108
180.6045455932617,20.282,4_1036800_318750000_2133000000,183.53639,18.008146
178.1174545288086,21.683,4_1036800_318750000_3199000000,199.10947,19.651638
242.17537689208984,17.771,4_1036800_318750000_665600000,251.67747,16.96652
468.74708557128906,16.153,4_1036800_114750000_2133000000,444.5211,15.680747
467.2273406982422,16.966,4_1036800_114750000_3199000000,467.83826,16.992268
474.093994140625,15.25,4_1036800_114750000_665600000,484.3287,15.504994
92.41820526123048,35.0945,4_1344000_1300500000_2133000000,101.97105,32.011097
84.97110366821289,38.013,4_1344000_1300500000_3199000000,114.17194,36.090733
192.66913604736328,25.886,4_1344000_1300500000_665600000,194.43628,26.470957
91.04633712768556,32.5905,4_1344000_1134750000_2133000000,99.26254,28.831518
83.3569564819336,34.7475,4_1344000_1134750000_3199000000,98.892715,32.87704
