powermode,bs,observed_time,predicted_time,observed_power,predicted_power
4_422400_114750000_665600000,1,86.80057525634766,161.73288,12.944,14.221997
4_422400_114750000_2133000000,1,88.05835247039795,97.577156,13.848,14.9284
4_422400_114750000_3199000000,1,91.27497673034668,124.4841,14.7555,15.190963
8_422400_114750000_665600000,1,78.12082767486572,123.80233,12.944,14.226686
8_422400_114750000_2133000000,1,75.31344890594482,84.50687,13.948,14.888207
8_422400_114750000_3199000000,1,74.62024688720703,106.560295,14.953,15.166852
12_422400_114750000_665600000,1,77.43120193481445,120.349495,12.944,14.287629
12_422400_114750000_2133000000,1,76.55930519104004,86.72119,13.7985,14.879831
12_422400_114750000_3199000000,1,74.3173360824585,105.79433,14.951,15.164519
4_422400_318750000_665600000,1,78.08279991149902,101.37403,13.144,14.606968
4_422400_318750000_2133000000,1,75.11508464813232,59.398205,14.148,15.1121645
4_422400_318750000_3199000000,1,80.45125007629395,70.64067,14.851,15.335298
8_422400_318750000_665600000,1,75.78146457672119,81.04337,13.245,14.592902
8_422400_318750000_2133000000,1,71.67434692382812,55.359688,14.148,15.072646
8_422400_318750000_3199000000,1,70.54245471954346,66.38045,14.851,15.302766
12_422400_318750000_665600000,1,75.08504390716553,77.03947,13.245,14.640202
12_422400_318750000_2133000000,1,70.5561637878418,54.15188,14.148,15.065275
12_422400_318750000_3199000000,1,69.03386116027832,63.155586,14.75,15.291438
4_422400_522750000_665600000,1,77.87096500396729,91.04939,12.743,14.800407
4_422400_522750000_2133000000,1,74.53405857086182,53.611595,14.148,15.161542
4_422400_522750000_3199000000,1,73.83692264556885,63.6119,14.75,15.3654375
8_422400_522750000_665600000,1,73.0600357055664,73.803635,13.144,14.791568
8_422400_522750000_2133000000,1,72.54374027252197,49.269474,14.148,15.122386
8_422400_522750000_3199000000,1,70.74868679046631,59.473824,14.9505,15.313205
12_422400_522750000_665600000,1,73.3722448348999,69.3249,13.245,14.838621
12_422400_522750000_2133000000,1,70.8775520324707,48.488773,14.148,15.125192
12_422400_522750000_3199000000,1,70.19424438476562,56.005524,15.2015,15.368183
4_422400_726750000_665600000,1,77.89468765258789,88.591774,13.3445,14.986443
4_422400_726750000_2133000000,1,77.79145240783691,49.356617,14.146,15.222627
4_422400_726750000_3199000000,1,72.22568988800049,59.3125,15.151,15.4997225
8_422400_726750000_665600000,1,74.04422760009766,71.76822,13.646,14.984597
8_422400_726750000_2133000000,1,71.075439453125,44.270996,14.549,15.073502
8_422400_726750000_3199000000,1,70.98686695098877,55.06472,15.3515,15.32968
12_422400_726750000_665600000,1,75.68228244781494,66.7154,13.5955,15.09929
12_422400_726750000_2133000000,1,69.28706169128418,43.92833,14.549,15.170915
12_422400_726750000_3199000000,1,66.52450561523438,52.054337,15.552,15.466859
4_422400_930750000_665600000,1,90.773344039917,92.06283,14.1465,15.1800785
4_422400_930750000_2133000000,1,96.85957431793211,46.822895,14.7475,15.270068
4_422400_930750000_3199000000,1,80.55734634399414,56.22146,15.953,15.807864
8_422400_930750000_665600000,1,76.99429988861084,73.2553,14.344,15.143576
8_422400_930750000_2133000000,1,71.97916507720947,42.19945,15.1505,15.144037
8_422400_930750000_3199000000,1,71.20037078857422,51.47792,15.953,15.454522
12_422400_930750000_665600000,1,72.98994064331055,67.73694,14.347,15.345524
12_422400_930750000_2133000000,1,71.16448879241943,41.562916,15.351,15.474501
12_422400_930750000_3199000000,1,68.91083717346191,49.786816,15.95,15.736866
4_422400_1134750000_665600000,1,81.81405067443848,98.96993,14.9485,15.338018
4_422400_1134750000_2133000000,1,73.79615306854248,47.836155,15.753,15.71411
4_422400_1134750000_3199000000,1,70.68085670471191,56.15583,16.354,16.25695
8_422400_1134750000_665600000,1,74.57339763641357,78.88927,15.35,15.345283
8_422400_1134750000_2133000000,1,70.30105590820312,42.955338,16.153,15.690475
8_422400_1134750000_3199000000,1,69.14710998535156,49.966812,16.755,15.878026
12_422400_1134750000_665600000,1,74.74470138549805,71.37232,15.25,15.638282
12_422400_1134750000_2133000000,1,68.88234615325928,43.163483,16.153,16.132736
12_422400_1134750000_3199000000,1,67.29388236999512,47.745415,16.755,16.273079
4_422400_1300500000_665600000,1,86.6326093673706,106.271645,15.951,15.568124
4_422400_1300500000_2133000000,1,83.61613750457764,52.396988,16.554,16.549984
4_422400_1300500000_3199000000,1,81.51519298553467,67.32595,17.3565,16.84074
8_422400_1300500000_665600000,1,73.99594783782959,85.933754,16.449,15.795512
8_422400_1300500000_2133000000,1,71.1665153503418,46.50865,16.955,16.53086
8_422400_1300500000_3199000000,1,70.61076164245605,49.896057,17.958,16.626339
12_422400_1300500000_665600000,1,74.6546983718872,78.31865,16.451,16.2821
12_422400_1300500000_2133000000,1,70.85394859313965,45.813297,16.955,16.879108
12_422400_1300500000_3199000000,1,69.79286670684814,47.65197,17.954,17.538101
4_729600_114750000_665600000,1,71.7536211013794,129.55423,13.443,14.405512
4_729600_114750000_2133000000,1,69.85235214233398,84.51986,14.449,15.047126
4_729600_114750000_3199000000,1,69.28765773773193,108.78548,15.056,15.275878
8_729600_114750000_665600000,1,70.90187072753906,102.22933,13.443,14.44245
8_729600_114750000_2133000000,1,69.41580772399902,72.00652,14.447,15.021878
8_729600_114750000_3199000000,1,68.91119480133057,91.646286,15.051,15.266471
12_729600_114750000_665600000,1,70.67370414733887,105.059044,13.4415,14.493559
12_729600_114750000_2133000000,1,69.72980499267578,75.13938,14.447,15.028554
12_729600_114750000_3199000000,1,68.78781318664551,90.450645,15.048,15.279283
4_729600_318750000_665600000,1,52.35135555267334,78.76155,13.8945,14.761636
4_729600_318750000_2133000000,1,46.96166515350342,50.449825,14.849,15.220332
4_729600_318750000_3199000000,1,45.65238952636719,61.860516,15.65,15.394565
8_729600_318750000_665600000,1,51.07784271240234,66.497696,13.944,14.761114
8_729600_318750000_2133000000,1,45.75681686401367,47.126095,14.947,15.199809
8_729600_318750000_3199000000,1,44.35408115386963,56.99289,16.061,15.424552
12_729600_318750000_665600000,1,49.09694194793701,67.4375,14.345,14.797408
12_729600_318750000_2133000000,1,43.7389612197876,47.119755,15.348,15.2045355
12_729600_318750000_3199000000,1,44.0058708190918,53.827267,16.052,15.480949
4_729600_522750000_665600000,1,53.919076919555664,69.146866,13.845,14.914485
4_729600_522750000_2133000000,1,47.58131504058838,44.185158,14.85,15.263988
4_729600_522750000_3199000000,1,44.27897930145264,54.582375,15.9525,15.493138
8_729600_522750000_665600000,1,49.39663410186768,59.618732,13.945,14.915921
8_729600_522750000_2133000000,1,47.261834144592285,41.993492,14.8485,15.253713
8_729600_522750000_3199000000,1,44.19052600860596,50.90908,16.055,15.656674
12_729600_522750000_665600000,1,48.64859580993652,60.608665,14.2955,15.039659
12_729600_522750000_2133000000,1,45.246005058288574,42.011677,14.847,15.28486
12_729600_522750000_3199000000,1,44.5328950881958,47.453533,16.452,15.68888
4_729600_726750000_665600000,1,54.32283878326416,66.63849,14.244,15.097007
4_729600_726750000_2133000000,1,51.18751525878906,40.379623,15.251,15.316545
4_729600_726750000_3199000000,1,46.01609706878662,50.59601,16.0495,15.951406
8_729600_726750000_665600000,1,49.62337017059326,57.0564,14.3465,15.093323
8_729600_726750000_2133000000,1,45.22883892059326,38.044197,15.652,15.277453
8_729600_726750000_3199000000,1,45.540809631347656,47.123207,16.251,15.784484
12_729600_726750000_665600000,1,48.23625087738037,57.670288,14.648,15.315096
12_729600_726750000_2133000000,1,44.46375370025635,38.467747,16.053,15.554454
12_729600_726750000_3199000000,1,43.65992546081543,44.343117,16.655,16.004898
4_729600_930750000_665600000,1,53.51579189300537,68.5943,15.049,15.252859
4_729600_930750000_2133000000,1,47.25348949432373,38.637505,16.051,15.778052
4_729600_930750000_3199000000,1,46.99528217315674,47.552864,16.655,16.438717
8_729600_930750000_665600000,1,48.62082004547119,57.358105,15.049,15.269137
8_729600_930750000_2133000000,1,45.76230049133301,36.92198,15.953,15.8953905
8_729600_930750000_3199000000,1,44.29972171783447,44.10829,17.052,16.285662
12_729600_930750000_665600000,1,49.2023229598999,56.151413,15.548,15.554886
12_729600_930750000_2133000000,1,45.02344131469727,37.38469,16.555,16.352024
12_729600_930750000_3199000000,1,44.489383697509766,42.078262,17.658,16.70765
4_729600_1134750000_665600000,1,57.198524475097656,75.31418,15.8495,15.463137
4_729600_1134750000_2133000000,1,48.18212985992432,39.26366,16.8065,16.691029
4_729600_1134750000_3199000000,1,46.73182964324951,46.26544,17.5555,17.00113
8_729600_1134750000_665600000,1,49.49748516082764,61.039856,15.851,15.66253
8_729600_1134750000_2133000000,1,45.157551765441895,37.26011,16.755,16.60808
8_729600_1134750000_3199000000,1,43.84469985961914,42.819653,18.259,16.827463
12_729600_1134750000_665600000,1,49.60572719573975,58.30078,16.55,16.027206
12_729600_1134750000_2133000000,1,46.19717597961426,38.37522,17.156,17.16288
12_729600_1134750000_3199000000,1,42.66691207885742,41.65211,18.259,18.168522
4_729600_1300500000_665600000,1,53.62904071807861,82.87156,17.054,16.260592
4_729600_1300500000_2133000000,1,49.69239234924317,41.437294,17.958,17.233978
4_729600_1300500000_3199000000,1,45.27378082275391,52.009308,18.658,17.400795
8_729600_1300500000_665600000,1,50.441861152648926,67.52236,17.1025,16.703663
8_729600_1300500000_2133000000,1,45.35257816314697,40.017963,17.958,17.37035
8_729600_1300500000_3199000000,1,42.82128810882568,42.638878,19.06,17.586678
12_729600_1300500000_665600000,1,48.88415336608887,64.83067,17.6515,17.200008
12_729600_1300500000_2133000000,1,44.350624084472656,39.888744,18.86,18.308403
12_729600_1300500000_3199000000,1,43.44308376312256,41.857212,19.461,19.2617
4_1036800_114750000_665600000,1,70.23048400878906,109.518394,13.445,14.524612
4_1036800_114750000_2133000000,1,68.71235370635986,77.812164,14.447,15.097661
4_1036800_114750000_3199000000,1,67.56746768951416,101.652504,15.0995,15.320403
8_1036800_114750000_665600000,1,69.9460506439209,91.193565,13.546,14.572738
8_1036800_114750000_2133000000,1,68.27187538146973,67.584404,14.449,15.089227
8_1036800_114750000_3199000000,1,67.55125522613525,84.189964,15.152,15.327804
12_1036800_114750000_665600000,1,69.72801685333252,99.810486,13.445,14.639732
12_1036800_114750000_2133000000,1,67.89243221282959,70.17098,14.6495,15.122036
12_1036800_114750000_3199000000,1,67.12937355041504,82.24954,15.2515,15.374393
4_1036800_318750000_665600000,1,46.697378158569336,65.07586,13.9975,14.844119
4_1036800_318750000_2133000000,1,38.32054138183594,46.1038,15.052,15.2697
4_1036800_318750000_3199000000,1,34.34157371520996,56.179424,16.255,15.447789
8_1036800_318750000_665600000,1,40.36736488342285,58.502487,14.85,14.86107
8_1036800_318750000_2133000000,1,35.00664234161377,43.672565,15.854,15.270457
8_1036800_318750000_3199000000,1,34.14416313171387,50.591576,16.656,15.814664
12_1036800_318750000_665600000,1,39.067983627319336,62.66551,14.85,14.995376
